"longitude","latitude","seasonal_low_temp"
-179.5,-89.5,-61.1785970683609
-179.5,-88.5,-61.0979875721037
-179.5,-87.5,-58.4617086491414
-179.5,-86.5,-54.8094898454845
-179.5,-85.5,-50.6314273097153
-179.5,-84.5,-37.7185719884932
-179.5,-83.5,-34.2995442104925
-179.5,-82.5,-36.6368923512953
-179.5,-81.5,-38.156231676521
-179.5,-80.5,-38.6358654442642
-179.5,-79.5,-37.6917780192835
-179.5,-78.5,-36.9533152966627
-179.5,-77.5,Inf
-179.5,-76.5,Inf
-179.5,-75.5,Inf
-179.5,-74.5,Inf
-179.5,-73.5,Inf
-179.5,-72.5,Inf
-179.5,-71.5,Inf
-179.5,-70.5,Inf
-179.5,-69.5,Inf
-179.5,-68.5,Inf
-179.5,-67.5,Inf
-179.5,-66.5,Inf
-179.5,-65.5,Inf
-179.5,-64.5,Inf
-179.5,-63.5,Inf
-179.5,-62.5,Inf
-179.5,-61.5,Inf
-179.5,-60.5,Inf
-179.5,-59.5,Inf
-179.5,-58.5,Inf
-179.5,-57.5,Inf
-179.5,-56.5,Inf
-179.5,-55.5,Inf
-179.5,-54.5,Inf
-179.5,-53.5,Inf
-179.5,-52.5,Inf
-179.5,-51.5,Inf
-179.5,-50.5,Inf
-179.5,-49.5,Inf
-179.5,-48.5,Inf
-179.5,-47.5,Inf
-179.5,-46.5,Inf
-179.5,-45.5,Inf
-179.5,-44.5,Inf
-179.5,-43.5,Inf
-179.5,-42.5,Inf
-179.5,-41.5,Inf
-179.5,-40.5,Inf
-179.5,-39.5,Inf
-179.5,-38.5,Inf
-179.5,-37.5,Inf
-179.5,-36.5,Inf
-179.5,-35.5,Inf
-179.5,-34.5,Inf
-179.5,-33.5,Inf
-179.5,-32.5,Inf
-179.5,-31.5,Inf
-179.5,-30.5,Inf
-179.5,-29.5,Inf
-179.5,-28.5,Inf
-179.5,-27.5,Inf
-179.5,-26.5,Inf
-179.5,-25.5,Inf
-179.5,-24.5,Inf
-179.5,-23.5,Inf
-179.5,-22.5,Inf
-179.5,-21.5,Inf
-179.5,-20.5,Inf
-179.5,-19.5,Inf
-179.5,-18.5,Inf
-179.5,-17.5,Inf
-179.5,-16.5,Inf
-179.5,-15.5,Inf
-179.5,-14.5,Inf
-179.5,-13.5,Inf
-179.5,-12.5,Inf
-179.5,-11.5,Inf
-179.5,-10.5,Inf
-179.5,-9.5,Inf
-179.5,-8.5,Inf
-179.5,-7.5,Inf
-179.5,-6.5,Inf
-179.5,-5.5,Inf
-179.5,-4.5,Inf
-179.5,-3.5,Inf
-179.5,-2.5,Inf
-179.5,-1.5,Inf
-179.5,-0.5,Inf
-179.5,0.5,Inf
-179.5,1.5,Inf
-179.5,2.5,Inf
-179.5,3.5,Inf
-179.5,4.5,Inf
-179.5,5.5,Inf
-179.5,6.5,Inf
-179.5,7.5,Inf
-179.5,8.5,Inf
-179.5,9.5,Inf
-179.5,10.5,Inf
-179.5,11.5,Inf
-179.5,12.5,Inf
-179.5,13.5,Inf
-179.5,14.5,Inf
-179.5,15.5,Inf
-179.5,16.5,Inf
-179.5,17.5,Inf
-179.5,18.5,Inf
-179.5,19.5,Inf
-179.5,20.5,Inf
-179.5,21.5,Inf
-179.5,22.5,Inf
-179.5,23.5,Inf
-179.5,24.5,Inf
-179.5,25.5,Inf
-179.5,26.5,Inf
-179.5,27.5,Inf
-179.5,28.5,Inf
-179.5,29.5,Inf
-179.5,30.5,Inf
-179.5,31.5,Inf
-179.5,32.5,Inf
-179.5,33.5,Inf
-179.5,34.5,Inf
-179.5,35.5,Inf
-179.5,36.5,Inf
-179.5,37.5,Inf
-179.5,38.5,Inf
-179.5,39.5,Inf
-179.5,40.5,Inf
-179.5,41.5,Inf
-179.5,42.5,Inf
-179.5,43.5,Inf
-179.5,44.5,Inf
-179.5,45.5,Inf
-179.5,46.5,Inf
-179.5,47.5,Inf
-179.5,48.5,Inf
-179.5,49.5,Inf
-179.5,50.5,Inf
-179.5,51.5,Inf
-179.5,52.5,Inf
-179.5,53.5,Inf
-179.5,54.5,Inf
-179.5,55.5,Inf
-179.5,56.5,Inf
-179.5,57.5,Inf
-179.5,58.5,Inf
-179.5,59.5,Inf
-179.5,60.5,Inf
-179.5,61.5,Inf
-179.5,62.5,Inf
-179.5,63.5,Inf
-179.5,64.5,Inf
-179.5,65.5,-23.8809806421399
-179.5,66.5,-28.7617385766336
-179.5,67.5,-32.0425470953541
-179.5,68.5,-32.872713459017
-179.5,69.5,Inf
-179.5,70.5,-29.1027645299876
-179.5,71.5,-31.1200736652528
-179.5,72.5,Inf
-179.5,73.5,Inf
-179.5,74.5,Inf
-179.5,75.5,Inf
-179.5,76.5,Inf
-179.5,77.5,Inf
-179.5,78.5,Inf
-179.5,79.5,Inf
-179.5,80.5,Inf
-179.5,81.5,Inf
-179.5,82.5,Inf
-179.5,83.5,Inf
-179.5,84.5,Inf
-179.5,85.5,Inf
-179.5,86.5,Inf
-179.5,87.5,Inf
-179.5,88.5,Inf
-179.5,89.5,Inf
-178.5,-89.5,-61.1516194523445
-178.5,-88.5,-61.0555979937315
-178.5,-87.5,-58.3300055629441
-178.5,-86.5,-54.6195345953107
-178.5,-85.5,-49.1381001442139
-178.5,-84.5,-37.1070113229964
-178.5,-83.5,-34.2379235657331
-178.5,-82.5,-36.7365265770682
-178.5,-81.5,-38.2596242621275
-178.5,-80.5,-38.7228217543236
-178.5,-79.5,-37.7781088903546
-178.5,-78.5,-37.2182839279728
-178.5,-77.5,Inf
-178.5,-76.5,Inf
-178.5,-75.5,Inf
-178.5,-74.5,Inf
-178.5,-73.5,Inf
-178.5,-72.5,Inf
-178.5,-71.5,Inf
-178.5,-70.5,Inf
-178.5,-69.5,Inf
-178.5,-68.5,Inf
-178.5,-67.5,Inf
-178.5,-66.5,Inf
-178.5,-65.5,Inf
-178.5,-64.5,Inf
-178.5,-63.5,Inf
-178.5,-62.5,Inf
-178.5,-61.5,Inf
-178.5,-60.5,Inf
-178.5,-59.5,Inf
-178.5,-58.5,Inf
-178.5,-57.5,Inf
-178.5,-56.5,Inf
-178.5,-55.5,Inf
-178.5,-54.5,Inf
-178.5,-53.5,Inf
-178.5,-52.5,Inf
-178.5,-51.5,Inf
-178.5,-50.5,Inf
