"species","lon","lat","countryCode","gbifID"
"Agabus ramblae",-1.49,39.47,"ES",1065836208
"Agabus ramblae",-0.24,41.7,"ES",1065836211
"Agabus ramblae",4.05,40.02,"ES",1065836241
"Agabus ramblae",-1.52,38.21,"ES",1065848077
"Agabus ramblae",-1.57,38.52,"ES",998482325
"Agabus ramblae",-2.55,36.96,"ES",1065836219
"Agabus ramblae",-2.55,37.32,"ES",1065846537
"Agabus ramblae",-1.41,37.58,"ES",1065848053
"Agabus ramblae",-2.65,39.03,"ES",1065848056
"Agabus ramblae",-1.18,37.84,"ES",1065848066
"Agabus ramblae",3.94,40.02,"ES",1065862427
"Agabus ramblae",-1.97,38.03,"ES",1065882113
"Agabus ramblae",-2.07,39.21,"ES",1065882186
"Agabus ramblae",-2.27,37.27,"ES",998482340
"Agabus ramblae",-2.6,39.07,"ES",998482372
"Agabus ramblae",-0.4,39.14,"ES",998482384
"Agabus ramblae",-2.01,39.25,"ES",998482393
"Agabus ramblae",-1.52,38.03,"ES",1065836173
"Agabus ramblae",4.17,39.92,"ES",1065839123
"Agabus ramblae",-1.75,37.85,"ES",1065867194
"Agabus ramblae",-1.4,38.12,"ES",1065877186
"Agabus ramblae",-2.32,38.13,"ES",1065882165
"Agabus ramblae",-1.62,38.48,"ES",1065882171
"Agabus ramblae",-2.49,37.36,"ES",998482342
"Agabus ramblae",-1.01,37.98,"ES",998482356
"Agabus ramblae",4.23,39.88,"ES",998482360
"Agabus ramblae",0.33,42.33,"ES",1065836227
"Agabus ramblae",-1.63,37.94,"ES",1065839691
"Agabus ramblae",4.17,39.83,"ES",1065866141
"Agabus ramblae",-1.95,39.84,"ES",1065882177
"Agabus ramblae",-0.48,39.95,"ES",998482385
"Agabus ramblae",-0.28,39.13,"ES",998482392
"Agabus ramblae",-1.63,38.39,"ES",1065839701
"Agabus ramblae",-2.88,38.85,"ES",1065848059
"Agabus ramblae",-1.38,39.2,"ES",1065848112
"Agabus ramblae",-2.37,38.71,"ES",998482303
"Agabus ramblae",-1.57,38.43,"ES",998482362
"Agabus ramblae",-1.69,38.17,"ES",998482365
"Agabus ramblae",-1.01,41.85,"ES",998482404
"Agabus ramblae",-2.43,38.67,"ES",1065848093
"Agabus ramblae",-0.66,41.48,"ES",998482373
"Agabus ramblae",-0.07,38.59,"ES",998482391
"Agabus ramblae",-2.43,38.49,"ES",1065839642
"Agabus ramblae",-0.36,41.7,"ES",1065839677
"Agabus ramblae",3.94,39.93,"ES",1065855253
"Agabus ramblae",-1.74,38.3,"ES",1065877905
"Agabus ramblae",-1.75,38.12,"ES",1065882333
"Agabus ramblae",-2.37,38.17,"ES",998482300
"Agabus ramblae",-1.58,37.98,"ES",998482374
"Agabus ramblae",2.82,39.8,"ES",998482403
"Agabus ramblae",-2.66,38.22,"ES",1065836200
"Agabus ramblae",-0.46,39.09,"ES",1065839667
"Agabus ramblae",-1.5,38.84,"ES",1065848054
"Agabus ramblae",-1.62,38.84,"ES",1065848070
"Agabus ramblae",-1.51,38.3,"ES",1065882205
"Agabus ramblae",-2.37,38.53,"ES",998482368
"Agabus ramblae",0.39,42.38,"ES",998482443
"Agabus ramblae",-1.86,38.03,"ES",1065836243
"Agabus ramblae",0.01,41.42,"ES",1065839672
"Agabus ramblae",-1.07,37.93,"ES",1065848062
"Agabus ramblae",-1.8,38.08,"ES",998482332
"Agabus ramblae",-1.69,38.26,"ES",998482350
"Agabus ramblae",-2.25,38.62,"ES",998482376
"Agabus ramblae",-1.7,37.72,"ES",998482378
"Agabus ramblae",-1.64,37.85,"ES",1065848098
"Agabus ramblae",-0.34,39.09,"ES",1065836172
"Agabus ramblae",-1.98,37.67,"ES",1065848025
"Agabus ramblae",-1.74,38.21,"ES",1065848029
"Agabus ramblae",3.35,39.66,"ES",1065862798
"Agabus ramblae",-0.94,38.2,"ES",1065876969
"Agabus ramblae",2.77,39.66,"ES",1065838992
"Agabus ramblae",-1.75,37.67,"ES",1065848030
"Agabus ramblae",-1.97,38.39,"ES",1065848089
"Agabus ramblae",-0.29,41.75,"ES",998482347
"Agabus ramblae",2.83,39.7,"ES",998482388
"Agabus ramblae",-2.32,37.22,"ES",1065846564
"Agabus ramblae",-1.28,38.3,"ES",1065848039
"Agabus ramblae",-1.17,38.11,"ES",1065848079
"Agabus ramblae",-1.86,38.12,"ES",1065848107
"Agabus ramblae",-1.56,38.89,"ES",998482367
"Agabus ramblae",-0.66,41.57,"ES",998482423
"Agabus ramblae",-1.46,38.25,"ES",998482430
"Agabus ramblae",-2.19,39.3,"ES",1065860371
"Agabus ramblae",-1.36,37.62,"ES",998482339
"Agabus ramblae",-1.36,37.53,"ES",998482346
"Agabus ramblae",-1.69,37.81,"ES",998482333
"Agabus ramblae",-2.6,38.8,"ES",998482348
"Agabus ramblae",-1.34,38.16,"ES",998482417
"Agabus ramblae",-2.31,38.4,"ES",1065848082
"Agabus ramblae",-1.69,37.9,"ES",998482353
"Agabus ramblae",-1.8,38.17,"ES",998482357
"Agabus ramblae",4,40.06,"ES",998482381
"Agabus ramblae",-2.43,38.4,"ES",1065836168
"Agabus ramblae",-0.54,39.9,"ES",1065839662
"Agabus ramblae",-2.42,38.76,"ES",1065848019
"Agabus ramblae",-1.42,37.49,"ES",1065848044
"Agabus ramblae",-2.31,38.58,"ES",1065848051
"Agabus ramblae",-1.92,37.72,"ES",998482341
"Agabus ramblae",-1.23,38.34,"ES",998482400
"Agabus ramblae",0.06,40.16,"ES",1065836238
"Agabus ramblae",-1.75,37.76,"ES",1065848088
"Agabus ramblae",-1.07,41.81,"ES",1065873210
"Agabus ramblae",-2.26,38.44,"ES",998482330
"Agabus ramblae",4,39.97,"ES",998482359
"Agabus ramblae",-2.83,38.89,"ES",998482390
"Agabus ramblae",4.23,39.97,"ES",998482436
"Agabus ramblae",-0.73,41.44,"ES",1065839682
"Agabus ramblae",-2.65,38.76,"ES",1065848057
"Agabus ramblae",-1.68,38.35,"ES",998482366
"Agabus ramblae",-0.17,41.74,"ES",998482375
"Agabus ramblae",-1.12,38.16,"ES",998482401
"Agabus ramblae",-0.89,38.24,"ES",998482402
"Agabus ramblae",-1.46,38.34,"ES",998482411
"Agabus ramblae",0.06,41.56,"ES",998482431
"Agabus ramblae",-0.72,41.53,"ES",1065839723
"Agabus ramblae",-1.12,37.89,"ES",998482335
"Agabus ramblae",-2.37,38.44,"ES",998482337
"Agabus ramblae",-1.44,38.88,"ES",998482355
"Agabus ramblae",-1.32,39.24,"ES",998482358
"Agabus ramblae",-1.43,39.51,"ES",998482370
"Agabus ramblae",-1.92,38.08,"ES",998482399
"Agabus ramblae",0.09,40.93,"ES",998482437
"Agabus ramblae",0.12,40.21,"ES",998482460
"Agabus ramblae",0.03,40.88,"ES",1065836205
"Agabus ramblae",2.77,39.75,"ES",1065855205
"Agabus ramblae",-2.49,37,"ES",998482336
"Agabus ramblae",4.11,40.06,"ES",998482386
"Agabus ramblae",-1.91,38.44,"ES",998482394
"Agabus ramblae",0.07,41.47,"ES",998482424
"Agabus ramblae",-0.0041,41.69,"ES",1065836202
"Agabus ramblae",-0.13,38.54,"ES",1065874556
"Agabus ramblae",-1.58,37.89,"ES",998482331
"Agabus ramblae",-2.26,38.17,"ES",998482334
"Agabus ramblae",-2.13,39.34,"ES",998482387
"Agabus ramblae",-2.43,38.13,"ES",1065848084
"Agabus ramblae",-2.6,38.26,"ES",998482305
"Agabus ramblae",-1.89,39.88,"ES",998482363
"Agabus ramblae",-2.37,38.8,"ES",998482380
"Agabus ramblae",-1.46,38.07,"ES",998482414
"Agabus ramblae",0.05,41.74,"ES",998482422
