"species","lon","lat","countryCode","gbifID"
"Ameiurus natalis",-98.70472,29.78347,"US",1092895289
"Ameiurus natalis",-99.28388,29.85047,"US",1132405083
"Ameiurus natalis",-83.84728,36.51854,"US",899955453
"Ameiurus natalis",-94.16232,33.39177,"US",1054792585
"Ameiurus natalis",-97.28294,32.8868,"US",899962032
"Ameiurus natalis",-87.26262,34.30554,"US",1024557728
"Ameiurus natalis",-96.4243,34.3821,"US",1024563810
"Ameiurus natalis",-99.74423,29.61694,"US",911493720
"Ameiurus natalis",-82.38729,29.97521,"US",930961975
"Ameiurus natalis",-88.22422,36.69478,"US",1039497349
"Ameiurus natalis",-82.14468,29.5999,"US",930961867
"Ameiurus natalis",-96.183,34.4113,"US",1051358818
"Ameiurus natalis",-95.0639,34.7277,"US",1135113229
"Ameiurus natalis",-87.47373,34.32229,"US",1024558112
"Ameiurus natalis",-95.0817,34.6696,"US",1135113143
"Ameiurus natalis",-95.2428,34.08,"US",1065822667
"Ameiurus natalis",-95.02643,39.86151,"US",1078811909
"Ameiurus natalis",-97.28062,32.88399,"US",911502627
"Ameiurus natalis",-96.34961,30.01879,"US",1038288880
"Ameiurus natalis",-98.34796,37.64787,"US",1078810619
"Ameiurus natalis",-96.20961,39.55651,"US",1078810206
"Ameiurus natalis",-82.8941,40.254,"US",1064530447
"Ameiurus natalis",-85.69343,32.47752,"US",1024558105
"Ameiurus natalis",-84.69928,39.30246,"US",1024207358
"Ameiurus natalis",-97.01165,41.43895,"US",1078813449
"Ameiurus natalis",-96.3936,34.6106,"US",1099810553
"Ameiurus natalis",-82.7507,39.2823,"US",1050660393
"Ameiurus natalis",-84.6985,39.30248,"US",1038294062
"Ameiurus natalis",-71.3732,43.24645,"US",770489537
"Ameiurus natalis",-81.81347,29.59332,"US",1022641050
"Ameiurus natalis",-81.81133,29.59068,"US",1022641041
"Ameiurus natalis",-82.02347,27.48767,"US",1036348567
"Ameiurus natalis",-81.93826,29.56146,"US",1022641017
"Ameiurus natalis",-81.0306,41.7477,"US",868373031
"Ameiurus natalis",-81.1768,41.7243,"US",868373084
