"species","lon","lat","countryCode","gbifID"
"Ameiva festiva",-83.52824,10.59318,"CR",891032025
"Ameiva festiva",-82.81769,9.73748,"CR",920339810
"Ameiva festiva",-82.20679,9.34932,"PA",891758946
"Ameiva festiva",-77.99238,7.98197,"PA",891758158
"Ameiva festiva",-84.62393,10.38837,"CR",891164155
"Ameiva festiva",-84.00126,10.42636,"CR",911491034
"Ameiva festiva",-83.58982,8.48018,"CR",920338023
"Ameiva festiva",-73.76833,7.4325,"CO",919140732
"Ameiva festiva",-84.72948,10.44913,"CR",920338262
"Ameiva festiva",-84.61636,10.48216,"CR",920338873
"Ameiva festiva",-84.12089,10.41553,"CR",891038556
"Ameiva festiva",-88.70917,16.55774,"BZ",891170720
"Ameiva festiva",-76.41296,7.10218,"CO",894601824
"Ameiva festiva",-75.41282,7.19713,"CO",894601797
"Ameiva festiva",-87.9,14.88,"HN",887666368
"Ameiva festiva",-87.4516,15.7291,"HN",887666439
"Ameiva festiva",-87.90565,14.87235,"HN",887666373
"Ameiva festiva",-86.8533,15.7092,"HN",887666386
"Ameiva festiva",-84.00556,10.45556,"CR",891715554
"Ameiva festiva",-75.5067,6.8906,"CO",894601530
"Ameiva festiva",-75.00811,6.35203,"CO",727773138
"Ameiva festiva",-74.86667,6.22756,"CO",727775334
"Ameiva festiva",-74.83936,6.21561,"CO",727775364
"Ameiva festiva",-74.85267,6.22756,"CO",727775340
"Ameiva festiva",-74.81714,6.21914,"CO",727775392
"Ameiva festiva",-84.48,14.78,"HN",884617262
"Ameiva festiva",-74.83694,6.20347,"CO",724233900
"Ameiva festiva",-75.6189,5.7278,"CO",894601231
"Ameiva festiva",-74.87361,5.95528,"CO",894601351
"Ameiva festiva",-84.6656,14.9478,"HN",884617233
"Ameiva festiva",-84.37,15.18,"HN",884617238
"Ameiva festiva",-84.42,15.13,"HN",888983031
"Ameiva festiva",-90.67646,15.9356,"GT",1051106425
"Ameiva festiva",-75.1533,6.9003,"CO",894601110
"Ameiva festiva",-84.00363,10.43118,"CR",1098893101
"Ameiva festiva",-74.88333,5.55608,"CO",724223573
"Ameiva festiva",-84.6911,14.9222,"HN",884617268
"Ameiva festiva",-84.6803,14.9106,"HN",884617211
"Ameiva festiva",-74.99628,6.36306,"CO",724226964
"Ameiva festiva",-74.90419,5.56386,"CO",724223644
"Ameiva festiva",-84.04547,10.28214,"CR",1039465650
"Ameiva festiva",-74.83292,6.21508,"CO",724233360
"Ameiva festiva",-74.91422,5.50706,"CO",724223672
"Ameiva festiva",-74.81342,6.20858,"CO",724233630
"Ameiva festiva",-74.87897,5.56653,"CO",724223739
"Ameiva festiva",-86.77,15.48,"HN",884617196
"Ameiva festiva",-84.5169,14.9481,"HN",884617073
"Ameiva festiva",-84.52,14.97,"HN",884616932
"Ameiva festiva",-74.99161,6.36222,"CO",724231998
"Ameiva festiva",-74.84778,6.20672,"CO",724237483
"Ameiva festiva",-84.66558,14.94775,"HN",888983005
"Ameiva festiva",-84.67417,14.94265,"HN",888983063
"Ameiva festiva",-76.0592,8.1736,"CO",894600818
"Ameiva festiva",-84.67178,14.96098,"HN",888982989
"Ameiva festiva",-74.86822,5.55908,"CO",894600511
"Ameiva festiva",-74.93798,6.02671,"CO",894600476
"Ameiva festiva",-74.8833,5.5667,"CO",894600525
"Ameiva festiva",-86.85,15.7,"HN",884616870
"Ameiva festiva",-84.5339,14.9275,"HN",884616977
"Ameiva festiva",-75.24509,8.00987,"CO",894600418
"Ameiva festiva",-75.0808,6.735,"CO",894600040
"Ameiva festiva",-74.89831,5.55497,"CO",894600049
"Ameiva festiva",-75.01852,6.59793,"CO",894600025
"Ameiva festiva",-73.9506,6.3161,"CO",894600535
"Ameiva festiva",-84.82,14.83,"HN",884617177
"Ameiva festiva",-84.45,14.7169,"HN",884616861
"Ameiva festiva",-84.9,14.93,"HN",888982982
"Ameiva festiva",-75.1238,6.7869,"CO",894599680
"Ameiva festiva",-85.2917,15.3194,"HN",884616739
