"species","lon","lat","countryCode","gbifID"
"Norops auratus",-76.51147,3.34903,"CO",1038340877
"Norops auratus",-74.23162,8.41318,"CO",894602034
"Norops auratus",-75.80436,6.0636,"CO",894602067
"Norops auratus",-73.77222,7.49889,"CO",919140692
"Norops auratus",-73.33972,7.42167,"CO",919140685
"Norops auratus",-73.76833,7.4325,"CO",919140702
"Norops auratus",-59.12647,3.96365,"GY",891117228
"Norops auratus",-74.84463,6.2199,"CO",894601974
"Norops auratus",-81.8636,8.16907,"PA",698860836
"Norops auratus",-82.49083,8.39627,"PA",698860839
"Norops auratus",-81.37565,8.02738,"PA",698860835
"Norops auratus",-75.0012,10.89507,"CO",891087829
"Norops auratus",-76.20609,4.28844,"CO",1063875074
"Norops auratus",-72.82772,10.76231,"CO",894601726
"Norops auratus",-75.76299,6.4603,"CO",894601731
"Norops auratus",-75.76399,6.45791,"CO",894601766
"Norops auratus",-76.18322,3.61668,"CO",857852486
"Norops auratus",-76.17332,3.60201,"CO",857852495
"Norops auratus",-76.54923,3.1126,"CO",1063875385
"Norops auratus",-76.38229,3.81542,"CO",1063876050
"Norops auratus",-76.3239,3.46966,"CO",1063874567
"Norops auratus",-76.58877,3.12061,"CO",1063875811
"Norops auratus",-76.39179,3.7882,"CO",1063876110
"Norops auratus",-76.39245,3.77568,"CO",1063874767
"Norops auratus",-76.38229,3.83582,"CO",1063876046
"Norops auratus",-76.56341,3.12068,"CO",1063875414
"Norops auratus",-76.67328,7.77937,"CO",894601412
"Norops auratus",-76.51333,3.35442,"CO",894601374
"Norops auratus",-76.67319,7.77917,"CO",894601728
"Norops auratus",-73.7519,9.6622,"CO",894601467
"Norops auratus",-74.2581,6.7336,"CO",894601514
"Norops auratus",-74.87119,5.567,"CO",727726051
"Norops auratus",-75.6189,5.7278,"CO",894601202
"Norops auratus",-75.3556,9.4967,"CO",894601264
"Norops auratus",-75.37694,9.48639,"CO",894601320
"Norops auratus",-74.77694,10.95278,"CO",894601219
"Norops auratus",-74.7492,7.6469,"CO",894601175
"Norops auratus",-74.86472,6.57417,"CO",894601111
"Norops auratus",-72.76167,10.94167,"CO",894601196
"Norops auratus",-74.87861,11.03156,"CO",894601142
"Norops auratus",-74.87169,5.56942,"CO",724223604
"Norops auratus",-74.84642,6.22285,"CO",724233646
"Norops auratus",-73.53147,9.67006,"CO",894600952
"Norops auratus",-74.672,5.193,"CO",894600993
"Norops auratus",-74.6436,6.5469,"CO",894600851
"Norops auratus",-76.0592,8.1736,"CO",894600821
"Norops auratus",-77.18095,3.82363,"CO",894600966
"Norops auratus",-76.43333,2.98333,"CO",767303181
"Norops auratus",-76.53333,3.36667,"CO",767303194
"Norops auratus",-76.53084,3.37371,"CO",1078952415
"Norops auratus",-75.5278,9.74,"CO",894600575
"Norops auratus",-75.6274,5.7272,"CO",894600704
"Norops auratus",-74.57528,6.43245,"CO",894600610
"Norops auratus",-74.385,9.22806,"CO",894600726
"Norops auratus",-75.45,8.4667,"CO",894601014
"Norops auratus",-76.20575,4.0571,"CO",1078952404
"Norops auratus",-76.6728,7.7775,"CO",894600584
"Norops auratus",-75.8197,9.2317,"CO",894600885
"Norops auratus",-73.2847,9.705,"CO",894600521
"Norops auratus",-75.6222,5.7306,"CO",894600579
"Norops auratus",-75.1347,8.6611,"CO",894600462
"Norops auratus",-76.6708,7.7796,"CO",894600481
"Norops auratus",-74.6402,6.5441,"CO",894600433
"Norops auratus",-74.8833,5.5667,"CO",894600477
"Norops auratus",-67.111,3.971,"VE",197007571
"Norops auratus",-67.085,3.959,"VE",197007573
"Norops auratus",-67.09,3.956,"VE",197007570
"Norops auratus",-76.6275,7.9222,"CO",894600272
"Norops auratus",-77.2333,8.5333,"CO",894600205
"Norops auratus",-75.24509,8.00987,"CO",894600239
"Norops auratus",-59.43139,2.82306,"GY",620528364
"Norops auratus",-59.3625,2.89139,"GY",620528369
"Norops auratus",-76.89789,3.83986,"CO",1078952419
"Norops auratus",-76.14078,3.86563,"CO",1078952398
"Norops auratus",-75.27287,7.97047,"CO",894599956
"Norops auratus",-74.0608,6.6517,"CO",894600204
"Norops auratus",-74.53143,6.30314,"CO",894600244
"Norops auratus",-73.9506,6.3161,"CO",894600529
"Norops auratus",-74.58671,6.19004,"CO",894600735
"Norops auratus",-75.65225,4.68587,"CO",1078952383
"Norops auratus",-72.7986,10.7775,"CO",894599903
"Norops auratus",-73.4508,11.0686,"CO",894599921
"Norops auratus",-74.0808,8.9586,"CO",894599815
"Norops auratus",-75.9986,4.3028,"CO",894599777
"Norops auratus",-75.931,5.79506,"CO",894599734
"Norops auratus",-75.28174,7.48678,"CO",894599723
"Norops auratus",-75.09489,6.76241,"CO",894599610
"Norops auratus",-75.40389,7.58155,"CO",894599546
"Norops auratus",-54.95597,-2.50336,"BR",894770021
"Norops auratus",-54.95508,-2.50269,"BR",894770619
"Norops auratus",-76.6753,3.93585,"CO",1078952393
"Norops auratus",-74.91222,9.63,"CO",860763221
"Norops auratus",-59.3211,2.4753,"GY",886763576
"Norops auratus",-59.3089,3.7525,"GY",886763773
"Norops auratus",-76.67018,3.3445,"CO",1078952395
"Norops auratus",-59.82,4.67,"GY",886763436
"Norops auratus",-59.7,4.72,"GY",886763329
"Norops auratus",-61.67,3.42,"BR",886763403
"Norops auratus",-79.695,9.115,"PA",886763381
"Norops auratus",-75.90147,6.53238,"CO",1078952399
"Norops auratus",-76.52511,3.41744,"CO",1078952400
"Norops auratus",-76.91095,3.61374,"CO",1078952423
"Norops auratus",-76.53145,3.37382,"CO",1078952357
"Norops auratus",-62.32,5.72,"VE",886763408
"Norops auratus",-63.67028,6.10058,"VE",786276655
"Norops auratus",-68.9,7.81667,"VE",476470822
"Norops auratus",-55.86389,-1.76528,"BR",786276369
"Norops auratus",-55.51889,-1.90833,"BR",686837011
"Norops auratus",-62.81667,7.75,"VE",476758471
"Norops auratus",-74.22981,11.16628,"CO",543456440
"Norops auratus",-73.59035,10.41295,"CO",543459203
"Norops auratus",-72.25,10.85,"VE",886763518
"Norops auratus",-73.54508,9.20042,"CO",543459277
"Norops auratus",-73.33285,9.56521,"CO",543459254
"Norops auratus",-55.09896,5.44252,"SR",786146788
"Norops auratus",-57.98,6.73,"GY",886763471
"Norops auratus",-67.46901,9.24678,"VE",476738570
"Norops auratus",-67.44011,9.19538,"VE",476722476
"Norops auratus",-79.76872,9.13984,"PA",543690484
"Norops auratus",-76.55,3.41667,"CO",1051157623
"Norops auratus",-79.65,9.16667,"PA",1051155314
"Norops auratus",-79.7996234652754,9.23450844822602,"PA",1051145325
"Norops auratus",-75.18333,3.33333,"CO",1051160677
"Norops auratus",-74.73333,4.15,"CO",1051128032
"Norops auratus",-75.2,3.8,"CO",1051128057
"Norops auratus",-75.5,3.8,"CO",1051128059
"Norops auratus",-59.36667,2.31667,"GY",442342359
"Norops auratus",-79.5583,8.7917,"PA",886763349
"Norops auratus",-80.07458,9.00271,"PA",543660587
"Norops auratus",-74.83333,4.2,"CO",735646928
"Norops auratus",-75.58333,6.33333,"CO",735645881
"Norops auratus",-74.41667,7,"CO",735645921
"Norops auratus",-77,3.58333,"CO",735645958
"Norops auratus",-76.1012,4.54892,"CO",998689555
"Norops auratus",-71.77699,8.54814,"VE",476628835
