"species","lon","lat","countryCode","gbifID"
"Anolis krugi",-65.9137,18.02643,"US",1051108038
"Anolis krugi",-66.73,18.41,"US",1054810148
"Anolis krugi",-66.99,18.15,"US",1054810146
"Anolis krugi",-65.78,18.31,"US",1054810184
"Anolis krugi",-66.07,18.11,"US",1054810155
"Anolis krugi",-66.49,18.17,"US",1054810157
"Anolis krugi",-66.57,18.21,"US",1054810153
"Anolis krugi",-66.08,18.12,"US",1054810165
"Anolis krugi",-66.96,18.42,"US",1054810174
"Anolis krugi",-65.83,18.34,"US",1054810176
"Anolis krugi",-65.80062,18.265,"US",1051106619
"Anolis krugi",-65.8735,18.1762,"US",1051106467
"Anolis krugi",-65.22773,18.11343,"US",1051099535
"Anolis krugi",-66.33622,18.41497,"US",1051099538
"Anolis krugi",-66.55197,18.40008,"US",1051099508
"Anolis krugi",-65.95683,18.0708,"US",1051099513
"Anolis krugi",-66.54498,18.39205,"US",1051099523
"Anolis krugi",-66.53863,18.42418,"US",1051099457
"Anolis krugi",-66.27867,18.31302,"US",1051099552
"Anolis krugi",-66.571,18.3448,"US",1051099502
"Anolis krugi",-66.02902,18.17345,"US",1051099550
"Anolis krugi",-66.86275,18.25215,"US",1051099536
"Anolis krugi",-66.41413,18.29018,"US",1051099532
"Anolis krugi",-66.3389,18.1535,"US",1051093492
"Anolis krugi",-66.1746,18.23545,"US",1051093471
"Anolis krugi",-66.92877,18.3789,"US",1051093496
"Anolis krugi",-66.69295,18.30728,"US",1051093491
"Anolis krugi",-66.14052,18.18405,"US",1051093475
"Anolis krugi",-66.96575,18.41303,"US",1051093488
"Anolis krugi",-66.86368,18.0915,"US",1051093892
"Anolis krugi",-66.59707,18.4524,"US",1051093797
"Anolis krugi",-67.03922,18.37597,"US",1051093846
"Anolis krugi",-66.87178,18.30097,"US",1051093847
"Anolis krugi",-66.98193,18.1471,"US",1051093901
"Anolis krugi",-67.00492,18.24731,"US",1051093057
"Anolis krugi",-65.90642,17.99125,"US",1051093014
"Anolis krugi",-66.76783,18.14542,"US",1051093048
"Anolis krugi",-66.86353,18.09144,"US",1051093128
"Anolis krugi",-66.06825,18.11297,"US",1051093071
"Anolis krugi",-65.76431,18.35061,"US",1051093114
"Anolis krugi",-66.0205,18.10317,"PR",866181518
"Anolis krugi",-66.071,18.12683,"PR",866181014
"Anolis krugi",-65.93169,18.12242,"US",1051084268
"Anolis krugi",-66.11664,18.23056,"US",1051084298
"Anolis krugi",-66.51097,18.16069,"US",1051084294
"Anolis krugi",-66.52683,18.15961,"US",1051084445
"Anolis krugi",-66.21958,18.31189,"US",1051084422
"Anolis krugi",-66.65528,18.12042,"US",1051084399
"Anolis krugi",-66.9781,18.1247,"US",1039462848
"Anolis krugi",-65.86228,18.25203,"US",1051080075
"Anolis krugi",-66.25197,18.19414,"US",1051080092
"Anolis krugi",-66.57192,18.34553,"US",1051080013
"Anolis krugi",-66.46144,18.07875,"US",1051080172
"Anolis krugi",-65.95658,18.0709,"US",1051076047
"Anolis krugi",-66.90168,18.06635,"US",1051076037
"Anolis krugi",-66.08002,18.0955,"US",1051076058
"Anolis krugi",-66.40263,18.30927,"US",1051076019
"Anolis krugi",-66.96583,18.409,"US",1051076054
"Anolis krugi",-66.7121,18.32788,"US",1051076028
"Anolis krugi",-66.04603,18.10383,"US",1051076097
"Anolis krugi",-66.41882,18.31673,"US",1051076049
"Anolis krugi",-66.96607,18.40998,"US",1051076042
"Anolis krugi",-66.53103,18.24327,"US",1051076064
"Anolis krugi",-66.7296,18.41407,"US",1051076055
"Anolis krugi",-66.28403,18.37395,"US",1051076089
"Anolis krugi",-65.67902,18.27218,"US",1051082531
"Anolis krugi",-67.11238,18.19478,"US",1051076085
"Anolis krugi",-66.05585,18.39303,"US",1051076070
"Anolis krugi",-66.79037,18.0691,"US",1051076084
"Anolis krugi",-67.09987,18.1989,"US",1051076103
"Anolis krugi",-66.33575,18.41432,"US",1051076062
"Anolis krugi",-66.79268,18.12408,"US",1051076087
"Anolis krugi",-66.92692,18.30928,"US",1051076102
"Anolis krugi",-66.9671,18.13815,"US",1051065821
"Anolis krugi",-66.54605,18.19737,"US",1051065820
"Anolis krugi",-65.8326506699562,18.2926359021453,"US",1051065831
"Anolis krugi",-66.5675,18.3653,"US",543553087
"Anolis krugi",-66.7161,18.4744,"US",886769277
"Anolis krugi",-65.7706,18.25204,"US",886769305
"Anolis krugi",-65.7706,18.3722,"US",886769267
"Anolis krugi",-65.75356,18.2563,"US",1051050080
"Anolis krugi",-66.83222,18.1825,"PR",686911862
"Anolis krugi",-65.8261,18.3408,"US",543501958
"Anolis krugi",-65.7636,18.3381,"PR",657473195
"Anolis krugi",-65.79167,18.3125,"PR",686887317
"Anolis krugi",-65.83128,18.31501,"PR",686887318
"Anolis krugi",-65.76719,18.35493,"US",919378076
"Anolis krugi",-66.086,18.4138,"US",543490083
"Anolis krugi",-66.62543,18.25054,"US",543487759
"Anolis krugi",-65.78863,18.30325,"US",1051034770
"Anolis krugi",-66.62534,18.25054,"US",1050945668
"Anolis krugi",-65.7915497670138,18.284236324772,"US",1050945664
"Anolis krugi",-65.7914297705348,18.3345438231215,"US",1050965247
"Anolis krugi",-65.75,18.31667,"PR",686857709
"Anolis krugi",-65.8175,18.32389,"PR",786252422
"Anolis krugi",-65.7496688493775,18.2927759046592,"US",1051175166
"Anolis krugi",-65.7496888498162,18.292775904657,"US",1051175197
"Anolis krugi",-65.7829995805225,18.2928958949613,"US",1051175152
"Anolis krugi",-65.7497688515575,18.2926659101204,"US",1051175170
"Anolis krugi",-65.7831095828823,18.2924659163378,"US",1051174642
"Anolis krugi",-67.13722,18.20972,"PR",786154966
"Anolis krugi",-66.8293425567585,18.0267389514975,"PR",786155076
"Anolis krugi",-66.58247,18.38058,"PR",686962711
"Anolis krugi",-66.57506,18.2675,"PR",686962717
"Anolis krugi",-66.5075,18.29557,"PR",686962761
"Anolis krugi",-66.60454,18.3595,"PR",686962714
"Anolis krugi",-66.67604,18.29667,"PR",686962691
"Anolis krugi",-67.03278,18.40676,"PR",686962697
"Anolis krugi",-66.03865,18.16057,"PR",686962766
"Anolis krugi",-66.5675,18.42483,"PR",686962685
"Anolis krugi",-67.01774,18.17444,"PR",686962694
"Anolis krugi",-66.40343,18.18141,"PR",686962686
"Anolis krugi",-66.82368,18.34807,"PR",686962690
"Anolis krugi",-65.99541,17.98853,"PR",686962762
"Anolis krugi",-66.28927,18.19837,"PR",686962730
"Anolis krugi",-66.47444,18.04971,"PR",686962704
"Anolis krugi",-66.7574,18.1185,"PR",686962725
"Anolis krugi",-66.7906,18.211,"PR",686962723
"Anolis krugi",-66.4925,18.26003,"PR",686962706
"Anolis krugi",-66.99125,18.46292,"PR",686962760
"Anolis krugi",-66.5807,18.3937,"PR",686962753
"Anolis krugi",-66.74008,17.99861,"PR",686962757
"Anolis krugi",-65.78333,18.3,"PR",686784522
"Anolis krugi",-65.82611,18.34083,"PR",657377396
"Anolis krugi",-65.9068,18.0211,"PR",657457652
"Anolis krugi",-66.64164,18.32405,"PR",686962719
"Anolis krugi",-65.82583,18.32249,"PR",686962743
"Anolis krugi",-65.82583,18.28967,"PR",686962739
"Anolis krugi",-66.96083,18.20332,"PR",686962688
"Anolis krugi",-66.4925,18.27457,"PR",686962707
"Anolis krugi",-65.9002,18.0383,"PR",686962744
"Anolis krugi",-65.78294,18.28134,"US",543721626
"Anolis krugi",-65.7917,18.3125,"US",543717222
"Anolis krugi",-66.9803,18.1828,"US",543642267
"Anolis krugi",-66.7225,18.1647,"US",886769310
"Anolis krugi",-66.7008,18.2675,"US",886769299
"Anolis krugi",-66.8775,18.2967,"US",886769303
"Anolis krugi",-66.1664,18.1139,"US",886769217
"Anolis krugi",-66.41903,18.18095,"US",1051034744
