"species","lon","lat","countryCode","gbifID"
"Anolis marcanoi",-70.32976,18.38189,"DO",1100001732
"Anolis marcanoi",-70.29233,18.31065,"DO",812165219
"Anolis marcanoi",-70.28903,18.32505,"DO",476802531
"Anolis marcanoi",-70.54453,18.65421,"DO",812165236
"Anolis marcanoi",-70.43086,18.38981,"DO",812165217
"Anolis marcanoi",-70.42108,18.4024,"DO",476802321
"Anolis marcanoi",-70.42022,18.40276,"DO",476801874
"Anolis marcanoi",-70.43089,18.38984,"DO",812165273
"Anolis marcanoi",-70.33245,18.34277,"DO",476766437
"Anolis marcanoi",-70.333,18.3438,"DO",476762700
"Anolis marcanoi",-70.32977,18.3819,"DO",476508411
"Anolis marcanoi",-70.33228,18.3613,"DO",476762401
"Anolis marcanoi",-70.32293,18.35584,"DO",476761977
"Anolis marcanoi",-70.3303,18.3811,"DO",476508652
"Anolis marcanoi",-70.3322,18.3409,"DO",476765601
"Anolis marcanoi",-70.3372,18.4007,"DO",476762598
"Anolis marcanoi",-70.50335,18.5266,"DO",1063855571
"Anolis marcanoi",-70.3266408815168,18.334332382035,"DO",886877258
"Anolis marcanoi",-70.3269208849295,18.3293326269544,"DO",888570514
"Anolis marcanoi",-70.3275,18.3194,"DO",476707026
"Anolis marcanoi",-70.3269,18.3342,"DO",476721911
"Anolis marcanoi",-70.315,18.3036,"DO",476713081
"Anolis marcanoi",-70.5036,18.5333,"DO",476781235
"Anolis marcanoi",-70.4956,18.5589,"DO",476468684
"Anolis marcanoi",-70.4660940580582,18.3687906191424,"DO",686964892
"Anolis marcanoi",-70.3327610432764,18.3744004156562,"DO",686964893
"Anolis marcanoi",-70.3327610222654,18.3382621861699,"DO",686964899
"Anolis marcanoi",-70.3275,18.3219,"DO",476777376
"Anolis marcanoi",-70.3219,18.3125,"DO",476777378
"Anolis marcanoi",-70.3339,18.3458,"DO",476777379
"Anolis marcanoi",-70.3292,18.3519,"DO",476468297
"Anolis marcanoi",-70.4864,18.4675,"DO",476777272
"Anolis marcanoi",-70.3169,18.3061,"DO",476777166
"Anolis marcanoi",-70.3319,18.3597,"DO",476777377
"Anolis marcanoi",-70.5033,18.5281,"DO",476789640
"Anolis marcanoi",-70.4686,18.4428,"DO",476777271
"Anolis marcanoi",-70.53528,18.24083,"DO",476788715
"Anolis marcanoi",-70.51778,18.70389,"DO",476777270
"Anolis marcanoi",-70.53333,18.65,"DO",476699452
"Anolis marcanoi",-70.46667,18.3771,"DO",686964889
"Anolis marcanoi",-70.491844737277,18.5332525656836,"DO",686964888
"Anolis marcanoi",-70.4813044844874,18.508983755975,"DO",686964873
"Anolis marcanoi",-70.5033,18.5239,"DO",476755725
"Anolis marcanoi",-70.49306,18.58611,"DO",476755726
"Anolis marcanoi",-70.4828,18.3572,"DO",476755709
"Anolis marcanoi",-70.4975,18.5553,"DO",476658205
"Anolis marcanoi",-70.495,18.5572,"DO",476658207
"Anolis marcanoi",-70.53333,18.33333,"DO",686964872
"Anolis marcanoi",-70.5031,18.5436,"DO",476648587
