"species","lon","lat","countryCode","gbifID"
"Anolis pulchellus",-65.98391,18.3459,"PR",1065613351
"Anolis pulchellus",-66.75253,18.34625,"PR",1038288510
"Anolis pulchellus",-66.59707,18.4524,"US",1051108069
"Anolis pulchellus",-66.64778,17.98743,"US",1051108059
"Anolis pulchellus",-65.8239,18.34688,"US",1051108086
"Anolis pulchellus",-65.82495,18.34103,"US",1051108081
"Anolis pulchellus",-66.57,18.02,"US",1054810211
"Anolis pulchellus",-65.77,18.37,"US",1054810212
"Anolis pulchellus",-66.07,18.11,"US",1054810215
"Anolis pulchellus",-66.85,17.95,"US",1054810218
"Anolis pulchellus",-66.73,18.41,"US",1054810210
"Anolis pulchellus",-66.97,18.44,"US",1054810243
"Anolis pulchellus",-66.89,18.01,"US",1054810228
"Anolis pulchellus",-66.67,17.98,"US",1054810222
"Anolis pulchellus",-66.21413,18.33703,"US",1051106678
"Anolis pulchellus",-65.64495,18.27557,"US",1051106469
"Anolis pulchellus",-66.22302,18.0308,"US",1051106509
"Anolis pulchellus",-67.09547,18.5106,"US",1051106468
"Anolis pulchellus",-65.83442,18.04778,"US",1051106549
"Anolis pulchellus",-65.8735,18.1762,"US",1051106487
"Anolis pulchellus",-66.2237,17.95993,"US",1051106493
"Anolis pulchellus",-66.95695,17.93957,"US",1051099262
"Anolis pulchellus",-66.52183,17.89478,"US",1051099187
"Anolis pulchellus",-66.55197,18.40008,"US",1051099580
"Anolis pulchellus",-66.33622,18.41497,"US",1051099509
"Anolis pulchellus",-66.14052,18.18405,"US",1051093485
"Anolis pulchellus",-66.3389,18.1535,"US",1051093539
"Anolis pulchellus",-67.27052,18.36175,"US",1051093918
"Anolis pulchellus",-66.7948,17.96982,"US",1051093965
"Anolis pulchellus",-66.87178,18.30097,"US",1051093919
"Anolis pulchellus",-67.06358,18.511,"US",1051093091
"Anolis pulchellus",-67.03922,18.37597,"US",1051093173
"Anolis pulchellus",-67.00492,18.24731,"US",1051093148
"Anolis pulchellus",-66.37356,18.09889,"US",1051093117
"Anolis pulchellus",-66.85914,18.06406,"US",1051093192
"Anolis pulchellus",-66.06825,18.11297,"US",1051093105
"Anolis pulchellus",-65.90642,17.99125,"US",1051093170
"Anolis pulchellus",-67.0395,18.21011,"US",1051093130
"Anolis pulchellus",-66.66869,18.13614,"US",1051093154
"Anolis pulchellus",-66.39533,18.48988,"PR",866180686
"Anolis pulchellus",-66.21958,18.31189,"US",1051084324
"Anolis pulchellus",-66.11664,18.23056,"US",1051084417
"Anolis pulchellus",-65.93169,18.12242,"US",1051084315
"Anolis pulchellus",-66.81569,18.03531,"US",1051084333
"Anolis pulchellus",-64.5833,18.4833,"VG",1039470519
"Anolis pulchellus",-66.57192,18.34553,"US",1051080150
"Anolis pulchellus",-66.25197,18.19414,"US",1051080161
"Anolis pulchellus",-65.86228,18.25203,"US",1051080222
"Anolis pulchellus",-65.52278,18.13228,"US",1051080153
"Anolis pulchellus",-65.47203,18.10022,"US",1051080051
"Anolis pulchellus",-66.17031,17.95528,"US",1051080074
"Anolis pulchellus",-65.56178,18.11717,"US",1051080094
"Anolis pulchellus",-66.46144,18.07875,"US",1051080196
"Anolis pulchellus",-65.5445,18.11806,"US",1051080066
"Anolis pulchellus",-66.205,17.9436,"US",1051076119
"Anolis pulchellus",-66.17968,17.9773,"US",1051076141
"Anolis pulchellus",-65.64175,18.35168,"US",1051076137
"Anolis pulchellus",-67.17925,18.29333,"US",1051076176
"Anolis pulchellus",-67.05837,18.51315,"US",1051076150
"Anolis pulchellus",-66.67528,18.33363,"US",1051076153
"Anolis pulchellus",-66.40947,18.29725,"US",1051076184
"Anolis pulchellus",-67.00942,18.07532,"US",1051076211
"Anolis pulchellus",-65.77112,18.14857,"US",1051076160
"Anolis pulchellus",-66.96607,18.40998,"US",1051076163
"Anolis pulchellus",-65.73842,18.17582,"US",1051076158
"Anolis pulchellus",-66.20003,18.01115,"US",1051076149
"Anolis pulchellus",-66.7296,18.41407,"US",1051076151
"Anolis pulchellus",-66.28403,18.37395,"US",1051076223
"Anolis pulchellus",-66.04472,18.40513,"US",1051076171
"Anolis pulchellus",-65.67902,18.27218,"US",1051082588
"Anolis pulchellus",-65.25637,18.32013,"US",1051076204
"Anolis pulchellus",-65.33153,18.29988,"US",1051076233
"Anolis pulchellus",-65.3278461111111,18.3347196831748,"US",1051076174
"Anolis pulchellus",-65.95688,18.44248,"US",1051076215
"Anolis pulchellus",-67.18107,18.10897,"US",1051076247
"Anolis pulchellus",-66.33575,18.41432,"US",1051076246
"Anolis pulchellus",-66.72528,18.0023,"US",1051076244
