"species","lon","lat","countryCode","gbifID"
"Anolis roquet",-60.91051,14.68928,"MQ",920398457
"Anolis roquet",-61.19655,14.66667,"FR",1051168600
"Anolis roquet",-60.88522,14.48333,"FR",1051168604
"Anolis roquet",-61.13789,14.66667,"FR",1051168607
"Anolis roquet",-60.89093,14.76038,"FR",1051168599
"Anolis roquet",-61,14.58333,"FR",1051168591
"Anolis roquet",-60.88235,14.76383,"FR",1051168620
"Anolis roquet",-61.16667,14.66667,"FR",1051168589
"Anolis roquet",-60.88333,14.43333,"FR",1051168587
"Anolis roquet",-60.9038,14.75519,"FR",1051168596
"Anolis roquet",-60.9,14.6,"FR",1051168603
"Anolis roquet",-60.86667,14.43333,"FR",1051168608
"Anolis roquet",-61.16202,14.73333,"FR",1051168598
"Anolis roquet",-60.86667,14.46526,"FR",1051168586
"Anolis roquet",-61.08333,14.6,"MQ",442342411
"Anolis roquet",-60.99572,14.6578,"FR",543625064
