"species","lon","lat","countryCode","gbifID"
"Armases ricordi",-63.038,18.122,"MF",899650959
"Armases ricordi",-63.017,18.067,"MF",899651408
"Armases ricordi",-60.71737,11.16827,"TT",115970738
"Armases ricordi",-80.14972,26.01083,"US",899546767
"Armases ricordi",-81.24056,24.67278,"US",899546740
"Armases ricordi",-97.672,21.725,"MX",371210056
"Armases ricordi",-94.02,18.2,"MX",218929974
"Armases ricordi",-96.091,19.176,"MX",370540211
"Armases ricordi",-96.03,22.41,"MX",218929745
"Armases ricordi",-87.617,19.767,"MX",371317780
"Armases ricordi",-86.38,19.79,"MX",218940082
"Armases ricordi",-90.57,19.06,"MX",218940013
"Armases ricordi",-89.6,19.84,"MX",218930314
"Armases ricordi",-89.25,19.24,"MX",218930310
"Armases ricordi",-95.756,18.754,"MX",371200634
"Armases ricordi",-95.768,18.773,"MX",371200711
"Armases ricordi",-95.926,18.844,"MX",371200737
"Armases ricordi",-95.754,18.772,"MX",370536550
"Armases ricordi",-87.517,20.017,"MX",371303921
"Armases ricordi",-86.733,21.25,"MX",371311601
"Armases ricordi",-87.82,21.57,"MX",218940019
"Armases ricordi",-74.0825,11.31555,"CO",208047999
"Armases ricordi",-79.8697,9.4008,"PA",889290576
"Armases ricordi",-80.6005,27.7088,"US",1039233046
"Armases ricordi",-61.52583,16.34083,"GP",790015340
"Armases ricordi",-64.75889,18.26444,"PR",699120159
"Armases ricordi",-61.585,16.26944,"GP",790015343
"Armases ricordi",-61.76703,16.09061,"GP",790015347
"Armases ricordi",-87.18091,12.49029,"NI",699119244
"Armases ricordi",-81.769696642477,24.5504329679033,"US",1039231227
"Armases ricordi",-61.56111,16.15,"GP",790015345
"Armases ricordi",-61.53044,16.2235,"GP",790015349
