"species","lon","lat","countryCode","gbifID"
"Aulacomya atra",17.89781,-32.80317,"ZA",1061400214
"Aulacomya atra",18.33932,-32.31001,"ZA",1061400191
"Aulacomya atra",18.82044,-34.34776,"ZA",856778786
"Aulacomya atra",18.30917,-34.06583,"ZA",899486302
"Aulacomya atra",158.79166,-54.766,"AU",488324231
"Aulacomya atra",-73.6667,-45.9167,"CL",1055371147
"Aulacomya atra",-73.6167,-45.65,"CL",1056610828
"Aulacomya atra",-73.6167,-43.65,"CL",1057396102
"Aulacomya atra",-73.75,-46.2,"CL",1055631657
"Aulacomya atra",-73.7833,-45.6667,"CL",1057485542
"Aulacomya atra",-73.7,-46.3833,"CL",1057048148
"Aulacomya atra",-67.52483,-54.86804,"AR",856759781
"Aulacomya atra",-65.05,-42.76667,"AR",856759783
"Aulacomya atra",17.8833,-32.8,"ZA",24922299
"Aulacomya atra",19.1333,-34.3833,"ZA",24922153
"Aulacomya atra",15.0881,-26.63508,NA,856689867
"Aulacomya atra",15.15229,-26.66182,NA,856689870
"Aulacomya atra",-73.13397,-41.76953,"CL",856689858
"Aulacomya atra",20.1333,-34.7333,"ZA",24922422
"Aulacomya atra",18.38618,-33.91475,"ZA",856759779
"Aulacomya atra",168.0508,-46.9458,"NZ",80067832
"Aulacomya atra",168.1567,-46.9367,"NZ",80067829
"Aulacomya atra",168.1225,-46.9087,"NZ",80068076
"Aulacomya atra",178.6917,-48.8583,"NZ",80067881
"Aulacomya atra",-179.5067,-47.9883,"NZ",80067875
"Aulacomya atra",166.8883,-45.6467,"NZ",80068660
"Aulacomya atra",167.2567,-45.0267,"NZ",80068680
"Aulacomya atra",166.7883,-46.0533,"NZ",80068629
"Aulacomya atra",166.7317,-45.73,"NZ",80068653
"Aulacomya atra",167.88,-44.635,"none",80068684
"Aulacomya atra",168.1583,-46.9383,"NZ",80067980
"Aulacomya atra",18.3667,-33.9333,"ZA",24922098
"Aulacomya atra",168.1517,-46.9467,"NZ",80067993
"Aulacomya atra",-70.87624,-53.11175,"CL",856689859
"Aulacomya atra",-71.60729,-33.04141,"CL",856689861
"Aulacomya atra",18.4009,-33.90006,"ZA",856759775
"Aulacomya atra",-64.7117,-54.77,"AR",888881538
"Aulacomya atra",-64.70167,-54.785,"AR",888772304
"Aulacomya atra",-68.22,-53.28,"AR",888772031
"Aulacomya atra",-68.2433,-53.1533,"AR",888904226
"Aulacomya atra",-64.4467,-54.83,"AR",888772263
"Aulacomya atra",-64.3725,-54.7933,"AR",888893684
"Aulacomya atra",-64.4633,-54.82,"AR",888903298
"Aulacomya atra",-64.0417,-54.7567,"AR",888903590
"Aulacomya atra",-63.8542,-54.7375,"AR",888903336
"Aulacomya atra",-64.1267,-54.81,"AR",888871959
"Aulacomya atra",-64.6783,-54.7933,"AR",888906444
"Aulacomya atra",-64.0433,-54.76,"AR",888906486
"Aulacomya atra",-65.2583,-54.8,"AR",888773129
"Aulacomya atra",-64.48417,-54.84708,"AR",888903394
"Aulacomya atra",-64.43167,-54.76333,"AR",888903406
"Aulacomya atra",-64.3725,-54.80667,"AR",889287464
"Aulacomya atra",-70.9217,-53.6517,"CL",888769588
"Aulacomya atra",-70.9183,-53.6567,"CL",888769711
"Aulacomya atra",-70.4167,-53.8217,"CL",888771085
"Aulacomya atra",-69.6833,-53.4083,"CL",888769803
"Aulacomya atra",-70.4017,-53.8117,"CL",888771312
"Aulacomya atra",15.0167,-26.5333,NA,25149128
"Aulacomya atra",-70.5117,-53.8483,"CL",887845064
"Aulacomya atra",-70.4311,-53.8589,"CL",888765981
"Aulacomya atra",-69.8,-53.5,"CL",888765758
"Aulacomya atra",-69.58,-53.45,"CL",888765186
"Aulacomya atra",12.7,-19.3833,NA,25149130
"Aulacomya atra",-68.47,-52.53,"AR",888765957
"Aulacomya atra",-67.3,-53.9,"AR",888766075
"Aulacomya atra",-68.43,-52.47,"AR",888766027
"Aulacomya atra",12.4833,-18.9833,NA,25149120
"Aulacomya atra",13.25,-20.4667,NA,25149119
"Aulacomya atra",-68.567,-52.442,"AR",887844972
"Aulacomya atra",-73.075,-53.333,"CL",887845086
"Aulacomya atra",-74.125,-52.858,"CL",887845109
"Aulacomya atra",18.3833,-33.95,"ZA",24922087
"Aulacomya atra",170.1333,-46.6667,"NZ",80067415
"Aulacomya atra",-67.233,-52.508,"AR",887844989
"Aulacomya atra",-66.242,-54.425,"AR",887845043
"Aulacomya atra",-44.833,-57.208,"none",887845022
"Aulacomya atra",-56.633,-51.992,"FK",887844954
"Aulacomya atra",175.05,-43.45,"NZ",80066909
"Aulacomya atra",-66.675,-53.325,"AR",887844899
"Aulacomya atra",173.65,-42.6667,"NZ",80066915
"Aulacomya atra",173.78,-41.1067,"NZ",80066947
"Aulacomya atra",-175.3817,-43.9733,"NZ",80067011
"Aulacomya atra",-176.5167,-43.95,"NZ",80067014
"Aulacomya atra",172.2167,-40.6667,"NZ",80066893
"Aulacomya atra",173.51,-42.7267,"NZ",80067034
"Aulacomya atra",169.82,-43.3333,"NZ",80066896
"Aulacomya atra",173.5,-42.6833,"NZ",80067030
"Aulacomya atra",173.4617,-42.7283,"NZ",80067039
"Aulacomya atra",173.5433,-42.7267,"NZ",80067043
"Aulacomya atra",166.855,-45.28,"NZ",80066898
"Aulacomya atra",173.4533,-43.8267,"NZ",80067025
"Aulacomya atra",166.7883,-45.3333,"NZ",80066899
"Aulacomya atra",166.25,-50.5333,"NZ",80067055
"Aulacomya atra",167.9167,-46.6667,"NZ",80066878
"Aulacomya atra",167.8,-46.6617,"NZ",80066881
"Aulacomya atra",168.1633,-46.8333,"NZ",80066870
"Aulacomya atra",168.925,-46.925,"NZ",80066888
"Aulacomya atra",168.28,-46.6667,"NZ",80066874
"Aulacomya atra",167.9167,-46.5833,"NZ",80066882
"Aulacomya atra",168.1633,-46.75,"NZ",80066873
