"species","lon","lat","countryCode","gbifID"
"Basiliscus vittatus",-91.99939,17.3911,"MX",1135523428
"Basiliscus vittatus",-89.21774,20.14588,"MX",1088935207
"Basiliscus vittatus",-89.42699,18.52763,"MX",1088924828
"Basiliscus vittatus",-84.59719,9.6588,"CR",1135523115
"Basiliscus vittatus",-88.31854,18.50643,"MX",1088916429
"Basiliscus vittatus",-88.32009,18.50587,"MX",1088916472
"Basiliscus vittatus",-92.0182,17.50313,"MX",1088913184
"Basiliscus vittatus",-82.84469,9.73925,"CR",1088925987
"Basiliscus vittatus",-92.33936,17.16818,"MX",1135523818
"Basiliscus vittatus",-92.34017,17.16884,"MX",1099974168
"Basiliscus vittatus",-95.06586,16.7494,"MX",1092902093
"Basiliscus vittatus",-103.81008,19.20501,"MX",1092884819
"Basiliscus vittatus",-93.01495,17.5316,"MX",1135523420
"Basiliscus vittatus",-95.11167,16.59595,"MX",1092890738
"Basiliscus vittatus",-105.44281,20.48729,"MX",1092881118
"Basiliscus vittatus",-92.94751,17.98946,"MX",1092895472
"Basiliscus vittatus",-88.17395,19.03827,"MX",1098902394
"Basiliscus vittatus",-93.79614,15.94892,"MX",1122963527
"Basiliscus vittatus",-88.17921,19.03543,"MX",1132409277
"Basiliscus vittatus",-88.18168,19.0357,"MX",1132409314
"Basiliscus vittatus",-93.79157,15.94284,"MX",1132420292
"Basiliscus vittatus",-88.19732,20.69151,"MX",1134967930
"Basiliscus vittatus",-100.02863,16.92936,"MX",899970781
"Basiliscus vittatus",-100.02869,16.92946,"MX",899970659
"Basiliscus vittatus",-92.46592,15.13767,"MX",891032035
"Basiliscus vittatus",-83.53047,10.59504,"CR",891048903
"Basiliscus vittatus",-105.23356,20.60604,"MX",899950712
"Basiliscus vittatus",-82.81769,9.73748,"CR",920741929
"Basiliscus vittatus",-105.29141,20.46591,"MX",1024216052
"Basiliscus vittatus",-105.29262,20.46558,"MX",911492669
"Basiliscus vittatus",-84.84467,11.01399,"CR",920742269
"Basiliscus vittatus",-88.26245,18.54382,"MX",1065604408
"Basiliscus vittatus",-87.43134,20.21259,"MX",1132417013
"Basiliscus vittatus",-92.95205,17.54716,"MX",923913351
"Basiliscus vittatus",-92.97402,17.9899,"MX",1024181232
"Basiliscus vittatus",-96.92825,17.67412,"MX",923926297
"Basiliscus vittatus",-89.39189,18.50864,"MX",1024186013
"Basiliscus vittatus",-87.07388,20.62956,"MX",1038340381
"Basiliscus vittatus",-105.23148,20.64875,"MX",1024218138
"Basiliscus vittatus",-89.46608,18.5169,"MX",1024195486
"Basiliscus vittatus",-92.65753,18.39843,"MX",1024203046
"Basiliscus vittatus",-86.92475,20.54166,"MX",1038342927
"Basiliscus vittatus",-96.44692,19.2799,"MX",1052606987
"Basiliscus vittatus",-89.81017,18.10647,"MX",1088898070
"Basiliscus vittatus",-93.78485,15.92947,"MX",1024206389
"Basiliscus vittatus",-87.28833,20.4375,"MX",1024218165
"Basiliscus vittatus",-105.44847,20.48822,"MX",1088895473
"Basiliscus vittatus",-88.26333,18.5446,"MX",1038338015
"Basiliscus vittatus",-92.57202,18.39254,"MX",1052575962
"Basiliscus vittatus",-88.8416,16.16709,"BZ",1052589642
"Basiliscus vittatus",-93.26667,16.8,"MX",1052598720
"Basiliscus vittatus",-88.97364,17.09801,"BZ",891127758
"Basiliscus vittatus",-92.04293,17.48855,"MX",891740710
"Basiliscus vittatus",-96.5406,19.17617,"MX",1065600316
"Basiliscus vittatus",-90.964,16.899,"MX",891154832
"Basiliscus vittatus",-88.69394,17.14912,"BZ",891760897
"Basiliscus vittatus",-84.00333,10.43133,"CR",899941031
"Basiliscus vittatus",-84.61704,10.38333,"CR",891164028
"Basiliscus vittatus",-100.02873,16.92911,"MX",910492646
"Basiliscus vittatus",-93.12709,16.76043,"MX",891727771
"Basiliscus vittatus",-87.46583,20.21194,"MX",899973773
"Basiliscus vittatus",-84.19304,10.69907,"CR",920741999
"Basiliscus vittatus",-93.36462,16.30515,"MX",891775706
"Basiliscus vittatus",-89.50523,18.51744,"MX",899943875
"Basiliscus vittatus",-84.6453,10.47068,"CR",891069233
"Basiliscus vittatus",-86.79272,13.88711,"HN",884794665
"Basiliscus vittatus",-84.46778,10.42869,"CR",1065607951
"Basiliscus vittatus",-83.48569,10.44077,"CR",891100407
"Basiliscus vittatus",-89.07991,17.54487,"BZ",891022964
"Basiliscus vittatus",-93.75389,16.09654,"MX",891770584
"Basiliscus vittatus",-83.50587,10.54756,"CR",920740925
"Basiliscus vittatus",-84.15495,9.41164,"CR",920741165
"Basiliscus vittatus",-83.50356,10.09149,"CR",920741317
"Basiliscus vittatus",-84.02203,10.42327,"CR",891103690
"Basiliscus vittatus",-105.41561,20.89912,"MX",891113918
"Basiliscus vittatus",-82.20503,9.34745,"PA",1052565101
"Basiliscus vittatus",-83.50235,10.54248,"CR",1024210715
"Basiliscus vittatus",-87.65,15.78,"HN",884764870
"Basiliscus vittatus",-89.04466,16.20594,"BZ",891170667
"Basiliscus vittatus",-88.52,15.05,"HN",884764860
"Basiliscus vittatus",-89.58661,20.94455,"MX",1088900604
"Basiliscus vittatus",-86.81663,21.01822,"MX",891034996
"Basiliscus vittatus",-84.14154,9.38369,"CR",920741762
"Basiliscus vittatus",-95.06953,18.36178,"MX",891071881
"Basiliscus vittatus",-92.97517,17.99057,"MX",899964548
"Basiliscus vittatus",-86.92,15.42,"HN",884765038
"Basiliscus vittatus",-92.64762,18.40784,"MX",1088891890
"Basiliscus vittatus",-92.64714,18.40746,"MX",1088891888
"Basiliscus vittatus",-87.4516,15.7291,"HN",884764881
"Basiliscus vittatus",-84.00556,10.45556,"CR",891715614
"Basiliscus vittatus",-86.8533,15.7092,"HN",887740983
"Basiliscus vittatus",-86.4679,14.61167,"HN",476769473
"Basiliscus vittatus",-100.02869,16.92921,"MX",899970522
"Basiliscus vittatus",-84.42,15.13,"HN",884765054
"Basiliscus vittatus",-86.22,15.38,"HN",884765022
"Basiliscus vittatus",-89.96854,14.94078,"GT",1051106091
"Basiliscus vittatus",-96.92744,18.85242,"MX",1122959115
"Basiliscus vittatus",-87.05,15.63,"HN",884765010
"Basiliscus vittatus",-86.9,15.7,"HN",884764904
"Basiliscus vittatus",-84.48,14.78,"HN",884765013
"Basiliscus vittatus",-86.55511,16.33841,"HN",1063855696
"Basiliscus vittatus",-82.75377,9.65582,"CR",920741407
"Basiliscus vittatus",-83.8,15.42,"HN",884764874
"Basiliscus vittatus",-83.88,15.3,"HN",884765033
"Basiliscus vittatus",-83.77,15.27,"HN",884765030
"Basiliscus vittatus",-86.59709,16.27643,"HN",891048029
"Basiliscus vittatus",-84.37,15.18,"HN",884764884
"Basiliscus vittatus",-84.08,15.33,"HN",884764894
"Basiliscus vittatus",-89.96907,14.94049,"GT",1051106370
"Basiliscus vittatus",-90.67593,15.94042,"GT",1051106393
"Basiliscus vittatus",-88.37,15.55,"HN",884764899
"Basiliscus vittatus",-89.09434,20.70988,"MX",1092909735
"Basiliscus vittatus",-84.00582,10.43081,"CR",891060798
"Basiliscus vittatus",-88.53,14.68,"HN",884765027
"Basiliscus vittatus",-96.28135,17.69704,"MX",1088904820
"Basiliscus vittatus",-87.34558,20.37099,"MX",891172715
"Basiliscus vittatus",-84.23,15.35,"HN",884764996
"Basiliscus vittatus",-88.65,15.37,"HN",884765003
"Basiliscus vittatus",-83.58,15.3,"HN",884765000
"Basiliscus vittatus",-87.9,14.88,"HN",884765018
"Basiliscus vittatus",-91.18515,14.57893,"GT",920741384
"Basiliscus vittatus",-84.47,14.78,"HN",884765021
"Basiliscus vittatus",-87.06885,13.2579,"HN",172643760
"Basiliscus vittatus",-86.4978,15.9533,"HN",884764969
"Basiliscus vittatus",-88.98,14.42,"HN",884764997
"Basiliscus vittatus",-85.9,15.03,"HN",884764992
"Basiliscus vittatus",-84.52,14.9,"HN",884764954
"Basiliscus vittatus",-88.1,14.52,"HN",884764986
"Basiliscus vittatus",-83.50815,10.553,"CR",891157186
"Basiliscus vittatus",-93.039,16.856,"MX",370669049
"Basiliscus vittatus",-93.042,16.759,"MX",370676571
"Basiliscus vittatus",-93.171,16.922,"MX",370678597
"Basiliscus vittatus",-93.101,16.885,"MX",370677145
"Basiliscus vittatus",-86.4969,15.9569,"HN",884764974
