"species","lon","lat","countryCode","gbifID"
"Bassiana platynota",150.166,-30.266,"AU",691143560
"Bassiana platynota",150.2186,-30.28999,"AU",1100437195
"Bassiana platynota",150.02499,-34.98666,"AU",482647230
"Bassiana platynota",148.8,-35.316,"AU",1100437906
"Bassiana platynota",148.99277,-31.33527,"AU",482583430
"Bassiana platynota",150.73999,-34.44249,"AU",1100440758
"Bassiana platynota",151.10555,-30.96638,"AU",482587693
"Bassiana platynota",150.01055,-31.74527,"AU",774854694
"Bassiana platynota",150.16638,-30.27082,"AU",1100423006
"Bassiana platynota",152.28694,-30.39721,"AU",774857438
"Bassiana platynota",151.68888,-29.31999,"AU",1100434409
"Bassiana platynota",150.16388,-30.28082,"AU",482557806
"Bassiana platynota",152.28249,-30.39638,"AU",1100433769
"Bassiana platynota",152.1236,-29.22804,"AU",482593220
"Bassiana platynota",151.966,-29.083,"AU",774856879
"Bassiana platynota",152.04944,-29.51111,"AU",1100430324
"Bassiana platynota",151.70805,-29.25527,"AU",1100430527
"Bassiana platynota",151.67721,-29.29444,"AU",1100430662
"Bassiana platynota",151.03944,-30.77749,"AU",1100421592
"Bassiana platynota",152.00138,-29.49888,"AU",1100421569
"Bassiana platynota",151.65583,-31.32749,"AU",1100422510
"Bassiana platynota",150.96186,-34.11049,"AU",482710049
"Bassiana platynota",150.45,-33.73193,"AU",1100421489
"Bassiana platynota",151.566,-30.3,"AU",1100417440
"Bassiana platynota",150.47777,-33.73054,"AU",1100421467
"Bassiana platynota",150.43888,-33.71527,"AU",774853306
"Bassiana platynota",151.52082,-31.34499,"AU",482515269
"Bassiana platynota",152.1961,-28.86472,"AU",1100408992
"Bassiana platynota",151.95083,-29.99221,"AU",482438317
"Bassiana platynota",152.13277,-29.21388,"AU",482436341
"Bassiana platynota",152.18999,-29.50833,"AU",482438323
"Bassiana platynota",152.4125,-29.56277,"AU",1100405670
"Bassiana platynota",152.016,-28.866,"AU",482440104
"Bassiana platynota",151.29138,-32.11804,"AU",482457478
"Bassiana platynota",151.39971,-31.91555,"AU",482457710
