"species","lon","lat","countryCode","gbifID"
"Boreogadus saida",-141.9993,70.53967,"US",896937766
"Boreogadus saida",-141.9846,70.56168,"US",896937803
"Boreogadus saida",-157.29799,71.40036,"US",1052757161
"Boreogadus saida",-138.4046,69.8306,"CA",896937728
"Boreogadus saida",-146.0956,70.67549,"US",896937878
"Boreogadus saida",-136.6746,69.70141,"CA",896937939
"Boreogadus saida",-156.5996,71.47114,"US",1052757215
"Boreogadus saida",-137.7705,70.09202,"CA",896937873
"Boreogadus saida",-156.60338,71.5118,"US",1052757321
"Boreogadus saida",-141.9464,70.62132,"US",896937816
"Boreogadus saida",-165.52,69.5,"US",1052757683
"Boreogadus saida",-146.0812,70.89017,"US",896937857
"Boreogadus saida",-167.97,69.5,"US",1052757661
"Boreogadus saida",-156.6995,71.68818,"US",1052757192
"Boreogadus saida",-141.9109,70.49984,"US",896937753
"Boreogadus saida",-166,67.01,"US",1052757554
"Boreogadus saida",-141.0787,70.03978,"US",896937931
"Boreogadus saida",-146.0694,70.92967,"US",896937866
"Boreogadus saida",-146.05867,70.33068,"US",896937920
"Boreogadus saida",-163.12,71,"US",1052757646
"Boreogadus saida",-137.9703,69.62807,"CA",896937956
"Boreogadus saida",-162.02,71.99,"US",1052757615
"Boreogadus saida",-169.26628,59.68225,"US",1052755692
"Boreogadus saida",-174.3018,61.30778,"US",1052755709
"Boreogadus saida",-172.27738,58.32972,"US",1052756862
"Boreogadus saida",-173.58067,61.31917,"US",1052755687
"Boreogadus saida",-173.65258,61.64767,"US",1052756795
"Boreogadus saida",-151.1,71.4574,"US",896937400
"Boreogadus saida",-166.992,68.9647,"US",1050354483
"Boreogadus saida",-174.43353,72.92065,"RU",790014906
"Boreogadus saida",-171.5633,68.606,"US",896936524
"Boreogadus saida",-150.1,71.2442,"US",896937404
"Boreogadus saida",-160.65,71.48,"US",1052757010
"Boreogadus saida",-168.50967,66.00532,"US",1052757537
"Boreogadus saida",-165.18,72.47,"US",1052757007
"Boreogadus saida",-158.81707,72.00815,"US",1052761054
"Boreogadus saida",-162.25278,72.0363,"US",1052758465
"Boreogadus saida",-178.42677,70.68913,"RU",790014846
"Boreogadus saida",-165.8174,73.00127,"US",1052758433
"Boreogadus saida",-150.1,71.2167,"US",896937387
"Boreogadus saida",-166.81,72.36,"US",1052757018
"Boreogadus saida",-171.5633,68.505,"RU",1050354508
"Boreogadus saida",-167.2202,68.40983,"US",790014880
"Boreogadus saida",-150.1,71.2301,"US",896937401
"Boreogadus saida",-162.19,71.48,"US",1052756894
"Boreogadus saida",-165.43,71.44,"US",1052757025
"Boreogadus saida",-178.37875,70.68617,"RU",790014901
"Boreogadus saida",-158.44017,72.47622,"US",1052758462
