"species","lon","lat","countryCode","gbifID"
"Bullia rhodostoma",24.9321,-34.03673,"ZA",856775661
"Bullia rhodostoma",25.8472,-33.7228,"ZA",439777232
"Bullia rhodostoma",25.6597,-33.98049,"ZA",856764801
"Bullia rhodostoma",25.62853,-33.96045,"ZA",856763886
"Bullia rhodostoma",24.9,-34.09,"ZA",14874243
"Bullia rhodostoma",27.92338,-33.01687,"ZA",856742034
"Bullia rhodostoma",27.1167,-33.5167,"SA",24923860
"Bullia rhodostoma",21.4,-34.35,"ZA",25149802
"Bullia rhodostoma",28.9167,-32.2,"ZA",25149803
"Bullia rhodostoma",24.9167,-34.05,"ZA",25149804
"Bullia rhodostoma",20,-34.8333,"ZA",25149801
"Bullia rhodostoma",27.6833,-33.15,"ZA",25149805
"Bullia rhodostoma",18.4667,-34.1,"ZA",25149559
"Bullia rhodostoma",18.05,-32.9,"ZA",215658620
"Bullia rhodostoma",31,-29.88333,"ZA",1085869709
"Bullia rhodostoma",25.83333,-33.83333,"ZA",215659282
"Bullia rhodostoma",25.75,-32.25,"ZA",215658490
"Bullia rhodostoma",18.57658,-34.08405,"ZA",856778946
"Bullia rhodostoma",25.75,-33.75,"ZA",14874244
"Bullia rhodostoma",24.91667,-33.91667,"ZA",215658497
"Bullia rhodostoma",27.91667,-33.03333,"ZA",215659453
"Bullia rhodostoma",18.81667,-34.35,"ZA",215658630
"Bullia rhodostoma",20.13333,-34.73333,"ZA",215659449
"Bullia rhodostoma",18.43333,-34.18333,"ZA",215659447
"Bullia rhodostoma",24.91667,-34.05,"ZA",215659451
"Bullia rhodostoma",26.9,-33.6,"ZA",215659452
"Bullia rhodostoma",18.04,-33.1,"ZA",14874241
"Bullia rhodostoma",32.7833,-25.9833,"MZ",25149098
"Bullia rhodostoma",26.33333,-30.25,"ZA",215659448
"Bullia rhodostoma",18.46667,-32.06667,"ZA",215658487
