"species","lon","lat","countryCode","gbifID"
"Camponotus americanus",-83.68861,35.6396,"US",1092888436
"Camponotus americanus",-70.66378,41.80973,"US",911754444
"Camponotus americanus",-82.51,41.93,"CA",924845916
"Camponotus americanus",-82.5,41.93,"CA",924845868
"Camponotus americanus",-73.86456,41.86013,"US",1088918056
"Camponotus americanus",-82.52,41.93,"CA",924826843
"Camponotus americanus",-95.77911,37.25939,"US",865184128
"Camponotus americanus",-96.58305,39.19167,"US",865184113
"Camponotus americanus",-78.6285,40.039,"US",892940097
"Camponotus americanus",-95.66322,36.42033,"US",865184137
"Camponotus americanus",-78.62847,40.03858,"US",892940051
"Camponotus americanus",-95.79653,37.27764,"US",865184120
"Camponotus americanus",-79.47864,37.60814,"US",892940072
"Camponotus americanus",-86.35111,36.38011,"US",865184145
"Camponotus americanus",-79.4785,37.60792,"US",865184166
"Camponotus americanus",-79.47916,37.60817,"US",865184151
"Camponotus americanus",-87.4315,31.73017,"US",1037146489
"Camponotus americanus",-73.44996,41.37184,"US",895367120
"Camponotus americanus",-87.9783,41.71786,"US",919785929
"Camponotus americanus",-88.3054,37.4628,"US",436421938
"Camponotus americanus",-94.115,36.45389,"US",436422245
"Camponotus americanus",-94.27,36.23,"US",436616563
"Camponotus americanus",-87.56944,40.98806,"US",436421942
"Camponotus americanus",-89.423,37.515,"US",436422298
"Camponotus americanus",-89.588,40.835,"US",436422300
"Camponotus americanus",-89.25,37.45,"US",436422261
"Camponotus americanus",-88.6524,37.5174,"US",436422295
"Camponotus americanus",-93.07197,39.75326,"US",919783848
"Camponotus americanus",-93.07197,39.76276,"US",919783754
"Camponotus americanus",-83.84184,35.59425,"US",919791042
"Camponotus americanus",-83.58072,35.67176,"US",919791061
"Camponotus americanus",-83.50277,35.69249,"US",919791001
"Camponotus americanus",-83.38294,35.70704,"US",919791100
"Camponotus americanus",-93.25333,35.22074,"US",919801414
"Camponotus americanus",-78.17837,38.01672,"US",919791205
"Camponotus americanus",-78.71058,38.24041,"US",919791199
"Camponotus americanus",-90.688,38.083,"US",436422292
"Camponotus americanus",-88.39956,40.19186,"US",436422263
"Camponotus americanus",-88.1423,39.411,"US",436422255
"Camponotus americanus",-93.60911,41.60054,"US",919795964
"Camponotus americanus",-88.13569,39.40276,"US",919795290
"Camponotus americanus",-87.96561,41.51198,"US",919795516
"Camponotus americanus",-89.58889,40.69361,"US",436422269
"Camponotus americanus",-87.86033,41.74087,"US",919786318
"Camponotus americanus",-87.83033,41.66725,"US",919795558
"Camponotus americanus",-90.97263,39.7056,"US",919795421
"Camponotus americanus",-87.68557,41.50311,"US",919786050
"Camponotus americanus",-89.20889,37.6175,"US",436422299
"Camponotus americanus",-89.644,39.802,"US",436422251
"Camponotus americanus",-83.4333,39.8667,"US",872802205
"Camponotus americanus",-89.41111,41.02472,"US",436422260
"Camponotus americanus",-89.469,41.996,"US",436422249
"Camponotus americanus",-89.48583,37.71833,"US",436422220
"Camponotus americanus",-98.53167,34.74444,"US",890662296
"Camponotus americanus",-86.58045,35.51749,"US",919791091
"Camponotus americanus",-83.6686,36.5994,"US",872906924
"Camponotus americanus",-88.54333,39.12,"US",436422253
"Camponotus americanus",-82.3333,38.8167,"US",872906901
"Camponotus americanus",-82.5003,40.0833,"US",872906919
"Camponotus americanus",-87.78013,40.08299,"US",436422250
"Camponotus americanus",-82.5486,39.6264,"US",872906867
"Camponotus americanus",-88.45722,37.65444,"US",436422256
"Camponotus americanus",-89.21139,38.25167,"US",436422258
"Camponotus americanus",-89.25333,37.53139,"US",436422257
"Camponotus americanus",-90.16255,42.09606,"US",436422248
"Camponotus americanus",-88.20727,40.11059,"US",919795442
"Camponotus americanus",-91.25,30.78333,"US",865113748
"Camponotus americanus",-83.95,35.7,"US",872906897
"Camponotus americanus",-86.4642,38.3344,"US",872906881
"Camponotus americanus",-81.765,40.1214,"US",872912359
"Camponotus americanus",-70.87111,42.25978,"US",863586814
"Camponotus americanus",-88.29,42.17,"US",436422259
