"species","lon","lat","countryCode","gbifID"
"Camponotus castaneus",-94.71148,30.71855,"US",1092882476
"Camponotus castaneus",-76.66026,39.19139,"US",1092907482
"Camponotus castaneus",-83.94323,33.53652,"US",1134969773
"Camponotus castaneus",-86.56128,30.55517,"US",1037150040
"Camponotus castaneus",-88.20678,40.00621,"US",891020354
"Camponotus castaneus",-82.5695,39.47897,"US",892940061
"Camponotus castaneus",-92.65533,40.18464,"US",865184403
"Camponotus castaneus",-95.26492,35.929,"US",892940089
"Camponotus castaneus",-91.38039,40.82728,"US",865184374
"Camponotus castaneus",-85.27044,38.43764,"US",865184277
"Camponotus castaneus",-91.38072,40.82747,"US",865184361
"Camponotus castaneus",-96.58305,39.19167,"US",865184172
"Camponotus castaneus",-86.68922,38.80661,"US",865184319
"Camponotus castaneus",-76.35323,39.84772,"US",865184251
"Camponotus castaneus",-89.88069,40.40956,"US",892940074
"Camponotus castaneus",-85.27853,38.43775,"US",865184292
"Camponotus castaneus",-92.65511,40.18483,"US",892940024
"Camponotus castaneus",-86.68922,38.80642,"US",892940052
"Camponotus castaneus",-91.3804,40.8263,"US",865184387
"Camponotus castaneus",-85.63203,38.45242,"US",865184306
"Camponotus castaneus",-95.26531,35.92856,"US",892940108
"Camponotus castaneus",-92.52292,39.75631,"US",865184427
"Camponotus castaneus",-94.74717,34.16564,"US",892940059
"Camponotus castaneus",-79.47916,37.60817,"US",865184688
"Camponotus castaneus",-92.34803,33.29936,"US",892940012
"Camponotus castaneus",-82.89858,32.10392,"US",892940019
"Camponotus castaneus",-86.31742,30.99097,"US",892940063
"Camponotus castaneus",-86.76172,33.34161,"US",892940120
"Camponotus castaneus",-94.74572,34.16642,"US",865184224
"Camponotus castaneus",-82.89586,32.0985,"US",892940086
"Camponotus castaneus",-89.27381,33.55697,"US",865184529
"Camponotus castaneus",-82.89939,32.10019,"US",865184623
"Camponotus castaneus",-92.51992,32.25711,"US",865184475
"Camponotus castaneus",-79.47908,37.60819,"US",865184708
"Camponotus castaneus",-94.74803,34.16597,"US",892940033
"Camponotus castaneus",-77.7253,39.73547,"US",892940045
"Camponotus castaneus",-82.36714,33.89483,"US",865184646
"Camponotus castaneus",-86.35197,36.37731,"US",892940068
"Camponotus castaneus",-95.16586,31.56744,"US",892940073
"Camponotus castaneus",-89.82944,34.40889,"US",865184245
"Camponotus castaneus",-90.72144,35.15572,"US",865184510
"Camponotus castaneus",-92.48842,32.21608,"US",865184442
"Camponotus castaneus",-87.905,30.67,"US",865205917
"Camponotus castaneus",-87.86767,31.44133,"US",1037146757
"Camponotus castaneus",-75.43447,38.65308,"US",919785379
"Camponotus castaneus",-76.76667,34.76667,"US",865425128
"Camponotus castaneus",-75.75823,39.65508,"US",919785397
"Camponotus castaneus",-81.45,28.71667,"US",865116501
"Camponotus castaneus",-97.21667,35.23333,"US",865435811
"Camponotus castaneus",-81.35,27.18333,"US",865116546
"Camponotus castaneus",-81.4503,28.7758,"US",1045110122
"Camponotus castaneus",-81.2069,28.5925,"US",1065069395
"Camponotus castaneus",-81.1947,28.6039,"US",1075092743
"Camponotus castaneus",-81.2003,28.6019,"US",1045110049
"Camponotus castaneus",-81.2086,28.6633,"US",861704060
"Camponotus castaneus",-81.1939,28.6044,"US",1075092721
"Camponotus castaneus",-81.1894,28.6019,"US",1045110047
"Camponotus castaneus",-81.765,40.1214,"US",872917481
"Camponotus castaneus",-77.11667,39.01667,"US",893201547
"Camponotus castaneus",-82.11667,27.15,"US",865419326
"Camponotus castaneus",-81.7342,39.9936,"US",872912433
"Camponotus castaneus",-81.7339,39.9936,"US",872912444
"Camponotus castaneus",-82.97,29.5,"US",919798754
"Camponotus castaneus",-93.25611,30.2998,"US",919795955
"Camponotus castaneus",-91.90534,29.90912,"US",919796009
"Camponotus castaneus",-87.31,30.46,"US",919798805
"Camponotus castaneus",-88.15,30.43,"US",919798779
"Camponotus castaneus",-91.7312,37.9846,"US",436616555
"Camponotus castaneus",-88.20722,40.11056,"US",436616554
"Camponotus castaneus",-90.06533,35.33563,"US",919791020
"Camponotus castaneus",-80.25334,35.46726,"US",919784298
"Camponotus castaneus",-74.66346,39.7118,"US",919790496
"Camponotus castaneus",-78.45557,37.96597,"US",919791183
"Camponotus castaneus",-87.9036,30.60353,"US",919801467
"Camponotus castaneus",-87.0742,41.61559,"US",919795789
"Camponotus castaneus",-89.18611,36.57111,"US",436421649
"Camponotus castaneus",-89.18618,36.57117,"US",919795888
"Camponotus castaneus",-73.78985,40.87649,"US",919790740
"Camponotus castaneus",-87.66281,41.1667,"US",919801453
"Camponotus castaneus",-87.08587,41.64948,"US",919795787
"Camponotus castaneus",-76.96358,38.25457,"US",919791216
"Camponotus castaneus",-89.20889,37.6175,"US",436421636
"Camponotus castaneus",-82.325,29.6514,"US",872906934
"Camponotus castaneus",-86.87528,40.41667,"US",436421670
"Camponotus castaneus",-87.78013,40.08299,"US",436421645
"Camponotus castaneus",-89.41306,36.35389,"US",436421672
"Camponotus castaneus",-88.82781,30.41131,"US",919783561
"Camponotus castaneus",-88.13488,37.69392,"US",436421629
"Camponotus castaneus",-87.95806,40.03472,"US",436421626
"Camponotus castaneus",-89.21139,38.25167,"US",436421640
"Camponotus castaneus",-88.8001,37.5702,"US",436421639
"Camponotus castaneus",-87.7272,40.177,"US",436421628
"Camponotus castaneus",-89.20583,37.21361,"US",436421638
"Camponotus castaneus",-89.25333,37.53139,"US",436421630
"Camponotus castaneus",-88.73194,37.15111,"US",436421627
"Camponotus castaneus",-89.88167,39.27972,"US",436421658
"Camponotus castaneus",-89.498,37.626,"US",436421650
"Camponotus castaneus",-89.21667,37.72722,"US",436421648
"Camponotus castaneus",-89.19472,37.15861,"US",436421644
"Camponotus castaneus",-88.9279,37.3721,"US",436421643
"Camponotus castaneus",-86.79361,36.11764,"US",865194392
"Camponotus castaneus",-82.51,41.93,"CA",924936049
"Camponotus castaneus",-77.037,38.895,"US",1101317682
"Camponotus castaneus",-81.53546,33.32302,"US",893027034
"Camponotus castaneus",-82.65915,41.77449,"CA",919793392
