"species","lon","lat","countryCode","gbifID"
"Camponotus novaeboracensis",-72.58202,44.26087,"US",1092900349
"Camponotus novaeboracensis",-72.97529,44.65274,"US",1099967448
"Camponotus novaeboracensis",-73.19695,42.86142,"US",1135211529
"Camponotus novaeboracensis",-72.47112,44.33017,"US",1024183393
"Camponotus novaeboracensis",-81.44178,41.10145,"US",1042819186
"Camponotus novaeboracensis",-72.57766,44.32749,"US",1024178275
"Camponotus novaeboracensis",-72.55909,44.26058,"US",891168800
"Camponotus novaeboracensis",-81.84727,41.04528,"US",891088113
"Camponotus novaeboracensis",-110.147,50.934,"CA",769295032
"Camponotus novaeboracensis",-113.262,53.991,"CA",769294094
"Camponotus novaeboracensis",-86.29,48.59,"CA",924846138
"Camponotus novaeboracensis",-112.952,53.941,"CA",769294894
"Camponotus novaeboracensis",-106.72,53.73,"CA",924839270
"Camponotus novaeboracensis",-117.9,51.1,"CA",924838931
"Camponotus novaeboracensis",-116.05,50.62,"CA",924839120
"Camponotus novaeboracensis",-117.92,51.08,"CA",924838967
"Camponotus novaeboracensis",-115.89,50.67,"CA",924839028
"Camponotus novaeboracensis",-116.05,50.63,"CA",924839191
"Camponotus novaeboracensis",-115.94,50.76,"CA",924845229
"Camponotus novaeboracensis",-112.941,53.501,"CA",769294622
"Camponotus novaeboracensis",-112.85,53.63,"CA",924839105
"Camponotus novaeboracensis",-118.02,52.8,"CA",924839014
"Camponotus novaeboracensis",-112.87,53.61,"CA",924839232
"Camponotus novaeboracensis",-106.03,53.9,"CA",924839201
"Camponotus novaeboracensis",-60.33,46.77,"CA",924840779
"Camponotus novaeboracensis",-68.943,44.432,"US",813427532
"Camponotus novaeboracensis",-62.576,46.199,"CA",813426224
"Camponotus novaeboracensis",-63.662,46.561,"CA",813427349
"Camponotus novaeboracensis",-63.126,46.235,"CA",813426223
"Camponotus novaeboracensis",-62.523,46.046,"CA",813427527
"Camponotus novaeboracensis",-63.646,46.556,"CA",813426222
"Camponotus novaeboracensis",-64.009,46.5993,"CA",813427531
"Camponotus novaeboracensis",-62.38,46.264,"CA",813427530
"Camponotus novaeboracensis",-64.26,45.853,"CA",813426225
"Camponotus novaeboracensis",-66.985,44.928,"CA",813426630
"Camponotus novaeboracensis",-63.421,46.275,"CA",813427436
"Camponotus novaeboracensis",-63.702,46.558,"CA",813427434
"Camponotus novaeboracensis",-70.89611,42.34111,"US",863586917
"Camponotus novaeboracensis",-63.905,44.49833,"CA",892962029
"Camponotus novaeboracensis",-70.89028,42.25722,"US",863586888
"Camponotus novaeboracensis",-70.65286,41.87486,"US",892766431
"Camponotus novaeboracensis",-71.17117,45.16819,"US",895365849
"Camponotus novaeboracensis",-84.6986,41.6811,"US",872910572
"Camponotus novaeboracensis",-88.20722,40.11056,"US",436616165
"Camponotus novaeboracensis",-105.51083,39.96138,"US",919811418
"Camponotus novaeboracensis",-124.37083,47.60444,"US",919811487
"Camponotus novaeboracensis",-123.13333,49.31667,"CA",919811422
"Camponotus novaeboracensis",-96.87611,50.02241,"CA",919811473
"Camponotus novaeboracensis",-105.27055,40.01499,"US",919811444
"Camponotus novaeboracensis",-105.26638,40.22054,"US",919811433
"Camponotus novaeboracensis",-88.1658,42.3313,"US",436616166
"Camponotus novaeboracensis",-105.17082,40.10387,"US",919811467
"Camponotus novaeboracensis",-106.89587,37.20473,"US",919811445
"Camponotus novaeboracensis",-121.75895,46.8537,"US",919811464
"Camponotus novaeboracensis",-105.19819,40.03339,"US",919811469
"Camponotus novaeboracensis",-75.91003,44.39031,"CA",919811476
"Camponotus novaeboracensis",-68.27333,44.33856,"US",919811412
"Camponotus novaeboracensis",-92.0962,47.83995,"US",436423675
"Camponotus novaeboracensis",-111.29408,44.48023,"US",919811382
"Camponotus novaeboracensis",-79.1114,41.52709,"US",919811361
"Camponotus novaeboracensis",-103.40538,43.71454,"US",919811410
"Camponotus novaeboracensis",-63.57407,44.62545,"CA",919811452
"Camponotus novaeboracensis",-103.54288,43.95996,"US",919811435
"Camponotus novaeboracensis",-105.27971,39.97499,"US",919811475
"Camponotus novaeboracensis",-105.31208,39.98955,"US",919811466
"Camponotus novaeboracensis",-103.66242,44.1986,"US",919811472
"Camponotus novaeboracensis",-89.71372,46.78476,"US",919811482
"Camponotus novaeboracensis",-79.617,42.90354,"CA",919811443
"Camponotus novaeboracensis",-105.27138,40.22471,"US",919811461
"Camponotus novaeboracensis",-99.32733,42.60139,"US",919811456
"Camponotus novaeboracensis",-105.22694,39.25471,"US",919811488
"Camponotus novaeboracensis",-108.61598,39.07939,"US",919811457
"Camponotus novaeboracensis",-104.70081,39.01305,"US",919811458
"Camponotus novaeboracensis",-91.82472,46.09944,"US",436423639
"Camponotus novaeboracensis",-88.096,42.477,"US",436423630
"Camponotus novaeboracensis",-87.22202,43.4501,"US",919811440
"Camponotus novaeboracensis",-92.28797,46.49855,"US",919811496
"Camponotus novaeboracensis",-90.93633,48.21814,"US",919811381
"Camponotus novaeboracensis",-92.10048,46.78667,"US",919811380
"Camponotus novaeboracensis",-91.78474,46.9491,"US",919811450
"Camponotus novaeboracensis",-91.77296,46.94633,"US",919811447
"Camponotus novaeboracensis",-92.13284,46.82169,"US",919811398
"Camponotus novaeboracensis",-92.04797,46.72827,"US",919811356
"Camponotus novaeboracensis",-73.87402,41.33593,"US",919811388
"Camponotus novaeboracensis",-92.28658,46.98526,"US",919811427
"Camponotus novaeboracensis",-74.00639,40.71417,"US",436423638
"Camponotus novaeboracensis",-86.96241,41.66089,"US",919811434
"Camponotus novaeboracensis",-88.17259,42.32639,"US",919811426
"Camponotus novaeboracensis",-87.08587,41.64948,"US",919811489
"Camponotus novaeboracensis",-87.96561,41.51198,"US",919811436
"Camponotus novaeboracensis",-86.28194,39.62056,"US",919811479
"Camponotus novaeboracensis",-90.81291,43.94413,"US",919811399
"Camponotus novaeboracensis",-90.0527,42.4463,"US",436423633
"Camponotus novaeboracensis",-86.16139,39.56528,"US",919811446
"Camponotus novaeboracensis",-82.8189,42.1727,"CA",919811432
"Camponotus novaeboracensis",-87.45336,40.94615,"US",919811437
"Camponotus novaeboracensis",-87.6896,42.0409,"US",436423677
"Camponotus novaeboracensis",-88.42667,40.10694,"US",436423679
"Camponotus novaeboracensis",-93.18046,44.89274,"US",919786474
"Camponotus novaeboracensis",-95.1967,47.16497,"US",919786540
"Camponotus novaeboracensis",-89.491,41.997,"US",436423408
"Camponotus novaeboracensis",-82.6825,41.48,"US",872802158
"Camponotus novaeboracensis",-89.02119,40.78365,"US",436423631
"Camponotus novaeboracensis",-88.29,42.17,"US",436423635
"Camponotus novaeboracensis",-82.9989,39.9611,"US",872701466
"Camponotus novaeboracensis",-71.4997,42.2503,"US",872701560
"Camponotus novaeboracensis",-106.07,53.9,"CA",924839060
"Camponotus novaeboracensis",-79.7833,47.0667,"CA",872701515
"Camponotus novaeboracensis",-70.89692,42.34042,"US",863586879
"Camponotus novaeboracensis",-87.65,41.85,"US",436423640
