"species","lon","lat","countryCode","gbifID"
"Carlia longipes",145.4676,-16.48957,"AU",694164152
"Carlia longipes",145.09194,-16.34389,"AU",1066593046
"Carlia longipes",144.91833,-15.14944,"AU",1066591914
"Carlia longipes",144.94444,-15.26778,"AU",1066591983
"Carlia longipes",145.20355,-15.8352,"AU",920903229
"Carlia longipes",143.30017,-12.71269,"AU",932749986
"Carlia longipes",143.85773,-14.56032,"AU",920903326
"Carlia longipes",136.0549,-13.2682,"AU",692489959
"Carlia longipes",136.76313,-12.20388,"AU",736208154
"Carlia longipes",136.74585,-12.20612,"AU",736204465
"Carlia longipes",136.8806,-12.4111,"AU",692475751
"Carlia longipes",136.9437,-12.3655,"AU",692476028
"Carlia longipes",136.9405,-12.3582,"AU",692475983
"Carlia longipes",136.9546,-12.3708,"AU",692475357
"Carlia longipes",136.8648,-12.4139,"AU",692475518
"Carlia longipes",136.8813,-12.4047,"AU",692475800
"Carlia longipes",136.8272,-12.3738,"AU",692475858
"Carlia longipes",136.9469,-12.363,"AU",692476089
"Carlia longipes",136.79,-12.5067,"AU",692475406
"Carlia longipes",136.7916,-12.5089,"AU",692475583
"Carlia longipes",136.2235,-12.613,"AU",484577322
"Carlia longipes",136.2715,-12.6325,"AU",484579730
"Carlia longipes",136.41842,-12.33044,"AU",480626531
"Carlia longipes",136.7032,-14.1739,"AU",692485722
"Carlia longipes",136.8657,-14.2254,"AU",692486316
"Carlia longipes",136.04042,-12.09951,"AU",736200969
"Carlia longipes",136.03365,-12.13375,"AU",736200926
"Carlia longipes",136.0327,-12.1336,"AU",692486415
"Carlia longipes",136.0401,-12.1002,"AU",692486595
"Carlia longipes",136.0322,-12.1363,"AU",692486385
"Carlia longipes",136.0404,-12.0995,"AU",692486541
"Carlia longipes",136.03248,-12.13619,"AU",736200915
"Carlia longipes",136.0324,-12.1361,"AU",692486371
"Carlia longipes",136.03275,-12.13363,"AU",736200932
"Carlia longipes",136.0323,-12.13637,"AU",736200921
"Carlia longipes",136.0336,-12.1337,"AU",692486399
"Carlia longipes",135.113,-11.9363,"AU",692487951
"Carlia longipes",134.9196,-12.0374,"AU",692488485
"Carlia longipes",135.11304,-11.93634,"AU",736201255
"Carlia longipes",145.119236652721,-15.4289592697558,"AU",1066590330
"Carlia longipes",145.119516649084,-15.4286792703775,"AU",1066590334
"Carlia longipes",145.219796095547,-15.6470080900954,"AU",1066590306
"Carlia longipes",136.8757,-12.2981,"AU",484562506
"Carlia longipes",136.84527,-12.28923,"AU",736200271
"Carlia longipes",136.87574,-12.29819,"AU",736200092
"Carlia longipes",136.8657,-12.3419,"AU",484557789
"Carlia longipes",136.8464,-12.2738,"AU",484563923
"Carlia longipes",136.85045,-12.26462,"AU",736200234
"Carlia longipes",136.84967,-12.28372,"AU",736200254
"Carlia longipes",136.9255,-12.3269,"AU",484557438
"Carlia longipes",136.8963,-12.2894,"AU",484563826
"Carlia longipes",136.8496,-12.2837,"AU",484563881
"Carlia longipes",136.8452,-12.2892,"AU",484564027
"Carlia longipes",136.8716,-12.28913,"AU",736200078
"Carlia longipes",136.9236,-12.3054,"AU",484562328
"Carlia longipes",136.9199,-12.3304,"AU",484562473
"Carlia longipes",136.89634,-12.28949,"AU",736200248
"Carlia longipes",136.87839,-12.29257,"AU",736200244
"Carlia longipes",136.86897,-12.30929,"AU",736200251
"Carlia longipes",136.8804,-12.321,"AU",484557573
"Carlia longipes",136.8715,-12.2891,"AU",484562394
"Carlia longipes",136.8645,-12.28412,"AU",736200274
"Carlia longipes",136.8476,-12.2953,"AU",484563764
"Carlia longipes",136.8504,-12.2646,"AU",484563710
"Carlia longipes",136.8783,-12.2925,"AU",484563801
"Carlia longipes",136.84768,-12.29531,"AU",736200242
"Carlia longipes",136.8406,-12.2568,"AU",484563610
"Carlia longipes",136.8436,-12.2663,"AU",484563952
"Carlia longipes",136.8305,-12.2864,"AU",484562423
"Carlia longipes",136.8298,-12.2952,"AU",484562412
"Carlia longipes",136.9276,-12.3039,"AU",484562382
"Carlia longipes",136.92768,-12.30392,"AU",736200077
"Carlia longipes",136.83059,-12.28646,"AU",736200082
"Carlia longipes",136.84066,-12.25682,"AU",736200221
"Carlia longipes",136.8645,-12.2841,"AU",484564066
"Carlia longipes",136.91997,-12.33041,"AU",736200088
"Carlia longipes",136.84369,-12.26637,"AU",736200263
"Carlia longipes",136.8769,-12.3195,"AU",484557604
"Carlia longipes",136.8658,-12.28402,"AU",736200267
"Carlia longipes",136.8689,-12.3092,"AU",484563843
"Carlia longipes",136.86576,-12.3419700026428,"AU",479848575
"Carlia longipes",136.927,-12.3062,"AU",484557722
"Carlia longipes",136.92361,-12.30544,"AU",736200072
"Carlia longipes",136.82987,-12.29528,"AU",736200080
"Carlia longipes",136.8657,-12.284,"AU",484563998
"Carlia longipes",136.84647,-12.27388,"AU",736200259
"Carlia longipes",144.113,-14.8255,"AU",1085955291
"Carlia longipes",144.46222,-14.23111,"AU",1066590593
"Carlia longipes",144.10133,-14.84967,"AU",1085955274
"Carlia longipes",142.266,-10.183,"AU",482952021
"Carlia longipes",136.521,-14.1362,"AU",484315428
"Carlia longipes",145.18257599196,-15.4353491024144,"AU",1066587326
"Carlia longipes",145.23444,-15.45194,"AU",1066588423
"Carlia longipes",136.44519,-11.9174400023701,"AU",480541170
"Carlia longipes",136.68336,-12.186570002541,"AU",480541152
"Carlia longipes",136.70384,-12.1922400025447,"AU",480541162
"Carlia longipes",136.46445,-11.88336,"AU",484256362
"Carlia longipes",145.50194,-16.29944,"AU",1066580105
"Carlia longipes",134.9864,-12.2070000025543,"AU",479655759
"Carlia longipes",136.52101,-14.136260003985,"AU",479502250
"Carlia longipes",144.44114,-15.55781,"AU",886939803
"Carlia longipes",143.19975,-13.93903,"AU",886939787
"Carlia longipes",135.8681,-13.232,"AU",484956493
"Carlia longipes",135.8722,-13.1702,"AU",484958495
"Carlia longipes",145.12,-15.4281,"AU",886939745
"Carlia longipes",143.4525,-14.61944,"AU",1066580856
"Carlia longipes",135.8802,-13.1555,"AU",484959272
"Carlia longipes",144.44111,-15.55778,"AU",1066580901
"Carlia longipes",141.916,-12.033,"AU",482209864
"Carlia longipes",142.15,-10.683,"AU",482949051
"Carlia longipes",136.82055,-12.3880500026734,"AU",479585980
"Carlia longipes",136.49934,-11.4073600020648,"AU",484260268
"Carlia longipes",136.53534,-11.76716,"AU",484253930
"Carlia longipes",136.56816,-12.5985600028159,"AU",482253714
"Carlia longipes",135.1057,-12.3811,"AU",484707848
"Carlia longipes",135.0824,-12.3855,"AU",484698200
"Carlia longipes",135.4575,-12.8658000030028,"AU",480544457
"Carlia longipes",136.88415,-12.281550002603,"AU",482210257
"Carlia longipes",143.56667,-14.96667,"AU",1066578740
"Carlia longipes",136.74743,-11.0433600018616,"AU",484261128
"Carlia longipes",135.0729,-12.391,"AU",484694851
"Carlia longipes",135.1016,-12.3895,"AU",484706180
"Carlia longipes",135.0803,-12.3854,"AU",484701595
"Carlia longipes",136.50284,-11.4157600020696,"AU",484260624
"Carlia longipes",135.4575,-12.8658,"AU",484593606
"Carlia longipes",136.81864,-11.6680500022178,"AU",484255223
"Carlia longipes",136.53416,-12.5985600028159,"AU",482244949
"Carlia longipes",136.59914,-11.2713600019875,"AU",484260390
"Carlia longipes",136.81815,-12.44855,"AU",482261512
"Carlia longipes",136.82184,-11.66455,"AU",484255146
"Carlia longipes",136.88235,-12.41115,"AU",479576901
"Carlia longipes",136.81815,-12.4485500027139,"AU",482260239
"Carlia longipes",136.70883,-11.1458600019176,"AU",484260681
"Carlia longipes",135.87226,-13.170260003224,"AU",483459021
"Carlia longipes",136.32115,-11.9645600023996,"AU",484257890
"Carlia longipes",136.83065,-12.38885,"AU",479590561
"Carlia longipes",136.53416,-12.59856,"AU",482065480
"Carlia longipes",143.366,-12.666,"AU",482885559
"Carlia longipes",136.95465,-12.37085,"AU",479532289
"Carlia longipes",136.78825,-12.5057500027525,"AU",479559895
"Carlia longipes",136.14725,-12.03916,"AU",484252886
"Carlia longipes",136.53654,-11.77396,"AU",484254271
"Carlia longipes",136.22485,-11.99206,"AU",484258363
"Carlia longipes",134.93416,-13.0315700031221,"AU",481909852
"Carlia longipes",134.81816,-12.6315700028386,"AU",481920862
"Carlia longipes",136.88415,-12.28155,"AU",482210333
"Carlia longipes",134.81816,-12.63157,"AU",481918998
"Carlia longipes",136.66364,-11.8312600023169,"AU",484258876
"Carlia longipes",136.82965,-12.3762500026656,"AU",479582783
"Carlia longipes",136.42535,-11.87456,"AU",484256815
"Carlia longipes",134.9119,-12.5536000027851,"AU",484113160
"Carlia longipes",134.8886,-12.6536,"AU",484799937
"Carlia longipes",136.59434,-11.2870600019963,"AU",484260067
"Carlia longipes",134.90116,-12.3655700026585,"AU",482046409
"Carlia longipes",134.90116,-12.36557,"AU",482045184
"Carlia longipes",136.83065,-12.3861500026722,"AU",479589670
"Carlia longipes",136.87855,-12.3975500026798,"AU",479568952
"Carlia longipes",136.94445,-12.35915,"AU",479529425
"Carlia longipes",136.82515,-12.3897500026746,"AU",479587594
"Carlia longipes",135.88026,-13.15556,"AU",483467010
"Carlia longipes",136.14345,-12.04256,"AU",484252495
"Carlia longipes",136.86485,-12.4139500026907,"AU",479539591
"Carlia longipes",136.48244,-11.8120600023051,"AU",484256127
"Carlia longipes",136.59234,-11.2760600019901,"AU",484260508
"Carlia longipes",134.93416,-13.01557,"AU",481916981
"Carlia longipes",135.86816,-13.23206000327,"AU",483439181
"Carlia longipes",135.2021,-12.654,"AU",484742102
"Carlia longipes",136.46345,-11.8852600023502,"AU",484256317
"Carlia longipes",145.21944,-15.68056,"AU",1066574804
"Carlia longipes",135.94735,-11.8883600023521,"AU",484263016
"Carlia longipes",134.904,-12.4390000027075,"AU",479537180
"Carlia longipes",136.87699,-12.319520002628,"AU",479848411
"Carlia longipes",134.8497,-13.1564,"AU",484627431
"Carlia longipes",136.88415,-12.41285000269,"AU",479574178
"Carlia longipes",134.9027,-12.4447000027113,"AU",480849935
"Carlia longipes",136.88325,-12.41195,"AU",479575836
"Carlia longipes",136.88415,-12.4138500026907,"AU",479571969
"Carlia longipes",144.80111,-15.48833,"AU",1066574918
"Carlia longipes",136.30395,-11.97426,"AU",484257654
"Carlia longipes",144.13028,-16.08806,"AU",1066574913
"Carlia longipes",134.9733,-12.1758,"AU",736194802
"Carlia longipes",134.9864,-12.207,"AU",484455546
"Carlia longipes",134.9051,-12.3638,"AU",484586344
"Carlia longipes",134.9085,-12.3647,"AU",736200826
"Carlia longipes",134.9918,-12.2126,"AU",736197084
"Carlia longipes",134.9823,-12.2084,"AU",484290054
"Carlia longipes",134.9096,-12.544,"AU",736260130
"Carlia longipes",134.9486,-12.5767,"AU",485244712
"Carlia longipes",134.9031,-12.4477,"AU",484768435
"Carlia longipes",134.9158,-12.5519,"AU",485172131
"Carlia longipes",134.8164,-12.2701,"AU",736257507
"Carlia longipes",134.9027,-12.4447,"AU",484614538
"Carlia longipes",135.0263,-12.2733,"AU",736191307
"Carlia longipes",134.9039,-12.5454,"AU",484949637
"Carlia longipes",134.4872,-12.4177,"AU",484612285
"Carlia longipes",134.9119,-12.5536,"AU",485090245
"Carlia longipes",135.0287,-12.2707,"AU",484289556
"Carlia longipes",134.904,-12.439,"AU",484361522
"Carlia longipes",134.8999,-12.458,"AU",484990637
"Carlia longipes",136.82894,-11.65945,"AU",484254973
"Carlia longipes",134.9823,-12.2084000025552,"AU",479429087
"Carlia longipes",136.31945,-11.9648600023998,"AU",484257954
"Carlia longipes",136.927,-12.3062500026192,"AU",479848515
"Carlia longipes",134.9678,-12.4699000027283,"AU",482353296
"Carlia longipes",135.0236,-12.4862,"AU",484787986
"Carlia longipes",134.9678,-12.4699,"AU",484776244
"Carlia longipes",134.9031,-12.4477000027134,"AU",482306664
"Carlia longipes",136.88041,-12.321060002629,"AU",479848379
"Carlia longipes",136.92557,-12.3270000026329,"AU",479848229
"Carlia longipes",136.93208,-12.3335600026372,"AU",482521350
"Carlia longipes",136.93128,-12.314970002625,"AU",482521373
"Carlia longipes",136.92728,-12.3046700026182,"AU",482521377
"Carlia longipes",136.93206,-12.3308500026354,"AU",482521358
"Carlia longipes",134.8999,-12.4580000027203,"AU",483777464
"Carlia longipes",136.4824,-11.812,"AU",485240704
"Carlia longipes",136.5938,-11.7477,"AU",485240418
"Carlia longipes",136.45765,-11.90056,"AU",736267295
"Carlia longipes",136.4643,-11.8808,"AU",485241301
