"species","lon","lat","countryCode","gbifID"
"Carlia munda",131.12131,-12.864670003002,"AU",736216640
"Carlia munda",131.99836,-14.14025,"AU",736217265
"Carlia munda",131.94347,-14.16496,"AU",736217260
"Carlia munda",131.97599,-14.14115,"AU",736217259
"Carlia munda",131.92257,-14.19343,"AU",736217257
"Carlia munda",131.93865,-14.17192,"AU",736217262
"Carlia munda",131.90962,-14.2162,"AU",736217258
"Carlia munda",131.91091,-14.21714,"AU",736217261
"Carlia munda",131.91563,-14.21422,"AU",736217263
"Carlia munda",131.98191,-14.13689,"AU",736217255
"Carlia munda",134.28683,-14.18433,"AU",1085956804
"Carlia munda",134.512,-14.277,"AU",1085956807
"Carlia munda",134.482,-14.029,"AU",1085956770
"Carlia munda",129.051,-15.87517,"AU",1085956628
"Carlia munda",132.8645,-11.1501,"AU",692487984
"Carlia munda",132.871,-11.1489,"AU",692488003
"Carlia munda",132.9951,-11.0847,"AU",692486809
"Carlia munda",132.9951,-11.08473,"AU",736201019
"Carlia munda",132.6467,-11.2099,"AU",692488054
"Carlia munda",130.64352,-12.42384,"AU",736206366
"Carlia munda",130.64708,-12.41705,"AU",736206367
"Carlia munda",132.86452,-11.15013,"AU",736201264
"Carlia munda",130.70467,-12.44385,"AU",736206368
"Carlia munda",132.9791,-11.0479,"AU",692487909
"Carlia munda",130.64467,-12.42214,"AU",736206363
"Carlia munda",130.65031,-12.42942,"AU",736206364
"Carlia munda",132.6497,-11.2076,"AU",692488075
"Carlia munda",132.8711,-11.1528,"AU",692488026
"Carlia munda",132.9796,-11.0524,"AU",692487893
"Carlia munda",130.66615,-12.43471,"AU",736206365
"Carlia munda",132.8636,-11.1476,"AU",692488001
"Carlia munda",132.6688,-11.1858,"AU",692488114
"Carlia munda",132.6677,-11.187,"AU",692488099
"Carlia munda",132.98532,-11.05861,"AU",736201241
"Carlia munda",132.6451,-11.2116,"AU",692488040
"Carlia munda",132.9853,-11.0586,"AU",692487880
"Carlia munda",132.9947,-11.0806,"AU",692487864
"Carlia munda",142.17556,-15.46111,"AU",1066593060
"Carlia munda",132.17319,-11.16614,"AU",736206545
"Carlia munda",132.17979,-11.17754,"AU",736206546
"Carlia munda",132.20934,-11.20846,"AU",736206547
"Carlia munda",132.33627,-11.40518,"AU",736206550
"Carlia munda",132.21217,-11.22447,"AU",736206548
"Carlia munda",132.22011,-11.2277,"AU",736206549
"Carlia munda",131.0219,-12.5967,"AU",692492235
"Carlia munda",136.0552,-13.2649,"AU",692489989
"Carlia munda",130.9814,-12.5631,"AU",692492305
"Carlia munda",130.9924,-12.5868,"AU",692492588
"Carlia munda",130.998,-12.6663,"AU",692492903
"Carlia munda",131.00175,-12.66497,"AU",736201357
"Carlia munda",136.0546,-13.271,"AU",692489944
"Carlia munda",136.055,-13.2627,"AU",692490028
"Carlia munda",136.0877,-13.3013,"AU",692489923
"Carlia munda",131.0217,-12.6763,"AU",692492974
"Carlia munda",136.0789,-13.2987,"AU",692489877
"Carlia munda",136.085,-13.3047,"AU",692489909
