"species","lon","lat","countryCode","gbifID"
"Clubiona trivialis",5.39031,59.73932,"NO",1092466681
"Clubiona trivialis",5.44763,59.76662,"NO",1092471684
"Clubiona trivialis",8.22361,48.5614,"DE",1123019916
"Clubiona trivialis",17.639,62.2176,"SE",1123748508
"Clubiona trivialis",5.91455,58.45643,"NO",1049647500
"Clubiona trivialis",5.75409,58.53838,"NO",1049647605
"Clubiona trivialis",17.2243,62.4112,"SE",931246384
"Clubiona trivialis",5.97011,58.97803,"NO",1049647595
"Clubiona trivialis",5.80709,58.51303,"NO",1049647600
"Clubiona trivialis",8.15137,58.10989,"NO",1049647783
"Clubiona trivialis",17.729,62.3932,"SE",931364650
"Clubiona trivialis",5.80267,58.4997,"NO",1050057025
"Clubiona trivialis",7.83139,58.59891,"NO",1049648148
"Clubiona trivialis",7.78804,58.62081,"NO",1092631546
"Clubiona trivialis",14.5714,67.27813,"NO",1092466871
"Clubiona trivialis",7.39122,59.58076,"NO",1092465748
"Clubiona trivialis",5.57116,59.8509,"NO",1092465815
"Clubiona trivialis",5.18894,59.61692,"NO",1049643832
"Clubiona trivialis",12.9038,56.6283,"SE",787962611
"Clubiona trivialis",5.94385,58.86922,"NO",1049644291
"Clubiona trivialis",11.6,52.5,"DE",1122950606
"Clubiona trivialis",9.43441,48.3675,"DE",1123019943
"Clubiona trivialis",6.12574,58.58566,"NO",1049644609
"Clubiona trivialis",19.0718,57.845,"SE",874981455
"Clubiona trivialis",15.5236,57.9762,"SE",1123303244
"Clubiona trivialis",7.99688,59.57359,"NO",1049645488
"Clubiona trivialis",13.6691,56.2659,"SE",859648935
"Clubiona trivialis",5.51978,58.73219,"NO",1049645375
"Clubiona trivialis",8.56673,61.14535,"NO",1049642775
"Clubiona trivialis",17.5726,62.1897,"SE",756342509
"Clubiona trivialis",11.97026,61.83979,"NO",1049642829
"Clubiona trivialis",17.6303,62.0135,"SE",756789422
"Clubiona trivialis",-94.144,58.678,"CA",1008842807
"Clubiona trivialis",17.6317,62.0149,"SE",723286762
"Clubiona trivialis",6.79238,58.06593,"NO",1049641037
"Clubiona trivialis",13.1059,59.3426,"SE",741166157
"Clubiona trivialis",6.68141,58.64161,"NO",1049641040
"Clubiona trivialis",19.7463,68.1824,"SE",757736600
"Clubiona trivialis",-114.01,49.05,"CA",925139608
"Clubiona trivialis",15.98539,67.99749,"NO",1049642006
"Clubiona trivialis",17.6493,62.2265,"SE",701313718
"Clubiona trivialis",11.01186,59.03349,"NO",683448563
"Clubiona trivialis",9.07475,58.86065,"NO",682596884
"Clubiona trivialis",17.5014,62.148,"SE",754727753
"Clubiona trivialis",5.86661,58.47169,"NO",682591519
"Clubiona trivialis",14.22983,67.17273,"NO",683448584
"Clubiona trivialis",10.46331,59.08396,"NO",682593985
"Clubiona trivialis",9.31329,62.13478,"NO",682594587
"Clubiona trivialis",8.35824,62.87309,"NO",683448495
"Clubiona trivialis",10.46401,59.08421,"NO",682593986
"Clubiona trivialis",-3.15924,58.97013,"GB",796698532
"Clubiona trivialis",11.73736,59.15614,"NO",682592164
"Clubiona trivialis",6.38303,59.10251,"NO",682592563
"Clubiona trivialis",-133.02089,54.99605,"US",1050476491
"Clubiona trivialis",28.97272,69.15509,"NO",682593259
"Clubiona trivialis",-3.05141,58.94186,"GB",796698390
"Clubiona trivialis",-133.01802,54.99846,"US",1050514809
"Clubiona trivialis",19.845,68.1026,"SE",755058775
"Clubiona trivialis",19.2561,67.8667,"SE",766116811
"Clubiona trivialis",19.1479,67.8641,"SE",741886177
"Clubiona trivialis",25.47002,69.46449,"NO",682594686
"Clubiona trivialis",30.88246,69.73747,"NO",682594722
"Clubiona trivialis",23.03775,68.99613,"NO",682596377
"Clubiona trivialis",6.28313,58.82406,"NO",682593345
"Clubiona trivialis",6.19519,58.59824,"NO",682789672
"Clubiona trivialis",14.2272,56.2727,"SE",746070584
"Clubiona trivialis",8.52547,60.31764,"NO",682593329
"Clubiona trivialis",5.40512,59.75419,"NO",682593304
"Clubiona trivialis",5.47502,59.86906,"NO",682594591
"Clubiona trivialis",5.76688,58.62369,"NO",682586956
"Clubiona trivialis",-7.63987,53.31862,"IE",417095640
"Clubiona trivialis",-7.34396,53.33803,"IE",417096138
"Clubiona trivialis",-7.34994,53.33986,"IE",417096151
"Clubiona trivialis",-7.92695,53.03521,"IE",417095480
"Clubiona trivialis",8.22268,48.5068,"DE",1078819538
"Clubiona trivialis",9.10024,59.45359,"NO",682588185
"Clubiona trivialis",16.9699,58.7586,"SE",765475305
"Clubiona trivialis",9.58731,62.22008,"NO",683153704
"Clubiona trivialis",9.5504,62.22248,"NO",682785178
"Clubiona trivialis",12.04255,61.88268,"NO",682588464
"Clubiona trivialis",10.23394,61.78909,"NO",682591011
"Clubiona trivialis",-116.42,51.42,"CA",924996726
"Clubiona trivialis",-93.78,58.73,"CA",1009361159
"Clubiona trivialis",-125.65,49.01,"CA",924996624
"Clubiona trivialis",-94.14,58.68,"CA",1009361079
"Clubiona trivialis",-93.82,58.62,"CA",1009361134
"Clubiona trivialis",-93.79,58.63,"CA",1009361073
"Clubiona trivialis",-93.92,58.76,"CA",1009361107
"Clubiona trivialis",6.43004,59.44955,"NO",682784055
"Clubiona trivialis",8.79131,58.87872,"NO",682589729
"Clubiona trivialis",10.05076,59.39275,"NO",683153163
"Clubiona trivialis",8.79319,58.88376,"NO",682785012
"Clubiona trivialis",17.4997,62.1446,"SE",753207046
"Clubiona trivialis",5.8935,58.46775,"NO",682584100
"Clubiona trivialis",6.26772,58.61117,"NO",682584468
"Clubiona trivialis",-93.8,58.63,"CA",1008082256
"Clubiona trivialis",-93.75,58.8,"CA",1008068332
"Clubiona trivialis",-58.08,49.5,"CA",924827575
"Clubiona trivialis",-57.86,49.78,"CA",924827629
"Clubiona trivialis",-93.83,58.62,"CA",1008077056
"Clubiona trivialis",-57.73,49.42,"CA",924827701
"Clubiona trivialis",-93.81,58.62,"CA",1008068264
"Clubiona trivialis",-53.97,48.54,"CA",924827639
"Clubiona trivialis",6.37294,58.71006,"NO",682584546
"Clubiona trivialis",-4.7781,57.19205,"GB",796686000
"Clubiona trivialis",-4.77004,57.19492,"GB",796686004
"Clubiona trivialis",17.8295,59.5315,"SE",749565066
"Clubiona trivialis",-94.08,58.75,"CA",1008068397
"Clubiona trivialis",-4.78292,57.19015,"GB",796686007
"Clubiona trivialis",-4.77969,57.19112,"GB",796686014
"Clubiona trivialis",-6.26541,57.6436,"GB",796697155
"Clubiona trivialis",13.25449,49.0778,"DE",165103059
"Clubiona trivialis",10.3435,47.4819,"DE",1078819533
"Clubiona trivialis",10.3481,47.47897,"DE",1123019461
"Clubiona trivialis",17.4508,60.515,"SE",746640089
"Clubiona trivialis",-7.97831,53.15429,"IE",417094887
"Clubiona trivialis",14.96976,51.16756,"DE",164126965
"Clubiona trivialis",-93.82,58.73,"CA",1009361158
"Clubiona trivialis",-94.11,58.73,"CA",1009361101
"Clubiona trivialis",-73.95,45.43,"CA",812098889
"Clubiona trivialis",14.1211,57.429,"SE",743027441
"Clubiona trivialis",14.1166,57.4295,"SE",761446550
"Clubiona trivialis",-123.03072,55.06339,"CA",52429990
"Clubiona trivialis",-122.83921,57.38337,"CA",52429992
"Clubiona trivialis",-4.42325,57.6874,"GB",796672389
"Clubiona trivialis",-94.13,58.75,"CA",1009361133
"Clubiona trivialis",-93.91,58.75,"CA",1009361097
"Clubiona trivialis",-119.35976,53.84231,"CA",52429994
"Clubiona trivialis",-2.75197,52.92276,"GB",802512555
"Clubiona trivialis",-67.86833,44.52667,"US",477959196
"Clubiona trivialis",-113.96754,49.07834,"CA",52430023
"Clubiona trivialis",-118.09586,52.92366,"CA",52429978
"Clubiona trivialis",-119.13274,53.89916,"CA",52430025
"Clubiona trivialis",-67.85333,44.485,"US",477959195
"Clubiona trivialis",-114.717,50.966,"CA",769278578
"Clubiona trivialis",-117.6362,52.7293,"CA",52429980
"Clubiona trivialis",-117.15871,52.21324,"CA",52429982
"Clubiona trivialis",-116.86925,52.0374,"CA",52429985
"Clubiona trivialis",-116.28637,51.45333,"CA",52429987
"Clubiona trivialis",-116.33224,51.63026,"CA",52429989
"Clubiona trivialis",-3.16199,54.63243,"GB",359550482
"Clubiona trivialis",-3.16251,54.6504,"GB",359550478
"Clubiona trivialis",-67.87667,44.48333,"US",477959194
"Clubiona trivialis",-114.06613,49.30627,"CA",52430020
"Clubiona trivialis",-113.86056,49.07737,"CA",52430016
"Clubiona trivialis",-135.155,57.864,"US",80175729
"Clubiona trivialis",-114.03132,49.03877,"CA",52430018
"Clubiona trivialis",-67.86667,44.50472,"US",477959197
"Clubiona trivialis",-114.02501,49.00578,"CA",52430021
"Clubiona trivialis",10.52872,51.71002,"DE",164126936
"Clubiona trivialis",13.6612,56.2585,"SE",747234710
"Clubiona trivialis",9.98761,53.55035,"DE",164126932
"Clubiona trivialis",-114.429,59.061,"CA",52429998
"Clubiona trivialis",-2.60778,54.87016,"GB",359550480
"Clubiona trivialis",-3.17026,54.91997,"GB",359579503
"Clubiona trivialis",-135.05,57.34,"US",80175730
"Clubiona trivialis",-114.04393,49.01815,"CA",52430010
"Clubiona trivialis",13.5979,56.2357,"SE",746664827
"Clubiona trivialis",-114.04049,49.02185,"CA",52430015
"Clubiona trivialis",-114.01215,49.05856,"CA",52430011
"Clubiona trivialis",-113.87933,49.07493,"CA",52430001
"Clubiona trivialis",-113.78185,49.06311,"CA",52430005
"Clubiona trivialis",-114.00483,49.06712,"CA",52430008
"Clubiona trivialis",-2.62973,54.27684,"GB",359579500
"Clubiona trivialis",-3.15762,52.45736,"GB",802512537
"Clubiona trivialis",-3.86006,53.15965,"GB",800647626
"Clubiona trivialis",-3.07277,53.59053,"GB",795638374
"Clubiona trivialis",-3.26907,53.00378,"GB",800626780
"Clubiona trivialis",-1.9261,52.64237,"GB",788982856
"Clubiona trivialis",5.588,60.5548,"NO",900259123
"Clubiona trivialis",-67.85667,44.48667,"US",477935854
"Clubiona trivialis",6.24,49.73,"LU",199723922
"Clubiona trivialis",-2.89024,54.9583,"GB",359579473
"Clubiona trivialis",-1.96533,50.66454,"GB",800616023
"Clubiona trivialis",-67.86833,44.555,"US",477953300
"Clubiona trivialis",-3.13066,53.35311,"GB",800621894
"Clubiona trivialis",-3.07232,53.57255,"GB",795689290
"Clubiona trivialis",-67.83667,44.56333,"US",477958480
"Clubiona trivialis",8.0756,49.02891,"DE",1123019685
"Clubiona trivialis",-2.78142,52.90549,"GB",802512550
"Clubiona trivialis",1.57359,52.04872,"GB",791547936
"Clubiona trivialis",1.588,52.2282,"GB",791286426
"Clubiona trivialis",-4.01129,52.50392,"GB",800972220
"Clubiona trivialis",-3.92794,52.70359,"GB",800984513
"Clubiona trivialis",-2.81792,52.90929,"GB",801014230
"Clubiona trivialis",-3.76517,52.37432,"GB",800965462
"Clubiona trivialis",5.4902,60.2521,"NO",900287971
"Clubiona trivialis",-68.75,44.98333,"US",477959391
"Clubiona trivialis",16.822,58.7697,"SE",763899183
"Clubiona trivialis",-2.61027,53.21216,"GB",800928425
"Clubiona trivialis",-2.93724,52.58024,"GB",802512541
"Clubiona trivialis",-4.37164,51.84478,"GB",793794242
"Clubiona trivialis",-4.23984,51.63196,"GB",807095868
"Clubiona trivialis",-4.27876,51.58669,"GB",793801869
"Clubiona trivialis",-3.43867,52.85979,"GB",793787595
"Clubiona trivialis",-3.49936,52.85364,"GB",793806927
"Clubiona trivialis",-4.27592,51.58764,"GB",793802351
"Clubiona trivialis",-4.09544,51.63463,"GB",807152230
"Clubiona trivialis",-4.03806,51.82135,"GB",793796576
"Clubiona trivialis",-3.66873,51.82133,"GB",806790029
"Clubiona trivialis",-3.92365,51.99685,"GB",793830672
"Clubiona trivialis",-4.48452,51.94318,"GB",793816744
"Clubiona trivialis",-4.37299,51.84295,"GB",793813451
"Clubiona trivialis",-3.61839,52.25772,"GB",793843200
"Clubiona trivialis",-3.65935,51.78324,"GB",793823951
"Clubiona trivialis",-3.13856,54.9023,"GB",359579474
"Clubiona trivialis",-3.61989,52.2586,"GB",793876506
"Clubiona trivialis",-4.10163,51.75278,"GB",793860200
"Clubiona trivialis",-3.50157,51.92205,"GB",793881960
"Clubiona trivialis",-4.09933,52.26364,"GB",793882450
"Clubiona trivialis",-3.13063,54.89788,"GB",297128065
"Clubiona trivialis",-2.71035,51.73346,"GB",793562611
"Clubiona trivialis",-3.98412,52.57137,"GB",793657325
"Clubiona trivialis",-3.59521,53.03672,"GB",793617864
"Clubiona trivialis",-4.2609,53.30018,"GB",793680708
"Clubiona trivialis",-4.243,52.9867,"GB",793686645
"Clubiona trivialis",-3.82129,52.98581,"GB",793701937
"Clubiona trivialis",-3.10252,53.57228,"GB",795722723
"Clubiona trivialis",-2.78287,52.90368,"GB",793692010
"Clubiona trivialis",-4.24147,52.98583,"GB",793744214
"Clubiona trivialis",-4.237,52.98591,"GB",793743564
"Clubiona trivialis",-2.65181,51.74144,"GB",807055663
"Clubiona trivialis",-2.66597,54.6182,"GB",359508171
"Clubiona trivialis",1.28241,52.0572,"GB",791586891
"Clubiona trivialis",-3.202,54.93764,"GB",359508203
