"species","lon","lat","countryCode","gbifID"
"Cookia sulcata",174.81272,-41.3425,"NZ",1098918469
"Cookia sulcata",170.6585,-45.6358,"NZ",1038314674
"Cookia sulcata",172.74955,-43.55991,"NZ",1038324694
"Cookia sulcata",174.71467,-36.53488,"NZ",1085903345
"Cookia sulcata",172.72403,-43.48248,"NZ",1065582187
"Cookia sulcata",174.70843,-41.21793,"NZ",1038327740
"Cookia sulcata",172.72655,-43.49155,"NZ",1038328795
"Cookia sulcata",174.83537,-41.2964,"NZ",1052598622
"Cookia sulcata",175.46009,-36.52517,"NZ",1065592953
"Cookia sulcata",175.49389,-36.24504,"NZ",1065593882
"Cookia sulcata",173.91503,-35.02735,"NZ",1085897431
"Cookia sulcata",170.833,-45.483,"NZ",488276799
"Cookia sulcata",173.53015,-42.48054,"NZ",856758529
"Cookia sulcata",174.5,-35.81667,"NZ",215697759
"Cookia sulcata",173.56667,-35.75,"NZ",215697768
"Cookia sulcata",171.45,-41.76667,"NZ",215697756
"Cookia sulcata",174.80902,-36.29172,"NZ",856776686
"Cookia sulcata",174.78333,-36.85,"NZ",215697772
"Cookia sulcata",177.88994,-39.24289,"NZ",856758527
