"species","lon","lat","countryCode","gbifID"
"Cottus cognatus",-73.00966,43.95644,"US",911499815
"Cottus cognatus",-156.98203,59.04491,"US",1050354832
"Cottus cognatus",-156.31865,59.32106,"US",1050354825
"Cottus cognatus",-117.37515,48.86464,"US",812596405
"Cottus cognatus",-154.19687,59.20965,"US",896935715
"Cottus cognatus",-117.71472,48.45654,"US",1052757528
"Cottus cognatus",-120.96149,47.30142,"US",1052757515
"Cottus cognatus",-114.08,46.18,"US",1007200429
"Cottus cognatus",-117.20056,48.36045,"US",1052755941
"Cottus cognatus",-118.30347,47.80523,"US",1052755931
"Cottus cognatus",-118.28875,47.7569,"US",1052755895
"Cottus cognatus",-117.23714,48.34481,"US",1052755978
"Cottus cognatus",-117.32168,48.39283,"US",812596398
"Cottus cognatus",-118.28875,47.9569,"US",812596399
"Cottus cognatus",-92.8015,44.9185,"US",895527990
"Cottus cognatus",-78.72322,43.8583,"CA",472765545
"Cottus cognatus",-156.77219,66.36042,"US",896939244
"Cottus cognatus",-84.45649,44.6141,"US",1024547371
"Cottus cognatus",-85.02909,46.46976,"US",1024547381
"Cottus cognatus",-85.27553,44.5274,"US",1024547372
"Cottus cognatus",-91.63022,47.04785,"US",1024547057
"Cottus cognatus",-72.76997,44.39425,"US",1039488801
"Cottus cognatus",-115.82,47.89,"US",1007200399
"Cottus cognatus",-111.30591,57.27562,"CA",441669704
"Cottus cognatus",-111.36268,57.29174,"CA",441669709
"Cottus cognatus",-116.37,48.47,"US",1006902756
"Cottus cognatus",-113.56,47.99,"US",1006902780
"Cottus cognatus",-116.11,48.82,"US",1006902827
"Cottus cognatus",-111.33333,56.71667,"CA",441669642
"Cottus cognatus",-114.81,47.69,"US",1006902777
"Cottus cognatus",-115.47,48.04,"US",1006902802
"Cottus cognatus",-115.63,48.19,"US",1006902856
"Cottus cognatus",-115.49,48.04,"US",1006902862
"Cottus cognatus",-115.26,47.38,"US",1006902843
"Cottus cognatus",-113.66,47.39,"US",1006902750
"Cottus cognatus",-115.53,47.75,"US",1006902804
"Cottus cognatus",-115.8,47.89,"US",1006902828
"Cottus cognatus",-113.48,47.19,"US",1006902753
"Cottus cognatus",-113.76,47.46,"US",1006902801
"Cottus cognatus",-113.18,47.14,"US",1006902829
"Cottus cognatus",-112.49,46.42,"US",1006902778
"Cottus cognatus",-71.4998,43.667,"US",868369257
"Cottus cognatus",-114.15,45.66,"US",1006902900
"Cottus cognatus",-67.7967,46.6378,"US",868368358
"Cottus cognatus",-71.4631,42.0259,"US",868368720
"Cottus cognatus",-68.9074,47.1699,"US",868368421
"Cottus cognatus",-69.848,45.9451,"US",868368423
"Cottus cognatus",-79.3219,41.8503,"US",1039505592
"Cottus cognatus",-77.22,41.16,"US",999760205
"Cottus cognatus",-134.70219,63.78767,"CA",45064892
"Cottus cognatus",-78.76023,44.04176,"CA",200790565
"Cottus cognatus",-66.22725,54.3356,"CA",1133202052
"Cottus cognatus",-140.24288,63.0912,"CA",45064874
"Cottus cognatus",-78.72734,44.0327,"CA",200790563
"Cottus cognatus",-78.71811,45.5471,"CA",45064872
"Cottus cognatus",-139.21283,61.44617,"CA",45064894
"Cottus cognatus",-139.262,63.8697,"CA",45064889
"Cottus cognatus",-139.23667,64.03772,"CA",45064886
"Cottus cognatus",-136.34664,63.96506,"CA",45064888
"Cottus cognatus",-78.74634,44.04205,"CA",200790564
"Cottus cognatus",-77.63,39.9215,"US",472951843
"Cottus cognatus",-77.1253,40.1462,"US",472951842
"Cottus cognatus",-77.1834,40.2009,"US",472951840
"Cottus cognatus",-139.9353,67.5299,"CA",45064796
"Cottus cognatus",-67.22277,48.35332,"CA",45064808
"Cottus cognatus",-134.9241,60.11,"CA",45064869
"Cottus cognatus",-138.6505,61.4022,"CA",45064867
"Cottus cognatus",-71.35468,46.77308,"CA",45064806
"Cottus cognatus",-72.189,45.412,"CA",78318602
"Cottus cognatus",-123.8125,43.78125,"US",888635373
"Cottus cognatus",-92.0658,44.0917,"US",868361722
"Cottus cognatus",-114.26713,44.35872,"US",888635381
"Cottus cognatus",-115.03125,43.58594,"US",888635357
"Cottus cognatus",-114.82812,44.03906,"US",888635398
"Cottus cognatus",-123.99027,47.83317,"US",888635407
"Cottus cognatus",-90.9183,47.6125,"US",868361274
"Cottus cognatus",-89.9897,47.9347,"US",868361724
"Cottus cognatus",-86.8981,46.3136,"US",868363371
"Cottus cognatus",-85.03,45.0142,"US",868363542
"Cottus cognatus",-69.86012,47.44224,"CA",331982437
"Cottus cognatus",-72.62345,42.62041,"US",477279965
"Cottus cognatus",-152.5477,63.50402,"US",896939125
"Cottus cognatus",-150.82678,63.98023,"US",896939121
"Cottus cognatus",-92.01,46.84,"US",999760288
"Cottus cognatus",-71.14722,43.99306,"US",477394246
"Cottus cognatus",-71.24,43.77111,"US",477395018
"Cottus cognatus",-114.12749,45.94626,"US",888635370
"Cottus cognatus",-115.96875,46.03125,"US",888635386
"Cottus cognatus",-115.92187,47.6875,"US",888635344
"Cottus cognatus",-116.04687,47.25781,"US",888635412
