"species","lon","lat","countryCode","gbifID"
"Crematogaster lineolata",-86.53767,30.58567,"US",1037149487
"Crematogaster lineolata",-71.19952,42.51422,"US",1064937221
"Crematogaster lineolata",-87.38633,31.737,"US",1044052585
"Crematogaster lineolata",-70.66375,41.81023,"US",911754206
"Crematogaster lineolata",-63.6758,44.717,"CA",892929516
"Crematogaster lineolata",-70.89722,42.33064,"US",863585918
"Crematogaster lineolata",-70.88625,42.26083,"US",863585916
"Crematogaster lineolata",-70.92722,42.32917,"US",863589820
"Crematogaster lineolata",-71.00861,42.31722,"US",863590178
"Crematogaster lineolata",-70.97944,42.36611,"US",863589821
"Crematogaster lineolata",-70.98611,42.32389,"US",863589893
"Crematogaster lineolata",-63.905,44.49833,"CA",892873821
"Crematogaster lineolata",-83.5513,35.4547,"US",436635214
"Crematogaster lineolata",-83.1709,35.746,"US",436635210
"Crematogaster lineolata",-70.89611,42.34111,"US",863585943
"Crematogaster lineolata",-70.89028,42.25722,"US",863585928
"Crematogaster lineolata",-70.89639,42.3325,"US",863585960
"Crematogaster lineolata",-70.88911,42.257,"US",863589726
"Crematogaster lineolata",-73.07917,40.87833,"US",1037146519
"Crematogaster lineolata",-87.8685,31.44,"US",1062922518
"Crematogaster lineolata",-70.88711,42.26047,"US",863589770
"Crematogaster lineolata",-83.4838,35.4522,"US",436635193
"Crematogaster lineolata",-83.8035,35.58833,"US",436123112
"Crematogaster lineolata",-88.8283,33.2525,"US",658218566
"Crematogaster lineolata",-86.915,30.50783,"US",997650699
"Crematogaster lineolata",-75.60741,40.78704,"US",919784571
"Crematogaster lineolata",-97.43333,35.18333,"US",893244960
"Crematogaster lineolata",-97.21667,35.23333,"US",865435407
"Crematogaster lineolata",-83.4322,38.7239,"US",872910364
"Crematogaster lineolata",-84.1622,39.8742,"US",872910475
"Crematogaster lineolata",-82.5236,38.6119,"US",872910446
"Crematogaster lineolata",-82.36667,28.63333,"US",892871631
"Crematogaster lineolata",-63.84167,44.675,"CA",1099995896
"Crematogaster lineolata",-92.61796,38.15031,"US",919825742
"Crematogaster lineolata",-93.81629,31.34059,"US",919783965
"Crematogaster lineolata",-94.75735,31.49864,"US",919809447
"Crematogaster lineolata",-103.24254,29.12749,"US",919809341
"Crematogaster lineolata",-79.06667,36.15,"US",893209653
"Crematogaster lineolata",-103.76052,34.93395,"US",919825935
"Crematogaster lineolata",-81.7358,39.9692,"US",872912318
"Crematogaster lineolata",-102.77756,38.27269,"US",919825924
"Crematogaster lineolata",-102.16581,26.98771,"MX",919825944
"Crematogaster lineolata",-82.4014,40.0581,"US",872802383
"Crematogaster lineolata",-102.42914,35.25964,"US",919825765
"Crematogaster lineolata",-88.11327,39.48814,"US",436614652
"Crematogaster lineolata",-88.2072,40.1106,"US",436428444
"Crematogaster lineolata",-101.6,34.9,"US",919825920
"Crematogaster lineolata",-81.2894,28.91041,"US",919799044
"Crematogaster lineolata",-92.43631,43.997,"US",919786496
"Crematogaster lineolata",-98.37845,39.78739,"US",919811635
"Crematogaster lineolata",-98.21005,39.78723,"US",919825926
"Crematogaster lineolata",-89.18684,37.60634,"US",919811527
"Crematogaster lineolata",-97.77123,37.45844,"US",919811509
"Crematogaster lineolata",-91.77111,37.95139,"US",436613459
"Crematogaster lineolata",-91.7312,37.9846,"US",436613455
"Crematogaster lineolata",-93.82769,35.55955,"US",436613680
"Crematogaster lineolata",-89.39,40.12,"US",436613398
"Crematogaster lineolata",-88.1739,42.4733,"US",436613684
"Crematogaster lineolata",-87.8339,42.4596,"US",436613564
"Crematogaster lineolata",-90.979,40.854,"US",436613526
"Crematogaster lineolata",-85.13158,30.29548,"US",919808676
"Crematogaster lineolata",-84.64101,34.12856,"US",919809259
"Crematogaster lineolata",-89.49361,37.47222,"US",436614670
"Crematogaster lineolata",-88.35028,36.85722,"US",436613501
"Crematogaster lineolata",-92.03917,35.49444,"US",436614669
"Crematogaster lineolata",-84.74806,37.07167,"US",436613479
"Crematogaster lineolata",-89.4679,37.7304,"US",436428991
"Crematogaster lineolata",-91.35,36.786,"US",436613505
"Crematogaster lineolata",-93.07076,39.75326,"US",919783787
"Crematogaster lineolata",-93.07197,39.76276,"US",919811453
"Crematogaster lineolata",-68.27333,44.33856,"US",919786374
"Crematogaster lineolata",-70.03383,41.77561,"US",919786401
"Crematogaster lineolata",-75.91003,44.39031,"CA",919799018
"Crematogaster lineolata",-79.80216,46.27296,"CA",919798994
"Crematogaster lineolata",-104.50264,37.19369,"US",919825729
"Crematogaster lineolata",-104.80202,37.59492,"US",919825753
"Crematogaster lineolata",-105.26258,39.95648,"US",919825725
"Crematogaster lineolata",-87.8393,41.67942,"US",919792522
"Crematogaster lineolata",-87.78477,41.63309,"US",919792447
"Crematogaster lineolata",-88.3943,40.2431,"US",436613480
"Crematogaster lineolata",-87.58421,41.55738,"US",919792475
"Crematogaster lineolata",-90.06,35.336,"US",919811563
"Crematogaster lineolata",-83.50277,35.69249,"US",919811478
"Crematogaster lineolata",-83.84184,35.59425,"US",919811528
"Crematogaster lineolata",-79.85297,37.28966,"US",919784303
"Crematogaster lineolata",-90.06533,35.33563,"US",919791016
"Crematogaster lineolata",-94.12451,35.67982,"US",919811506
"Crematogaster lineolata",-83.58072,35.67176,"US",919811570
"Crematogaster lineolata",-80.25334,35.46726,"US",919811579
"Crematogaster lineolata",-78.79308,38.07291,"US",919791200
"Crematogaster lineolata",-99.44301,40.39337,"US",919825794
"Crematogaster lineolata",-74.66346,39.7118,"US",919790462
"Crematogaster lineolata",-98.56337,29.41629,"US",919825679
"Crematogaster lineolata",-77.47581,41.75082,"US",919811510
"Crematogaster lineolata",-76.40091,36.51351,"US",919811499
"Crematogaster lineolata",-78.43738,38.52115,"US",919791207
"Crematogaster lineolata",-88.24273,41.86777,"US",919811593
"Crematogaster lineolata",-104.78631,37.64286,"US",919811539
"Crematogaster lineolata",-87.64137,41.64082,"US",919792505
"Crematogaster lineolata",-87.1566,41.62079,"US",919792633
"Crematogaster lineolata",-103.50908,44.40971,"US",919790982
"Crematogaster lineolata",-102.8619,37.32608,"US",919825925
"Crematogaster lineolata",-105.23406,40.01467,"US",919825928
"Crematogaster lineolata",-105.0155,39.39286,"US",919790051
"Crematogaster lineolata",-105.78207,39.55005,"US",919825929
"Crematogaster lineolata",-108.58084,45.80529,"US",919783888
"Crematogaster lineolata",-105.1186,38.39028,"US",919825931
"Crematogaster lineolata",-103.54383,37.98501,"US",919825940
"Crematogaster lineolata",-90.8168,38.48978,"US",919811522
"Crematogaster lineolata",-72.1273,41.79482,"US",919785394
"Crematogaster lineolata",-102.57729,37.03325,"US",919825669
"Crematogaster lineolata",-102.57964,37.10502,"US",919825908
"Crematogaster lineolata",-103.61162,37.21919,"US",919825672
"Crematogaster lineolata",-102.22325,40.07582,"US",919825681
"Crematogaster lineolata",-103.21438,40.16054,"US",919825772
"Crematogaster lineolata",-90.15797,42.14483,"US",919795306
"Crematogaster lineolata",-84.29409,35.36286,"US",919811594
"Crematogaster lineolata",-91.1982,39.86532,"US",919791634
"Crematogaster lineolata",-104.45941,38.24556,"US",919825734
"Crematogaster lineolata",-103.45938,37.7764,"US",919825721
"Crematogaster lineolata",-105.29966,39.47934,"US",919825919
"Crematogaster lineolata",-105.2261,38.43995,"US",919825922
"Crematogaster lineolata",-102.26936,39.30611,"US",919825923
"Crematogaster lineolata",-89.3175,37.57028,"US",436613468
