"species","lon","lat","countryCode","gbifID"
"Crustulina guttata",17.604,59.8367,"SE",1065743401
"Crustulina guttata",16.1096,59.8995,"SE",1132482531
"Crustulina guttata",15.6655,58.2064,"SE",1064501267
"Crustulina guttata",16.0946,62.5681,"SE",1123222813
"Crustulina guttata",12.5654,56.1562,"SE",1123675498
"Crustulina guttata",15.0124,56.1589,"SE",1123075875
"Crustulina guttata",12.2787,57.118,"SE",1123084675
"Crustulina guttata",19.2794,57.9535,"SE",1123211843
"Crustulina guttata",17.9216,59.4386,"SE",1135382694
"Crustulina guttata",15.0917,58.5487,"SE",931897974
"Crustulina guttata",15.0924,58.5511,"SE",931369798
"Crustulina guttata",15.084,58.553,"SE",1036587041
"Crustulina guttata",15.0198,56.1583,"SE",1036737643
"Crustulina guttata",13.6006,56.1553,"SE",931897159
"Crustulina guttata",10.76523,50.08782,"DE",1038610719
"Crustulina guttata",15.0211,56.17,"SE",932351997
"Crustulina guttata",15.0059,56.168,"SE",1036548177
"Crustulina guttata",14.9924,56.1959,"SE",997900721
"Crustulina guttata",12.41633,60.42109,"NO",1092465947
"Crustulina guttata",12.40538,60.40116,"NO",1092471741
"Crustulina guttata",15.6397,60.6149,"SE",788410719
"Crustulina guttata",10.08167,48.26,"DE",921335319
"Crustulina guttata",13.6691,56.2659,"SE",859648372
"Crustulina guttata",17.729,62.3932,"SE",875228179
"Crustulina guttata",10.42993,59.06924,"NO",1049641974
"Crustulina guttata",10.37915,59.10182,"NO",1049641875
"Crustulina guttata",17.5014,62.148,"SE",739284288
"Crustulina guttata",10.2177,60.128,"NO",682597596
"Crustulina guttata",11.9615,57.6885,"SE",756038250
"Crustulina guttata",10.45196,59.07381,"NO",1049641880
"Crustulina guttata",17.4329,62.4428,"SE",744594424
"Crustulina guttata",9.06094,61.86796,"NO",1049642111
"Crustulina guttata",13.5988,56.1594,"SE",747169994
"Crustulina guttata",17.11,62.4396,"SE",753675280
"Crustulina guttata",17.5772,60.6368,"SE",766364469
"Crustulina guttata",25.584,65.0196,"FI",1038878111
"Crustulina guttata",24.51583,65.78749,"FI",1038878112
"Crustulina guttata",17.5726,62.1897,"SE",741952521
"Crustulina guttata",9.11566,58.7499,"NO",682597641
"Crustulina guttata",17.4851,62.3747,"SE",756357796
"Crustulina guttata",16.9747,62.8673,"SE",750532611
"Crustulina guttata",11.13318,59.27059,"NO",682808557
"Crustulina guttata",7.67726,49.06774,"DE",921332192
"Crustulina guttata",17.6303,62.0135,"SE",756789984
"Crustulina guttata",17.4016,62.7891,"SE",756714282
"Crustulina guttata",12.05235,59.90893,"NO",1049642154
"Crustulina guttata",12.24999,59.94458,"NO",1049642037
"Crustulina guttata",20.6136,67.8471,"SE",757735148
"Crustulina guttata",13.7,52.4,"DE",1122950532
"Crustulina guttata",9.1077,59.42806,"NO",682597490
"Crustulina guttata",17.4947,62.45,"SE",753972963
"Crustulina guttata",11.01378,59.03425,"NO",682594060
"Crustulina guttata",11.01186,59.03349,"NO",682594861
"Crustulina guttata",11.01373,59.03245,"NO",682594061
"Crustulina guttata",11.23859,60.39875,"NO",682595879
"Crustulina guttata",10.91105,59.08884,"NO",682593997
"Crustulina guttata",13.6584,45.8482,"SI",1058269832
"Crustulina guttata",10.40824,59.10011,"NO",682594132
"Crustulina guttata",12.4813,56.2906,"SE",754974961
"Crustulina guttata",9.05783,61.86799,"NO",682595820
"Crustulina guttata",11.79811,59.28987,"NO",683451373
"Crustulina guttata",9.69491,59.06592,"NO",682594854
"Crustulina guttata",17.6317,62.0149,"SE",752565000
"Crustulina guttata",8.85413,59.30622,"NO",683221844
"Crustulina guttata",8.8798,59.42692,"NO",682598450
"Crustulina guttata",17.8298,59.5313,"SE",741075849
"Crustulina guttata",9.06972,59.47754,"NO",682598469
"Crustulina guttata",9.45041,60.43038,"NO",682595540
"Crustulina guttata",9.70723,59.00807,"NO",682596448
"Crustulina guttata",9.05033,59.43175,"NO",682598470
"Crustulina guttata",8.96961,58.89704,"NO",682594144
"Crustulina guttata",11.01696,59.04125,"NO",682594862
"Crustulina guttata",11.01985,59.02588,"NO",682594860
"Crustulina guttata",17.48,62.1633,"SE",765027702
"Crustulina guttata",17.3645,62.3413,"SE",765076371
"Crustulina guttata",12.8382,56.2661,"SE",751303740
"Crustulina guttata",17.5386,60.0753,"SE",765089464
"Crustulina guttata",17.4199,62.4387,"SE",765252931
"Crustulina guttata",16.4949,62.6948,"SE",751545028
"Crustulina guttata",15.1473,57.2358,"SE",765237107
"Crustulina guttata",15.3151,56.1651,"SE",751731091
"Crustulina guttata",10.90633,53.31882,"DE",921331165
"Crustulina guttata",9.99115,59.29385,"NO",682589171
"Crustulina guttata",9.07729,58.91775,"NO",682597883
"Crustulina guttata",17.3413,60.7537,"SE",752407172
"Crustulina guttata",10.44838,59.09246,"NO",682589237
"Crustulina guttata",10.40633,59.15034,"NO",682593983
"Crustulina guttata",11.01764,59.02581,"NO",682591257
"Crustulina guttata",9.10024,59.45359,"NO",682589174
"Crustulina guttata",8.9552,58.56953,"NO",682596514
