"species","lon","lat","countryCode","gbifID"
"Cryptoblepharus plagiocephalus",115.81363,-32.02541,"AU",1042820231
"Cryptoblepharus plagiocephalus",131.5799,-24.2531,"AU",774825793
"Cryptoblepharus plagiocephalus",143.98132,-14.63408,"AU",921331089
"Cryptoblepharus plagiocephalus",143.66238,-14.64089,"AU",921330603
"Cryptoblepharus plagiocephalus",132.8509,-13.2238,"AU",484473344
"Cryptoblepharus plagiocephalus",132.9378,-13.0444,"AU",484472845
"Cryptoblepharus plagiocephalus",132.8543,-13.4426,"AU",484476647
"Cryptoblepharus plagiocephalus",132.9385,-13.0423,"AU",484472945
"Cryptoblepharus plagiocephalus",132.9937,-13.0953,"AU",484473013
"Cryptoblepharus plagiocephalus",132.9178,-12.8887,"AU",484477028
"Cryptoblepharus plagiocephalus",132.9921,-13.0941,"AU",484473154
"Cryptoblepharus plagiocephalus",132.3019,-13.1927,"AU",484476425
"Cryptoblepharus plagiocephalus",134.0757,-12.256,"AU",484554209
"Cryptoblepharus plagiocephalus",129.7001,-14.8948,"AU",692486064
"Cryptoblepharus plagiocephalus",134.9196,-12.0374,"AU",692488487
"Cryptoblepharus plagiocephalus",132.6629,-12.7696,"AU",484480531
"Cryptoblepharus plagiocephalus",132.5586,-12.9124,"AU",484480080
"Cryptoblepharus plagiocephalus",132.5892,-13.5732,"AU",484480395
"Cryptoblepharus plagiocephalus",132.5761,-13.4992,"AU",484479891
"Cryptoblepharus plagiocephalus",132.4151,-13.4335,"AU",484479427
"Cryptoblepharus plagiocephalus",132.4161,-13.4357,"AU",484479134
"Cryptoblepharus plagiocephalus",132.5777,-13.4987,"AU",484478918
"Cryptoblepharus plagiocephalus",131.0945,-12.4328,"AU",484330583
"Cryptoblepharus plagiocephalus",130.9512,-12.9463000030604,"AU",480548576
"Cryptoblepharus plagiocephalus",130.9492,-12.9543000030662,"AU",480548583
"Cryptoblepharus plagiocephalus",130.9693,-13.0132000031088,"AU",480548549
"Cryptoblepharus plagiocephalus",130.9934,-13.0018000031005,"AU",480548623
"Cryptoblepharus plagiocephalus",130.988,-13.0033000031016,"AU",480548712
"Cryptoblepharus plagiocephalus",130.9551,-12.9543000030662,"AU",480548561
"Cryptoblepharus plagiocephalus",132.8748,-12.6189,"AU",484479273
"Cryptoblepharus plagiocephalus",131.012,-12.980400003085,"AU",480548590
"Cryptoblepharus plagiocephalus",130.8814,-12.4446,"AU",484330630
"Cryptoblepharus plagiocephalus",130.9292,-12.4034,"AU",484330853
"Cryptoblepharus plagiocephalus",132.7969,-12.8242,"AU",484480229
"Cryptoblepharus plagiocephalus",131.0059,-12.9967000030968,"AU",480548698
"Cryptoblepharus plagiocephalus",130.8701,-12.4342,"AU",484330732
"Cryptoblepharus plagiocephalus",130.9533,-12.9474000030612,"AU",480548609
"Cryptoblepharus plagiocephalus",130.9653,-13.0119000031078,"AU",480548681
"Cryptoblepharus plagiocephalus",130.337,-11.6556,"AU",480645476
"Cryptoblepharus plagiocephalus",130.2653,-11.6567,"AU",480645542
"Cryptoblepharus plagiocephalus",130.3342,-11.6594,"AU",480645617
"Cryptoblepharus plagiocephalus",131.3987,-13.7467,"AU",484548523
"Cryptoblepharus plagiocephalus",131.3022,-13.6371,"AU",484549750
"Cryptoblepharus plagiocephalus",131.4365,-13.6893,"AU",484548131
"Cryptoblepharus plagiocephalus",130.2741,-11.6415,"AU",480645236
"Cryptoblepharus plagiocephalus",130.3392,-11.6727,"AU",480645758
"Cryptoblepharus plagiocephalus",130.9301,-13.6699,"AU",484549076
"Cryptoblepharus plagiocephalus",131.3628,-13.7512,"AU",484548383
"Cryptoblepharus plagiocephalus",131.3183,-13.6337,"AU",484549881
"Cryptoblepharus plagiocephalus",130.9189,-12.5164000027598,"AU",480548543
"Cryptoblepharus plagiocephalus",130.9254,-12.5263000027665,"AU",480548636
"Cryptoblepharus plagiocephalus",131.2948,-13.6506,"AU",484549566
"Cryptoblepharus plagiocephalus",130.9122,-12.547600002781,"AU",480548627
"Cryptoblepharus plagiocephalus",130.9063,-12.5486000027817,"AU",480548598
"Cryptoblepharus plagiocephalus",130.9186,-12.5363000027733,"AU",480548614
"Cryptoblepharus plagiocephalus",130.3022,-11.6212,"AU",480644693
"Cryptoblepharus plagiocephalus",130.9139,-12.5183000027611,"AU",480548640
"Cryptoblepharus plagiocephalus",130.892,-12.5433000027781,"AU",480548728
"Cryptoblepharus plagiocephalus",130.9342,-13.6928,"AU",484549430
"Cryptoblepharus plagiocephalus",131.3132,-13.6343,"AU",484549769
"Cryptoblepharus plagiocephalus",130.2846,-11.6297,"AU",480644856
"Cryptoblepharus plagiocephalus",130.9217,-12.5223000027638,"AU",480548644
"Cryptoblepharus plagiocephalus",130.3325,-11.6453,"AU",480645382
"Cryptoblepharus plagiocephalus",131.297,-13.6473,"AU",484549667
"Cryptoblepharus plagiocephalus",130.9392,-13.6706,"AU",484549211
"Cryptoblepharus plagiocephalus",130.2869,-11.6309,"AU",480645010
"Cryptoblepharus plagiocephalus",131.3909,-13.7079,"AU",484548317
"Cryptoblepharus plagiocephalus",131.3819,-13.7502,"AU",484548550
"Cryptoblepharus plagiocephalus",130.9394,-13.6932,"AU",484549377
"Cryptoblepharus plagiocephalus",132.9703,-12.4405,"AU",484481876
"Cryptoblepharus plagiocephalus",132.9442,-12.4829,"AU",484481595
"Cryptoblepharus plagiocephalus",131.6378,-14.7256,"AU",484555607
"Cryptoblepharus plagiocephalus",131.6683,-14.7111,"AU",484555726
"Cryptoblepharus plagiocephalus",131.659,-14.7116,"AU",484555661
"Cryptoblepharus plagiocephalus",132.9482,-12.4306,"AU",484480788
"Cryptoblepharus plagiocephalus",132.9588,-12.4014,"AU",484481537
"Cryptoblepharus plagiocephalus",132.8804,-12.4699,"AU",484481255
"Cryptoblepharus plagiocephalus",132.9307,-12.4758,"AU",484481316
"Cryptoblepharus plagiocephalus",131.621,-14.7449,"AU",484554571
"Cryptoblepharus plagiocephalus",132.9115,-12.4532,"AU",484480943
"Cryptoblepharus plagiocephalus",132.9512,-12.4346,"AU",484480710
"Cryptoblepharus plagiocephalus",132.9539,-12.4462,"AU",484481200
"Cryptoblepharus plagiocephalus",132.9553,-12.5155,"AU",484480988
"Cryptoblepharus plagiocephalus",132.8975,-12.5028,"AU",484478377
"Cryptoblepharus plagiocephalus",132.8178,-13.2185,"AU",484478857
"Cryptoblepharus plagiocephalus",138.81702,-30.67566,"AU",501904672
"Cryptoblepharus plagiocephalus",132.9073,-12.3183,"AU",484478465
"Cryptoblepharus plagiocephalus",136.0816,-16.2718,"AU",484557984
"Cryptoblepharus plagiocephalus",132.9288,-12.5473,"AU",484478182
"Cryptoblepharus plagiocephalus",132.9012,-12.5144,"AU",484478265
"Cryptoblepharus plagiocephalus",129.8586,-14.2579,"AU",484581639
"Cryptoblepharus plagiocephalus",129.8548,-14.2653,"AU",484581935
"Cryptoblepharus plagiocephalus",132.0389,-13.3585,"AU",484482000
"Cryptoblepharus plagiocephalus",132.149,-13.2717,"AU",484481940
"Cryptoblepharus plagiocephalus",129.8734,-14.2591,"AU",484581550
"Cryptoblepharus plagiocephalus",132.6194,-12.4384,"AU",484450668
"Cryptoblepharus plagiocephalus",132.8582,-12.2866,"AU",484450755
"Cryptoblepharus plagiocephalus",132.335,-13.2958,"AU",484482041
"Cryptoblepharus plagiocephalus",132.1622,-13.0421,"AU",484482204
"Cryptoblepharus plagiocephalus",130.8732,-12.3559,"AU",484329999
"Cryptoblepharus plagiocephalus",130.898,-12.3366,"AU",484330091
"Cryptoblepharus plagiocephalus",138.67278,-19.01139,"AU",1066588589
"Cryptoblepharus plagiocephalus",130.5503,-11.4893,"AU",480628659
"Cryptoblepharus plagiocephalus",130.541,-11.5289,"AU",480628986
"Cryptoblepharus plagiocephalus",130.5488,-11.5213,"AU",480628896
"Cryptoblepharus plagiocephalus",130.5507,-11.487,"AU",480628540
"Cryptoblepharus plagiocephalus",131.0492,-12.4651,"AU",484330466
"Cryptoblepharus plagiocephalus",130.9884,-13.5301,"AU",484542187
"Cryptoblepharus plagiocephalus",136.59527,-31.02804,"AU",691142800
"Cryptoblepharus plagiocephalus",131.0951,-13.7658,"AU",484544184
"Cryptoblepharus plagiocephalus",131.0038,-13.7234,"AU",484543748
"Cryptoblepharus plagiocephalus",140.54749,-31.96693,"AU",691142689
"Cryptoblepharus plagiocephalus",140.50027,-31.98249,"AU",691142662
"Cryptoblepharus plagiocephalus",138.44583,-31.54971,"AU",691142626
"Cryptoblepharus plagiocephalus",130.9854,-13.538,"AU",484542212
"Cryptoblepharus plagiocephalus",131.0027,-13.5421,"AU",484542285
"Cryptoblepharus plagiocephalus",132.4467,-14.4426000042451,"AU",480548935
"Cryptoblepharus plagiocephalus",131.1117,-13.6686,"AU",484545365
"Cryptoblepharus plagiocephalus",134.1322,-14.2388,"AU",480548299
"Cryptoblepharus plagiocephalus",134.1772,-14.188,"AU",480548311
"Cryptoblepharus plagiocephalus",132.4391,-14.4391000042421,"AU",480548888
"Cryptoblepharus plagiocephalus",131.1891,-13.7803,"AU",484545077
"Cryptoblepharus plagiocephalus",131.1817,-13.7961,"AU",484544877
"Cryptoblepharus plagiocephalus",136.9236,-12.3054,"AU",484562346
"Cryptoblepharus plagiocephalus",132.4541,-14.4533000042544,"AU",480548836
"Cryptoblepharus plagiocephalus",136.927,-12.3062,"AU",484557670
"Cryptoblepharus plagiocephalus",131.0453,-13.7691,"AU",484542525
"Cryptoblepharus plagiocephalus",132.4522,-14.4463000042483,"AU",480548841
"Cryptoblepharus plagiocephalus",132.4478,-14.4371000042404,"AU",480548941
"Cryptoblepharus plagiocephalus",136.9276,-12.3039,"AU",484562390
"Cryptoblepharus plagiocephalus",132.6453,-23.9646,"AU",691231491
"Cryptoblepharus plagiocephalus",131.0536,-13.7986,"AU",484543827
"Cryptoblepharus plagiocephalus",136.8645,-12.2841,"AU",484564071
"Cryptoblepharus plagiocephalus",131.3579,-13.570000003528,"AU",480548947
"Cryptoblepharus plagiocephalus",130.9844,-13.6798,"AU",484543515
"Cryptoblepharus plagiocephalus",131.0618,-13.8199,"AU",484543920
"Cryptoblepharus plagiocephalus",130.5324,-11.5108,"AU",480629298
"Cryptoblepharus plagiocephalus",129.7449,-14.686,"AU",484377449
"Cryptoblepharus plagiocephalus",129.7806,-14.6888000044607,"AU",480548786
"Cryptoblepharus plagiocephalus",130.8311,-13.8270000037316,"AU",480548882
"Cryptoblepharus plagiocephalus",129.8954,-14.6553,"AU",484377120
"Cryptoblepharus plagiocephalus",129.6909,-14.3214000041411,"AU",480548923
"Cryptoblepharus plagiocephalus",129.7683,-14.8095,"AU",484378545
"Cryptoblepharus plagiocephalus",130.7148,-13.8476000037482,"AU",480548779
"Cryptoblepharus plagiocephalus",129.8976,-14.6584,"AU",484377182
"Cryptoblepharus plagiocephalus",129.885,-14.7053,"AU",484377379
"Cryptoblepharus plagiocephalus",131.1154,-13.5712,"AU",484545570
"Cryptoblepharus plagiocephalus",131.1333,-13.5935,"AU",484545673
"Cryptoblepharus plagiocephalus",131.134,-13.5747,"AU",484545625
"Cryptoblepharus plagiocephalus",131.1418,-13.5997,"AU",484545740
"Cryptoblepharus plagiocephalus",131.398,-13.5937,"AU",484547010
"Cryptoblepharus plagiocephalus",130.9463,-13.6302,"AU",484542934
"Cryptoblepharus plagiocephalus",131.2424,-13.6789,"AU",484546417
"Cryptoblepharus plagiocephalus",131.054,-13.5722,"AU",484546020
"Cryptoblepharus plagiocephalus",131.2406,-13.6794,"AU",484546400
"Cryptoblepharus plagiocephalus",130.9933,-13.5964,"AU",484542631
"Cryptoblepharus plagiocephalus",131.4108,-13.5783,"AU",484547234
"Cryptoblepharus plagiocephalus",131.4157,-13.5598,"AU",484547312
"Cryptoblepharus plagiocephalus",130.9636,-13.6275,"AU",484543030
"Cryptoblepharus plagiocephalus",131.0815,-13.6055,"AU",484545936
"Cryptoblepharus plagiocephalus",131.2383,-13.7055,"AU",484546347
"Cryptoblepharus plagiocephalus",131.4465,-13.6218,"AU",484547447
"Cryptoblepharus plagiocephalus",131.0793,-13.5681,"AU",484545813
"Cryptoblepharus plagiocephalus",131.2212,-13.7038,"AU",484546269
"Cryptoblepharus plagiocephalus",130.9822,-13.6039,"AU",484542736
"Cryptoblepharus plagiocephalus",130.9425,-13.6416,"AU",484542907
"Cryptoblepharus plagiocephalus",130.9987,-12.7095,"AU",484397425
"Cryptoblepharus plagiocephalus",130.9859,-12.7129,"AU",484397765
"Cryptoblepharus plagiocephalus",130.9894,-12.703,"AU",484398706
"Cryptoblepharus plagiocephalus",134.1902,-14.1561,"AU",480548376
"Cryptoblepharus plagiocephalus",131.4326,-13.6628,"AU",484547640
"Cryptoblepharus plagiocephalus",134.506,-14.2568,"AU",480548387
"Cryptoblepharus plagiocephalus",134.1657,-14.2074,"AU",480548403
