"species","lon","lat","countryCode","gbifID"
"Ctenophorus pictus",142.76756,-34.2759500328313,"AU",1070896478
"Ctenophorus pictus",142.75874,-34.3005100328652,"AU",1070896578
"Ctenophorus pictus",142.63848,-34.277870032834,"AU",1070896636
"Ctenophorus pictus",142.7859,-34.2781600328344,"AU",1070896522
"Ctenophorus pictus",141.20613,-33.3535700315245,"AU",1071423929
"Ctenophorus pictus",141.15831,-33.3991700315906,"AU",1070807425
"Ctenophorus pictus",141.29031,-33.2409800313605,"AU",1071324872
"Ctenophorus pictus",141.2939,-33.2279600313415,"AU",1071324925
"Ctenophorus pictus",141.32934,-33.1894600312852,"AU",1071324847
"Ctenophorus pictus",141.20573,-33.3534600315243,"AU",1070351173
"Ctenophorus pictus",141.11653,-33.3756600315565,"AU",1070351179
"Ctenophorus pictus",132.15698,-31.53013,"AU",728015440
"Ctenophorus pictus",130.3896,-31.58186,"AU",728015484
"Ctenophorus pictus",130.38538,-31.56187,"AU",728015497
"Ctenophorus pictus",130.73146,-31.44305,"AU",728015510
"Ctenophorus pictus",130.31803,-31.49435,"AU",728015537
"Ctenophorus pictus",130.31555,-31.49269,"AU",728015556
"Ctenophorus pictus",130.84394,-31.54252,"AU",728021961
"Ctenophorus pictus",130.38971,-31.58185,"AU",691158242
"Ctenophorus pictus",131.26463,-31.48471,"AU",691158796
"Ctenophorus pictus",130.73374,-31.44436,"AU",728015517
"Ctenophorus pictus",129.10666,-31.56677,"AU",691158502
"Ctenophorus pictus",130.84388,-31.54249,"AU",691158546
"Ctenophorus pictus",130.69749,-31.35127,"AU",691158079
"Ctenophorus pictus",131.26675,-31.48238,"AU",728015259
"Ctenophorus pictus",130.38995,-31.5836,"AU",728015478
"Ctenophorus pictus",130.3852,-31.56877,"AU",728015493
"Ctenophorus pictus",131.26674,-31.48238,"AU",691158772
"Ctenophorus pictus",132.09753,-30.92438,"AU",728015607
"Ctenophorus pictus",130.69508,-31.35008,"AU",691158095
"Ctenophorus pictus",132.12991,-31.53043,"AU",691158134
"Ctenophorus pictus",130.69507,-31.35009,"AU",728015414
"Ctenophorus pictus",132.08574,-30.96996,"AU",691158334
"Ctenophorus pictus",132.22635,-31.53034,"AU",728029411
"Ctenophorus pictus",132.18394,-31.53058,"AU",728015459
"Ctenophorus pictus",132.08645,-30.96553,"AU",728015580
"Ctenophorus pictus",131.26464,-31.48472,"AU",728015260
"Ctenophorus pictus",130.38566,-31.56465,"AU",728015638
"Ctenophorus pictus",130.28133,-31.44531,"AU",728015563
"Ctenophorus pictus",129.10608,-31.56446,"AU",728015383
"Ctenophorus pictus",130.83025,-31.42029,"AU",728015403
"Ctenophorus pictus",130.36,-31.51018,"AU",728015506
"Ctenophorus pictus",132.15697,-31.53013,"AU",691158144
"Ctenophorus pictus",129.1066,-31.56677,"AU",728015379
"Ctenophorus pictus",132.08575,-30.96996,"AU",728015596
"Ctenophorus pictus",132.17044,-31.53062,"AU",728015452
"Ctenophorus pictus",129.10608,-31.56447,"AU",691158509
"Ctenophorus pictus",130.69751,-31.35129,"AU",728015407
"Ctenophorus pictus",132.05951,-31.61039,"AU",728015475
"Ctenophorus pictus",130.36841,-31.51197,"AU",728015640
"Ctenophorus pictus",132.08644,-30.96552,"AU",691158320
"Ctenophorus pictus",132.09708,-30.91989,"AU",728015600
"Ctenophorus pictus",132.12991,-31.53045,"AU",728015530
"Ctenophorus pictus",132.17043,-31.5306,"AU",691158162
"Ctenophorus pictus",142.01723,-36.50426,"AU",731923725
"Ctenophorus pictus",142.0012,-36.4969,"AU",731923723
"Ctenophorus pictus",138.18777,-29.95388,"AU",691154604
"Ctenophorus pictus",135.82775,-25.8618500194616,"AU",736213845
"Ctenophorus pictus",135.81445,-25.9399400195906,"AU",736213768
"Ctenophorus pictus",137.84777,-32.69249,"AU",691156265
"Ctenophorus pictus",137.99194,-30.35944,"AU",691156585
"Ctenophorus pictus",137.72471,-30.18666,"AU",691156444
"Ctenophorus pictus",142.59435,-34.2396100327811,"AU",1070351178
"Ctenophorus pictus",137.92832,-30.38666,"AU",691156404
"Ctenophorus pictus",137.76583,-30.12499,"AU",691156657
"Ctenophorus pictus",136.90444,-33.58054,"AU",691156763
"Ctenophorus pictus",136.86928,-30.45026,"AU",728022266
"Ctenophorus pictus",136.80226,-30.42669,"AU",728024454
"Ctenophorus pictus",136.86152,-30.43713,"AU",728026275
"Ctenophorus pictus",136.87819,-30.43621,"AU",728027835
