"species","lon","lat","countryCode","gbifID"
"Ctenotus pantherinus",133.24933,-24.54867,"AU",1085956955
"Ctenotus pantherinus",116.74208,-31.91503,"AU",731923005
"Ctenotus pantherinus",129.148,-20.18,"AU",1085956822
"Ctenotus pantherinus",139.555,-30.12138,"AU",774844102
"Ctenotus pantherinus",135.0525,-32.16416,"AU",774844150
"Ctenotus pantherinus",135.12304,-32.13082,"AU",774844183
"Ctenotus pantherinus",134.96209,-19.62193,"AU",736208005
"Ctenotus pantherinus",135.35536,-20.01543,"AU",736208006
"Ctenotus pantherinus",132.28323,-30.58795,"AU",728015119
"Ctenotus pantherinus",132.26372,-30.58484,"AU",728015129
"Ctenotus pantherinus",139.34638,-30.27804,"AU",691156171
"Ctenotus pantherinus",139.61943,-30.16611,"AU",691156230
"Ctenotus pantherinus",132.21,-25.1362,"AU",736212642
"Ctenotus pantherinus",132.21,-25.1342,"AU",736212639
"Ctenotus pantherinus",132.172,-25.1273,"AU",736212640
"Ctenotus pantherinus",132.325,-25.0887,"AU",736212645
"Ctenotus pantherinus",131.21482,-22.7319,"AU",691257080
"Ctenotus pantherinus",139.84638,-22.36277,"AU",691151511
"Ctenotus pantherinus",131.2081,-25.6564,"AU",736205210
"Ctenotus pantherinus",131.32404,-18.73691,"AU",736204161
"Ctenotus pantherinus",143.01804,-24.10055,"AU",691151854
"Ctenotus pantherinus",131.39143,-18.72391,"AU",736204192
"Ctenotus pantherinus",131.0296,-22.2208,"AU",736206913
"Ctenotus pantherinus",130.82,-17.464,"AU",1085956453
"Ctenotus pantherinus",135.43347,-32.60242,"AU",501924612
"Ctenotus pantherinus",131.16291,-25.09094,"AU",736205323
"Ctenotus pantherinus",132.20993,-25.13416,"AU",736212646
"Ctenotus pantherinus",131.15917,-25.08625,"AU",736205328
"Ctenotus pantherinus",131.16087,-25.08906,"AU",736205322
"Ctenotus pantherinus",132.27844,-24.88567,"AU",736212650
"Ctenotus pantherinus",132.13645,-25.17116,"AU",736212648
"Ctenotus pantherinus",131.14995,-25.08259,"AU",736205329
"Ctenotus pantherinus",132.3213,-24.68449,"AU",736212651
"Ctenotus pantherinus",132.13666,-25.17004,"AU",736212649
"Ctenotus pantherinus",131.58444,-30.16611,"AU",691153247
"Ctenotus pantherinus",130.18176,-29.41979,"AU",501559532
"Ctenotus pantherinus",143.13278,-24.27194,"AU",1066593569
"Ctenotus pantherinus",132.34277,-30.65742,"AU",501559606
"Ctenotus pantherinus",132.35974,-30.66013,"AU",501559679
"Ctenotus pantherinus",132.34113,-30.65772,"AU",501559623
"Ctenotus pantherinus",139.472091126028,-20.8845135666511,"AU",1066591813
"Ctenotus pantherinus",131.19116,-22.83904001461,"AU",480551031
"Ctenotus pantherinus",131.30413,-22.8602300146427,"AU",480551069
"Ctenotus pantherinus",131.37833,-22.6773100143613,"AU",480551139
"Ctenotus pantherinus",131.18477,-22.7937600145402,"AU",480551329
"Ctenotus pantherinus",131.18743,-22.8245700145877,"AU",480551335
"Ctenotus pantherinus",130.95026,-22.752030014476,"AU",480551349
"Ctenotus pantherinus",131.29815,-22.7141200144178,"AU",480551360
"Ctenotus pantherinus",130.83037,-22.6785400143632,"AU",480551167
"Ctenotus pantherinus",131.35134,-22.8507700146281,"AU",480551212
"Ctenotus pantherinus",131.18599,-22.692140014384,"AU",480551342
"Ctenotus pantherinus",130.72582,-22.6815000143677,"AU",480551316
"Ctenotus pantherinus",130.7161,-22.7645400144953,"AU",480551115
"Ctenotus pantherinus",131.47327,-22.7898200145342,"AU",480551036
"Ctenotus pantherinus",130.98695,-22.6723100143536,"AU",480551294
"Ctenotus pantherinus",131.14084,-22.785150014527,"AU",480551323
"Ctenotus pantherinus",130.71287,-22.7342000144486,"AU",480551158
"Ctenotus pantherinus",131.45362,-22.7166100144216,"AU",480551221
"Ctenotus pantherinus",131.07211,-22.7530700144776,"AU",480551305
"Ctenotus pantherinus",131.23906,-22.9359700147597,"AU",480551260
"Ctenotus pantherinus",130.9289,-22.7671200144992,"AU",480551046
"Ctenotus pantherinus",131.40932,-22.7223200144304,"AU",480551272
"Ctenotus pantherinus",130.79132,-22.7610000144898,"AU",480551285
"Ctenotus pantherinus",130.9515,-22.6837100143711,"AU",480551252
"Ctenotus pantherinus",131.00662,-22.7347100144494,"AU",480551108
"Ctenotus pantherinus",131.31159,-22.7180100144238,"AU",480551062
"Ctenotus pantherinus",136.0842,-16.2733,"AU",484557862
"Ctenotus pantherinus",129.028,-15.9545,"AU",484579082
"Ctenotus pantherinus",129.0785,-15.8809,"AU",484579151
"Ctenotus pantherinus",129.0908,-15.8544,"AU",484579179
"Ctenotus pantherinus",140.94215,-26.95784,"AU",501923933
"Ctenotus pantherinus",140.66498,-27.22365,"AU",501924075
"Ctenotus pantherinus",140.94194,-26.95777,"AU",691146622
"Ctenotus pantherinus",140.665,-27.2236,"AU",691146848
"Ctenotus pantherinus",134.17094,-19.81857,"AU",691241203
"Ctenotus pantherinus",134.18005,-19.94599,"AU",691241259
"Ctenotus pantherinus",134.18,-19.945,"AU",1085955898
"Ctenotus pantherinus",138.35083,-23.14528,"AU",1066588530
"Ctenotus pantherinus",138.24417,-18.46028,"AU",1066588582
"Ctenotus pantherinus",133.39615,-24.0062400164426,"AU",691240588
"Ctenotus pantherinus",132.64539,-23.96463,"AU",691231521
"Ctenotus pantherinus",138.55917,-23.955,"AU",1066593545
"Ctenotus pantherinus",135.26472,-32.40694,"AU",691144956
"Ctenotus pantherinus",132.0033,-29.89822,"AU",501922603
"Ctenotus pantherinus",135.26469,-32.40698,"AU",501923031
"Ctenotus pantherinus",132.00333,-29.89833,"AU",691143802
"Ctenotus pantherinus",130.97783,-25.23439,"AU",480551447
"Ctenotus pantherinus",130.97366,-25.20783,"AU",480551469
"Ctenotus pantherinus",119.03199,-22.4558,"AU",482701727
"Ctenotus pantherinus",118.83166,-23.03193,"AU",482701388
"Ctenotus pantherinus",118.24277,-22.66638,"AU",1100446027
"Ctenotus pantherinus",118.54471,-20.46388,"AU",482702157
"Ctenotus pantherinus",134.41015,-21.1093400120285,"AU",480496722
"Ctenotus pantherinus",134.29127,-21.059560011957,"AU",480496679
"Ctenotus pantherinus",119.84166,-20.12777,"AU",482701456
"Ctenotus pantherinus",134.34578,-21.079060011985,"AU",480496709
"Ctenotus pantherinus",134.3485,-21.1148500120364,"AU",480496671
"Ctenotus pantherinus",134.30233,-21.0738500119775,"AU",480496664
"Ctenotus pantherinus",134.26149,-21.0584100119553,"AU",480496688
"Ctenotus pantherinus",130.5816,-16.9051,"AU",484312619
"Ctenotus pantherinus",130.6456,-16.7846,"AU",484312635
"Ctenotus pantherinus",130.3568,-16.0756,"AU",484307474
"Ctenotus pantherinus",130.3963,-16.2376,"AU",484309282
"Ctenotus pantherinus",128.79721,-24.80055,"AU",691141540
"Ctenotus pantherinus",135.8453,-22.4955,"AU",484496162
"Ctenotus pantherinus",128.43777,-25.93527,"AU",691141291
"Ctenotus pantherinus",128.70972,-24.55944,"AU",691141244
"Ctenotus pantherinus",135.8464,-22.5515,"AU",484495962
"Ctenotus pantherinus",135.4333,-22.5239,"AU",484495037
"Ctenotus pantherinus",129.08039,-28.50248,"AU",501922191
"Ctenotus pantherinus",129.21035,-28.50827,"AU",501922205
"Ctenotus pantherinus",130.14805,-28.53944,"AU",691142034
"Ctenotus pantherinus",130.15086,-28.53938,"AU",501557732
"Ctenotus pantherinus",129.94292,-28.53221,"AU",501922036
"Ctenotus pantherinus",129.9981,-28.53267,"AU",501921998
"Ctenotus pantherinus",130.14807,-28.5394,"AU",501921876
"Ctenotus pantherinus",130.07208,-28.54239,"AU",501921911
"Ctenotus pantherinus",129.08027,-28.5025,"AU",691141837
"Ctenotus pantherinus",129.21027,-28.50833,"AU",691141875
"Ctenotus pantherinus",135.66693,-31.98221,"AU",691140947
"Ctenotus pantherinus",130.07193,-28.54249,"AU",691142060
"Ctenotus pantherinus",135.8086,-22.7408400144588,"AU",691230879
"Ctenotus pantherinus",135.79887,-22.7352000144502,"AU",691230875
"Ctenotus pantherinus",130.4748,-20.4170300110492,"AU",480551173
"Ctenotus pantherinus",130.37809,-20.4897300111504,"AU",480551129
"Ctenotus pantherinus",130.58131,-20.5378800112177,"AU",480551241
"Ctenotus pantherinus",129.6675,-20.0106700104904,"AU",480551076
"Ctenotus pantherinus",130.05046,-29.36863,"AU",501918439
"Ctenotus pantherinus",130.05083,-29.36888,"AU",500804492
"Ctenotus pantherinus",129.84006,-29.41219,"AU",501918476
"Ctenotus pantherinus",129.56572,-29.44925,"AU",501918586
"Ctenotus pantherinus",129.75053,-19.8883000103246,"AU",480552215
"Ctenotus pantherinus",129.56583,-29.44944,"AU",500804414
"Ctenotus pantherinus",129.42416,-29.48444,"AU",500804379
"Ctenotus pantherinus",129.43065,-29.48479,"AU",501918550
"Ctenotus pantherinus",134.7134,-22.3674,"AU",484485563
"Ctenotus pantherinus",137.69874,-17.42781,"AU",480551454
"Ctenotus pantherinus",130.42378,-20.4520400110979,"AU",480551215
"Ctenotus pantherinus",130.22742,-20.5241100111984,"AU",480551105
"Ctenotus pantherinus",134.33221,-20.9948600118643,"AU",480496647
"Ctenotus pantherinus",129.63154,-20.1113700106277,"AU",480551226
"Ctenotus pantherinus",135.4978,-22.6589,"AU",484486974
"Ctenotus pantherinus",130.23786,-20.5643500112547,"AU",480551085
"Ctenotus pantherinus",129.80997,-19.9012400103421,"AU",480551203
"Ctenotus pantherinus",129.65359,-20.0615700105597,"AU",480551232
"Ctenotus pantherinus",129.87336,-20.1552100106878,"AU",480551055
"Ctenotus pantherinus",129.70688,-19.9479800104053,"AU",480551123
"Ctenotus pantherinus",130.34904,-20.5568300112442,"AU",480551415
"Ctenotus pantherinus",129.92873,-20.533820011212,"AU",480551441
"Ctenotus pantherinus",133.63463,-24.3412400169794,"AU",479895895
"Ctenotus pantherinus",130.29396,-29.061,"AU",501916521
"Ctenotus pantherinus",132.163,-14.584,"AU",1085950069
"Ctenotus pantherinus",130.2863,-18.6199800086753,"AU",480551460
"Ctenotus pantherinus",130.29388,-29.05111,"AU",500801329
"Ctenotus pantherinus",133.63462,-24.3413400169796,"AU",483996577
"Ctenotus pantherinus",121.55217,-26.29717,"AU",919381280
"Ctenotus pantherinus",121.511,-26.26267,"AU",919381359
"Ctenotus pantherinus",130.25597,-20.5316100112089,"AU",480551381
"Ctenotus pantherinus",121.5595,-26.27383,"AU",919381634
"Ctenotus pantherinus",126.1132,-17.6085,"AU",692417688
"Ctenotus pantherinus",129.93301,-20.5193500111918,"AU",480551409
"Ctenotus pantherinus",129.92202,-20.5331700112111,"AU",480551395
"Ctenotus pantherinus",129.93218,-20.5181300111901,"AU",480551401
"Ctenotus pantherinus",135.35154,-25.5350200189229,"AU",479895943
"Ctenotus pantherinus",130.92527,-28.5711,"AU",500797632
"Ctenotus pantherinus",130.92399,-28.57261,"AU",501913124
"Ctenotus pantherinus",131.545,-24.2907000168982,"AU",482877440
"Ctenotus pantherinus",135.42252,-15.5797400052897,"AU",482735196
"Ctenotus pantherinus",131.61281,-15.3391800050584,"AU",483560231
"Ctenotus pantherinus",131.58107,-24.2770600168763,"AU",480503820
"Ctenotus pantherinus",146.83639,-28.27111,"AU",1066582871
"Ctenotus pantherinus",146.92667,-21.7,"AU",1066581215
"Ctenotus pantherinus",141.53721,-27.36222,"AU",500798389
"Ctenotus pantherinus",133.29391,-31.61108,"AU",501912446
"Ctenotus pantherinus",133.79422,-24.0760200165541,"AU",482490443
"Ctenotus pantherinus",131.299,-15.479,"AU",1085949197
"Ctenotus pantherinus",133.5052,-24.5962,"AU",484339304
"Ctenotus pantherinus",139.99944,-21.85194,"AU",500794389
"Ctenotus pantherinus",133.7954,-24.0745,"AU",484335882
"Ctenotus pantherinus",139.98583,-21.88916,"AU",500794286
"Ctenotus pantherinus",133.88685,-23.8953100162658,"AU",482490484
"Ctenotus pantherinus",139.90861,-21.79749,"AU",500794398
"Ctenotus pantherinus",133.9905,-24.0677,"AU",484337416
"Ctenotus pantherinus",133.98931,-24.0692300165432,"AU",482490462
"Ctenotus pantherinus",139.97471,-21.79471,"AU",500794385
"Ctenotus pantherinus",133.7954,-24.0492800165114,"AU",482490468
"Ctenotus pantherinus",133.5028,-24.5763,"AU",484339453
"Ctenotus pantherinus",133.96749,-23.9160400162988,"AU",482490479
"Ctenotus pantherinus",133.7966,-24.0478,"AU",484336023
"Ctenotus pantherinus",133.9687,-23.9146,"AU",484336358
"Ctenotus pantherinus",133.8881,-23.8938,"AU",484335082
"Ctenotus pantherinus",135.22021,-19.3268400095785,"AU",484092735
"Ctenotus pantherinus",137.8262,-20.8401300116437,"AU",483502312
"Ctenotus pantherinus",132.67025,-24.0607200165296,"AU",481787323
"Ctenotus pantherinus",132.6931,-15.40707,"AU",484178865
"Ctenotus pantherinus",145.05,-21.34638,"AU",500794998
"Ctenotus pantherinus",132.67062,-24.0650600165366,"AU",481787311
"Ctenotus pantherinus",133.99058,-24.0677900165409,"AU",479519761
"Ctenotus pantherinus",133.89048,-25.2115400183922,"AU",482490429
"Ctenotus pantherinus",130.23093,-16.8467800065982,"AU",484268775
"Ctenotus pantherinus",133.4663,-16.2789600059932,"AU",484175270
"Ctenotus pantherinus",146.67889,-22.36806,"AU",1066579561
"Ctenotus pantherinus",131.77391,-15.76268,"AU",483518620
"Ctenotus pantherinus",132.69018,-24.0837100165664,"AU",481787209
"Ctenotus pantherinus",131.5952,-14.7826800045445,"AU",481434806
"Ctenotus pantherinus",132.69538,-24.0830400165653,"AU",481787221
"Ctenotus pantherinus",130.50743,-16.7011800064403,"AU",479762951
"Ctenotus pantherinus",130.45683,-16.5981800063297,"AU",479760218
"Ctenotus pantherinus",135.49786,-22.65891,"AU",479688266
"Ctenotus pantherinus",132.7131,-15.4542700051683,"AU",484157682
"Ctenotus pantherinus",133.79667,-24.04784,"AU",479518188
"Ctenotus pantherinus",133.473,-16.2861600060007,"AU",484175058
"Ctenotus pantherinus",131.00201,-16.1098800058189,"AU",479768995
"Ctenotus pantherinus",135.33045,-25.1383600182725,"AU",479895904
"Ctenotus pantherinus",133.4912,-16.240160005953,"AU",484175573
"Ctenotus pantherinus",135.84642,-22.5515200141688,"AU",479698460
"Ctenotus pantherinus",133.6131,-16.7418600064842,"AU",484161833
"Ctenotus pantherinus",129.77277,-27.07693,"AU",500796164
"Ctenotus pantherinus",130.35687,-16.07569,"AU",479491859
"Ctenotus pantherinus",137.12549,-20.276840010855,"AU",484094412
"Ctenotus pantherinus",146.36167,-22.91944,"AU",1066579241
"Ctenotus pantherinus",130.39633,-16.23765,"AU",479494047
"Ctenotus pantherinus",133.5974,-24.0745,"AU",484356680
"Ctenotus pantherinus",133.6077,-24.0708,"AU",484356510
"Ctenotus pantherinus",133.60649,-24.0723100165482,"AU",482490456
"Ctenotus pantherinus",133.5069,-16.24296,"AU",484175792
"Ctenotus pantherinus",133.50288,-24.5763500173587,"AU",479520461
"Ctenotus pantherinus",133.63801,-24.0440800165031,"AU",482490473
"Ctenotus pantherinus",133.6392,-24.0426,"AU",484356386
"Ctenotus pantherinus",133.63928,-24.0426500165008,"AU",479535142
"Ctenotus pantherinus",133.59616,-24.075940016554,"AU",482490451
"Ctenotus pantherinus",132.19092,-17.29767,"AU",484155737
"Ctenotus pantherinus",133.8917,-25.2101,"AU",484357935
"Ctenotus pantherinus",133.89176,-25.2101,"AU",736194144
"Ctenotus pantherinus",133.2967,-31.5891,"AU",501912229
"Ctenotus pantherinus",137.12549,-20.26584,"AU",484094745
"Ctenotus pantherinus",135.77451,-19.5984500099363,"AU",483495841
"Ctenotus pantherinus",133.96876,-23.9146,"AU",479518608
"Ctenotus pantherinus",133.74333,-21.62666,"AU",500791528
"Ctenotus pantherinus",132.6904,-15.5226,"AU",485145377
"Ctenotus pantherinus",137.12569,-20.26574,"AU",484094308
"Ctenotus pantherinus",140.23666,-19.39471,"AU",500792426
"Ctenotus pantherinus",132.7131,-15.4542,"AU",485144201
"Ctenotus pantherinus",134.2236,-20.90166,"AU",500791488
"Ctenotus pantherinus",135.82777,-19.71138,"AU",500791563
"Ctenotus pantherinus",132.6931,-15.407,"AU",485165855
"Ctenotus pantherinus",132.5778,-15.3161,"AU",485165245
"Ctenotus pantherinus",137.12489,-20.2765400108546,"AU",484094812
"Ctenotus pantherinus",133.40369,-15.6888700053964,"AU",479691310
"Ctenotus pantherinus",130.75521,-17.30660000711,"AU",484102802
"Ctenotus pantherinus",132.2747,-16.262,"AU",485136193
"Ctenotus pantherinus",132.23852,-17.2957700070977,"AU",484154998
"Ctenotus pantherinus",133.59744,-24.07451,"AU",479535480
"Ctenotus pantherinus",131.6695,-15.1551800048852,"AU",484100765
"Ctenotus pantherinus",131.30151,-15.490280005203,"AU",481825088
"Ctenotus pantherinus",132.5778,-15.3161800050365,"AU",484178242
"Ctenotus pantherinus",132.8183,-16.4489,"AU",485152763
"Ctenotus pantherinus",130.64568,-16.7846200065306,"AU",479498305
"Ctenotus pantherinus",135.84531,-22.49553,"AU",479698672
"Ctenotus pantherinus",130.58166,-16.9051300066621,"AU",479498288
"Ctenotus pantherinus",135.63587,-16.0274500057348,"AU",483624234
"Ctenotus pantherinus",132.65364,-24.0720700165478,"AU",481787270
"Ctenotus pantherinus",132.65399,-24.0727000165488,"AU",481787248
"Ctenotus pantherinus",132.3784,-14.4646800042642,"AU",481358284
"Ctenotus pantherinus",139.91667,-21.65,"AU",1066570673
"Ctenotus pantherinus",130.41821,-15.7155900054227,"AU",481974079
"Ctenotus pantherinus",134.6,-18.233,"AU",1085947707
"Ctenotus pantherinus",134.32279,-16.5105500062364,"AU",483541531
"Ctenotus pantherinus",137.1685,-19.9602,"AU",485179706
