"species","lon","lat","countryCode","gbifID"
"Cyclodomorphus branchialis",114.97735,-30.07319,"AU",476773095
"Cyclodomorphus branchialis",114.97333,-30.03904,"AU",476769621
"Cyclodomorphus branchialis",115.01896,-30.03397,"AU",476769701
"Cyclodomorphus branchialis",115.15704,-30.14463,"AU",476769618
"Cyclodomorphus branchialis",115.77,-31.93,"AU",919379285
"Cyclodomorphus branchialis",113.7,-26.683,"AU",482133903
"Cyclodomorphus branchialis",115.7529,-31.8257000292277,"AU",543446041
"Cyclodomorphus branchialis",115.5,-28.53,"AU",476652036
"Cyclodomorphus branchialis",114.6,-28.8,"AU",691965172
"Cyclodomorphus branchialis",116.8,-29.4,"AU",691887519
"Cyclodomorphus branchialis",115.9,-32.8,"AU",478584555
"Cyclodomorphus branchialis",117.9,-28.1,"AU",691918391
"Cyclodomorphus branchialis",114.7,-27.8,"AU",692142973
"Cyclodomorphus branchialis",114.6,-27.9,"AU",691837995
"Cyclodomorphus branchialis",115.5,-28.9,"AU",692068952
"Cyclodomorphus branchialis",116.4,-29.3,"AU",691854496
"Cyclodomorphus branchialis",117.1,-28.8,"AU",692203647
"Cyclodomorphus branchialis",115.6,-28.4,"AU",691840474
