"species","lon","lat","countryCode","gbifID"
"Cyprinodon nevadensis",-118.61139,37.93861,"US",1054715025
"Cyprinodon nevadensis",-116.21359,35.76464,"US",1054767184
"Cyprinodon nevadensis",-116.22,35.75,"US",1000967367
"Cyprinodon nevadensis",-116.23556,35.88472,"US",1054727839
"Cyprinodon nevadensis",-116.26667,35.98194,"US",1054784298
"Cyprinodon nevadensis",-116.2473,35.89157,"US",812588383
"Cyprinodon nevadensis",-116.22552,35.84833,"US",473347604
"Cyprinodon nevadensis",-118.00231,37.24854,"US",623921867
"Cyprinodon nevadensis",-115.98724,36.20524,"US",623929889
"Cyprinodon nevadensis",-116.23,35.84833,"US",1054654101
"Cyprinodon nevadensis",-116.29748,36.06874,"US",1054644361
"Cyprinodon nevadensis",-116.22917,35.87667,"US",1054770851
"Cyprinodon nevadensis",-116.22889,35.8525,"US",1054735701
"Cyprinodon nevadensis",-116.916,34.4578,"US",623950195
"Cyprinodon nevadensis",-117.90201,35.94772,"US",623950194
"Cyprinodon nevadensis",-118.60512,37.93243,"US",623950193
"Cyprinodon nevadensis",-115.826,33.5089,"US",623950189
"Cyprinodon nevadensis",-116.453,33.1017,"US",623950190
