"species","lon","lat","countryCode","gbifID"
"Dallia pectoralis",-157.72015,58.74125,"US",1050354829
"Dallia pectoralis",-156.79033,58.72568,"US",1050354290
"Dallia pectoralis",-156.98203,59.04491,"US",1050354842
"Dallia pectoralis",-151.394,70.265,"US",1050353846
"Dallia pectoralis",-156.31865,59.32106,"US",1050354863
"Dallia pectoralis",-152.66568,63.60755,"US",896940156
"Dallia pectoralis",-152.66574,63.60758,"US",896940157
"Dallia pectoralis",-152.69505,63.3091,"US",896940169
"Dallia pectoralis",-152.67862,63.59394,"US",896940159
"Dallia pectoralis",-152.7027,63.59362,"US",896940154
"Dallia pectoralis",-151.62143,63.95107,"US",896940150
"Dallia pectoralis",-151.64635,63.94804,"US",896940165
"Dallia pectoralis",-151.62207,63.952,"US",896940168
"Dallia pectoralis",-151.63229,63.95181,"US",896940160
"Dallia pectoralis",-151.70137,63.95057,"US",896940158
"Dallia pectoralis",-152.69301,63.60684,"US",896940170
"Dallia pectoralis",-157.14752,66.8881,"US",896939248
"Dallia pectoralis",-157.51572,65.65791,"US",896939256
"Dallia pectoralis",-157.01389,58.72833,"US",896939243
"Dallia pectoralis",-149.27893,61.52152,"US",1039503920
"Dallia pectoralis",-160.40032,59.05662,"US",896939107
"Dallia pectoralis",-161.77385,60.788,"US",896937523
"Dallia pectoralis",-149.4439,60.1058,"US",182725873
"Dallia pectoralis",-152.65375,63.6146,"US",896939130
"Dallia pectoralis",-152.449,63.697,"US",896939162
"Dallia pectoralis",-151.66103,63.93902,"US",896939222
"Dallia pectoralis",-151.89053,63.93974,"US",896939233
"Dallia pectoralis",-147.8264,64.8697,"US",199202767
"Dallia pectoralis",-158.833,59.333,"US",78322058
"Dallia pectoralis",-150.97833,70.20333,"US",96397462
"Dallia pectoralis",-150.63667,70.34,"US",96397468
"Dallia pectoralis",-150.59333,70.43167,"US",96397409
"Dallia pectoralis",-150.81,70.35167,"US",96397470
"Dallia pectoralis",-150.76,70.36667,"US",96397411
"Dallia pectoralis",-150.77833,70.33833,"US",96397469
"Dallia pectoralis",-150.71167,70.385,"US",96397412
"Dallia pectoralis",-158.61667,59.28333,"US",1052629340
"Dallia pectoralis",-164.09833,62.95167,"US",864364968
"Dallia pectoralis",-164.94437,62.6233,"US",473135106
"Dallia pectoralis",-149.97685,61.18153,"US",623918842
"Dallia pectoralis",-149.97454,61.18248,"US",623918844
"Dallia pectoralis",-162.5,60.5,"US",891273694
"Dallia pectoralis",-171,68,"RU",116213432
"Dallia pectoralis",171.08333,65.66667,"ZZ",891293535
"Dallia pectoralis",-171.08333,65.66667,"ZZ",96397262
"Dallia pectoralis",-149.95761,61.16643,"US",624014814
"Dallia pectoralis",-149.52732,61.40086,"US",624014813
"Dallia pectoralis",-149.93194,61.16694,"US",624014815
"Dallia pectoralis",-149.54417,61.35528,"US",624014812
"Dallia pectoralis",-162.9756,67.58968,"US",657005976
"Dallia pectoralis",-163.45445,67.36951,"US",657006001
"Dallia pectoralis",-161.71354,67.96065,"US",657005999
"Dallia pectoralis",-149.85633,61.182,"US",624069373
"Dallia pectoralis",-170.26667,57.16667,"US",896934637
"Dallia pectoralis",-170.27611,57.4,"US",1052708635
"Dallia pectoralis",-155.83,58.53,"US",1050354900
"Dallia pectoralis",-170.26667,57.14167,"US",864239883
"Dallia pectoralis",-155.62,58.75,"US",1050354839
"Dallia pectoralis",-146.68333,64.89167,"US",896940515
"Dallia pectoralis",-162.48333,60.88333,"US",896940554
"Dallia pectoralis",-147.825,64.91667,"US",896940358
"Dallia pectoralis",-158.8438,59.35184,"US",624230583
"Dallia pectoralis",-147.72341,65.08495,"US",896935157
"Dallia pectoralis",-150.83,58.55,"US",1050353860
"Dallia pectoralis",-150.0003,64.0003,"US",868402496
"Dallia pectoralis",-155.83333,58.55,"US",896934945
"Dallia pectoralis",-170.65,63.35,"US",864241112
"Dallia pectoralis",162.45,60.5,"TW",218801715
"Dallia pectoralis",-162.75,60.83333,"US",624098197
"Dallia pectoralis",-162.75,60.8333,"US",1037902319
"Dallia pectoralis",-147.51944,65.0625,"US",896937996
"Dallia pectoralis",-147.7253,65.08352,"US",896940535
"Dallia pectoralis",-147.68333,65.1,"US",896935458
"Dallia pectoralis",-155.7,63.033,"US",17596404
"Dallia pectoralis",-169.45,63.283,"US",17596405
"Dallia pectoralis",-157.73333,58.71667,"US",864240571
"Dallia pectoralis",-155.83,58.55,"US",1050353920
"Dallia pectoralis",-149.96788,61.18119,"US",473162605
"Dallia pectoralis",-162.09,62.38,"US",1050353900
"Dallia pectoralis",-170.25,63.5,"US",864240416
"Dallia pectoralis",-161.65215,60.77496,"US",607701244
"Dallia pectoralis",-164.56,62.46,"US",1050353859
"Dallia pectoralis",-164.5,62.77,"US",1050353854
"Dallia pectoralis",-163,62.1,"US",1050353878
"Dallia pectoralis",-161.75,60.79167,"US",864240147
"Dallia pectoralis",-161.90833,60.70833,"US",896935876
"Dallia pectoralis",-155.05418,70.76825,"US",473084257
"Dallia pectoralis",-172.69826,60.39356,"US",607701227
"Dallia pectoralis",-170.5,63.5,"US",864243098
"Dallia pectoralis",-166.29624,60.26024,"US",472925414
"Dallia pectoralis",-156.68333,70.66667,"US",864240200
"Dallia pectoralis",-157.4,70.46667,"US",96396731
"Dallia pectoralis",-157.4,70.467,"US",17597286
"Dallia pectoralis",-157.13299,70.298,"US",813485643
"Dallia pectoralis",-160.8133,66.9211,"US",1039488049
"Dallia pectoralis",-162.68333,65.03333,"US",864240024
"Dallia pectoralis",-155.9186,58.5022,"US",1039514262
"Dallia pectoralis",-154.38333,70.36667,"US",864240270
"Dallia pectoralis",-156.21667,70.20417,"US",864240264
"Dallia pectoralis",-156.08333,70.18611,"US",864240283
"Dallia pectoralis",-134.4144,58.29842,"US",473299910
"Dallia pectoralis",-155.78333,70.76667,"US",864239973
"Dallia pectoralis",-163.82765,62.4083,"US",607718573
"Dallia pectoralis",-157.17438,59.70387,"US",473135843
"Dallia pectoralis",-158.49222,58.94806,"US",473135846
"Dallia pectoralis",-158.83333,59.33333,"US",864239025
"Dallia pectoralis",-147.83,64.87,"US",1007653946
"Dallia pectoralis",-160.4,59.05,"US",1007654013
"Dallia pectoralis",-160.76,63.81,"US",1007654022
"Dallia pectoralis",-161.24,61.8,"US",1007654063
"Dallia pectoralis",-165.43,64.51,"US",1007658642
"Dallia pectoralis",-156.48,61.08,"US",1007653955
"Dallia pectoralis",-155.58,70.25,"US",1007653993
"Dallia pectoralis",-156.2,70.2,"US",1007653995
"Dallia pectoralis",-161.78,60.79,"US",1007654006
"Dallia pectoralis",-151.2,70.33,"US",1007658168
"Dallia pectoralis",-172.55,65.68,"RU",1007658300
"Dallia pectoralis",-172.26,64.41,"RU",1007658852
"Dallia pectoralis",-158.82016,58.73852,"US",473135805
"Dallia pectoralis",-149.25,61.54,"US",1007653982
"Dallia pectoralis",-156.15,61.19,"US",1007654008
"Dallia pectoralis",-156.93,61.56,"US",1007654031
"Dallia pectoralis",-156.31858,69.55531,"US",607718585
"Dallia pectoralis",-157,64.72,"US",1007658266
"Dallia pectoralis",-147.83,64.91,"US",1007658395
"Dallia pectoralis",-158.41251,59.05829,"US",863148225
"Dallia pectoralis",-162.1667,63.4833,"US",68258
"Dallia pectoralis",-156.92,70.28,"US",1007658562
"Dallia pectoralis",-155.57,70.37,"US",1007658672
"Dallia pectoralis",-159.38,61.54,"US",1007653957
"Dallia pectoralis",-158.91,61.43,"US",1007654018
"Dallia pectoralis",-147.81179,64.9269,"US",1039514873
"Dallia pectoralis",-152.946,69.969,"US",1050353865
"Dallia pectoralis",-169.49,63.35,"US",1007653996
"Dallia pectoralis",-170.26134,57.21022,"US",472917843
"Dallia pectoralis",-153.188,70.018,"US",1050353845
"Dallia pectoralis",-149.97,61.18,"US",1050354811
"Dallia pectoralis",-161.77514,60.79419,"US",607701131
"Dallia pectoralis",-157.02304,58.7357,"US",896939111
"Dallia pectoralis",-164.44913,61.42704,"US",1039497947
"Dallia pectoralis",-178.7,67.43,"RU",1007658319
"Dallia pectoralis",-165,62.5,"US",891296399
"Dallia pectoralis",-170.97771,65.63567,"ZZ",863118174
"Dallia pectoralis",-147.8261,64.8693,"US",896937522
"Dallia pectoralis",-147.82541,64.86919,"US",896940172
"Dallia pectoralis",-147.8256,64.8691,"US",896939246
"Dallia pectoralis",-151.761,70.146,"US",1050353739
