"species","lon","lat","countryCode","gbifID"
"Dascyllus aruanus",178.56793,-17.27745,"FJ",1099957918
"Dascyllus aruanus",178.53694,-17.45808,"FJ",1088936359
"Dascyllus aruanus",178.34338,-17.49201,"FJ",1099957974
"Dascyllus aruanus",134.44794,7.31514,"PW",1099959765
"Dascyllus aruanus",34.54067,28.56523,"EG",1134968161
"Dascyllus aruanus",124.09624,24.41652,"JP",1099974395
"Dascyllus aruanus",34.99364,29.52005,"JO",891051477
"Dascyllus aruanus",73.56316,4.63512,"MV",891038240
"Dascyllus aruanus",-159.75796,-21.27419,"CK",891781315
"Dascyllus aruanus",73.56249,4.63408,"MV",891036555
"Dascyllus aruanus",134.48319,7.30798,"PW",899947261
"Dascyllus aruanus",134.28109,7.13203,"PW",1052567911
"Dascyllus aruanus",134.48327,7.30799,"PW",1052568026
"Dascyllus aruanus",34.041,26.6555,"EG",896186139
"Dascyllus aruanus",117.74536,-8.11909,"ID",923918957
"Dascyllus aruanus",119.64032,-8.52302,"ID",911507401
"Dascyllus aruanus",34.80263,25.26829,"EG",1024330107
"Dascyllus aruanus",34.60007,25.66629,"EG",1024331273
"Dascyllus aruanus",-135.01333,-23.11749,"PF",1135110765
"Dascyllus aruanus",-144.32166,-27.60833,"PF",1135110698
"Dascyllus aruanus",152.71402,-24.11288,"AU",1052593615
"Dascyllus aruanus",157.99209,-8.5054,"SB",1052584750
"Dascyllus aruanus",34.4113,27.9635,"EG",1050925006
"Dascyllus aruanus",-153.94264,-16.78317,"PF",1060443283
"Dascyllus aruanus",72.26212,-5.31397,"IO",814481776
"Dascyllus aruanus",40.14815,19.00383,"SA",864833772
"Dascyllus aruanus",-149.88308,-17.48711,"PF",891770649
"Dascyllus aruanus",125.23019,1.46445,"ID",891151448
"Dascyllus aruanus",125.22595,1.44935,"ID",891734650
"Dascyllus aruanus",144.7643,13.47921,"MP",1039493371
"Dascyllus aruanus",144.66194,13.27202,"MP",1039492969
"Dascyllus aruanus",34.3578,27.9159,"EG",1065564921
"Dascyllus aruanus",34.3498,27.9122,"EG",1065564936
"Dascyllus aruanus",178.75808,-17.17697,"FJ",1052566600
"Dascyllus aruanus",178.98319,-17.57941,"FJ",1052566765
"Dascyllus aruanus",146.268,-16.735,"AU",866343928
"Dascyllus aruanus",146.262,-16.7842,"AU",866343676
"Dascyllus aruanus",146.278,-16.7321,"AU",866343814
"Dascyllus aruanus",-156.969,20.7357,"US",857001114
"Dascyllus aruanus",178.62671,-17.21354,"FJ",1052566992
"Dascyllus aruanus",113.7643,-23.16233,"AU",1088979041
"Dascyllus aruanus",146.18,-16.7815,"AU",866343094
"Dascyllus aruanus",34.5208,28.5548,"EG",857002972
"Dascyllus aruanus",34.5392,28.5735,"EG",857003113
"Dascyllus aruanus",130.6,-0.58333,"ID",891097658
"Dascyllus aruanus",34.4532,27.9845,"EG",857005287
"Dascyllus aruanus",146.273,-16.7882,"AU",857010359
"Dascyllus aruanus",34.74042,25.337,"EG",921401020
"Dascyllus aruanus",147.26264,-9.53931,"PG",666736499
"Dascyllus aruanus",147.27697,-9.53475,"PG",666736813
"Dascyllus aruanus",39.11316,21.72968,"SA",665634862
"Dascyllus aruanus",38.99646,-5.47883,"TZ",1099957608
"Dascyllus aruanus",33.9841,27.1631,"EG",857003173
"Dascyllus aruanus",33.9535,27.1399,"EG",857003384
"Dascyllus aruanus",-149.87,-17.48,"PF",1009895715
"Dascyllus aruanus",-149.82,-17.61,"PF",1009895694
"Dascyllus aruanus",113.74682,-23.12952,"AU",921405322
"Dascyllus aruanus",34.42926,27.97424,"EG",891047938
"Dascyllus aruanus",178.4667,-17.31538,"FJ",891773545
"Dascyllus aruanus",-135.05,-23.1433,"PF",884031491
"Dascyllus aruanus",-135.00661,-23.07186,"PF",884031375
"Dascyllus aruanus",178.59502,-17.33143,"FJ",891030271
"Dascyllus aruanus",43.27066,11.64763,"DJ",814277666
"Dascyllus aruanus",48.61,-13.71,"MG",1014811476
"Dascyllus aruanus",131.7417,2.8772,"PW",886837859
"Dascyllus aruanus",131.7464,2.8989,"PW",884773940
"Dascyllus aruanus",131.8011,2.9631,"PW",888747349
"Dascyllus aruanus",131.77367,2.92912,"PW",331982635
"Dascyllus aruanus",145.47582,-14.66361,"AU",1100679683
"Dascyllus aruanus",131.75652,2.87145,"PW",891320978
"Dascyllus aruanus",119.48987,-8.58257,"ID",891104933
"Dascyllus aruanus",145.466,-14.68694,"AU",1100679747
"Dascyllus aruanus",131.775,2.8797,"PW",666714412
"Dascyllus aruanus",131.7417,2.87737,"PW",331982634
"Dascyllus aruanus",145.4758,-14.6636,"AU",478760392
"Dascyllus aruanus",130.472,30.2328,"JP",380102605
"Dascyllus aruanus",120.76,21.96,"TW",218764756
"Dascyllus aruanus",55.23,-21.09,"RE",1015038333
"Dascyllus aruanus",96.88461,-12.09426,"CC",891121798
"Dascyllus aruanus",55.01,-21.18,"RE",1015029491
"Dascyllus aruanus",96.88545,-12.1057,"CC",891121215
"Dascyllus aruanus",134.2289,7.2097,"PW",1088030877
"Dascyllus aruanus",-149.834,-17.6063,"PF",884032404
"Dascyllus aruanus",-149.83,-17.61,"PF",1004322263
"Dascyllus aruanus",134.48625,7.32356,"PW",666714957
"Dascyllus aruanus",-149.93,-17.5,"PF",1004322275
"Dascyllus aruanus",-149.8581,-17.5892,"PF",884032296
"Dascyllus aruanus",-149.925,-17.5027,"PF",888617003
"Dascyllus aruanus",134.56717,7.34172,"PW",1088030849
"Dascyllus aruanus",134.50994,7.88956,"PW",1088030892
"Dascyllus aruanus",134.62008,7.40822,"PW",1088030885
"Dascyllus aruanus",134.70017,8.0747,"PW",1088030832
"Dascyllus aruanus",73.15109,-0.6935,"MV",921399950
"Dascyllus aruanus",-138.8858,-21.7819,"PF",884031533
"Dascyllus aruanus",43.66,-23.40833,"MG",485251334
"Dascyllus aruanus",147.57031,-18.6054,"AU",122504700
"Dascyllus aruanus",147.43266,-18.62157,"AU",122504706
"Dascyllus aruanus",146.05199,-16.69967,"AU",122574005
"Dascyllus aruanus",34.4713,28.0058,"EG",857006867
"Dascyllus aruanus",55.3964,-4.6681,"SC",235530083
"Dascyllus aruanus",120.48,14.25,"PH",1001648957
"Dascyllus aruanus",145.97668,-16.77287,"AU",122504457
"Dascyllus aruanus",152.083,-23.5,"AU",1100674913
"Dascyllus aruanus",134.53983,7.26694,"PW",45078527
"Dascyllus aruanus",134.50664,7.315,"PW",45078523
"Dascyllus aruanus",134.48831,7.55214,"PW",45078532
"Dascyllus aruanus",145.51576,-14.74355,"AU",122504510
"Dascyllus aruanus",145.37224,-14.7553,"AU",122504504
"Dascyllus aruanus",122.95666,-12.22233,"AU",115858129
