"species","lon","lat","countryCode","gbifID"
"Distaplia occidentalis",-122.46605,37.80634,"US",923912209
"Distaplia occidentalis",-122.47759,37.50204,"US",1052571917
"Distaplia occidentalis",-122.4824,37.50225,"US",1052600902
"Distaplia occidentalis",-123.01222,48.54528,"US",899614154
"Distaplia occidentalis",-122.44113,37.80738,"US",609466072
"Distaplia occidentalis",-122.40996,37.81143,"US",609465068
"Distaplia occidentalis",-122.49637,37.86875,"US",609460122
"Distaplia occidentalis",-122.40946,37.81133,"US",609464997
"Distaplia occidentalis",-145.76666,60.55,"US",24770867
"Distaplia occidentalis",-124.16078,40.80755,"US",24770139
"Distaplia occidentalis",-124.21878,40.73352,"US",24770153
"Distaplia occidentalis",-132.14084,55.65917,"US",24770191
"Distaplia occidentalis",-132.27722,55.615,"US",24770198
"Distaplia occidentalis",-124.22287,40.7237,"US",24770840
"Distaplia occidentalis",-131.663,55.3466,"US",24770190
"Distaplia occidentalis",-131.93805,55.49139,"US",24770194
"Distaplia occidentalis",-124.182,40.81538,"US",24770834
"Distaplia occidentalis",-145.76666,60.58333,"US",24770868
"Distaplia occidentalis",-131.88,55.74611,"US",24770876
"Distaplia occidentalis",-124.17657,40.80303,"US",24770125
"Distaplia occidentalis",-124.18742,40.79538,"US",24770841
"Distaplia occidentalis",-131.87389,55.46944,"US",24770209
"Distaplia occidentalis",-118.2677,33.73247,"US",24770221
"Distaplia occidentalis",-124.18629,40.79772,"US",24770262
"Distaplia occidentalis",-124.18895,40.80432,"US",24770144
"Distaplia occidentalis",-118.21387,33.76237,"US",24770852
"Distaplia occidentalis",-124.14902,40.8722,"US",24770155
"Distaplia occidentalis",-122.4086,37.80862,"US",609464326
"Distaplia occidentalis",-122.44479,37.80628,"US",609466175
"Distaplia occidentalis",-122.44291,37.80705,"US",609466120
"Distaplia occidentalis",-122.40896,37.8114,"US",609464302
"Distaplia occidentalis",-122.49637,37.86876,"US",609464016
"Distaplia occidentalis",-122.44356,37.8069,"US",609459985
"Distaplia occidentalis",-166.53467,53.89153,"US",24770801
"Distaplia occidentalis",-166.57317,53.85142,"US",24770783
"Distaplia occidentalis",-122.49686,37.86884,"US",609460172
"Distaplia occidentalis",-166.52766,53.90313,"US",24770794
"Distaplia occidentalis",-166.59633,53.83015,"US",24770793
"Distaplia occidentalis",-166.51134,53.9054,"US",24770799
"Distaplia occidentalis",-122.49636,37.86876,"US",609454633
"Distaplia occidentalis",-135.353,57.04895,"US",24770565
"Distaplia occidentalis",-152.62933,57.85758,"US",24770602
"Distaplia occidentalis",-152.40834,57.78803,"US",24770614
"Distaplia occidentalis",-152.41783,57.77897,"US",24770617
"Distaplia occidentalis",-135.33167,57.0355,"US",24770578
"Distaplia occidentalis",-135.38766,57.11732,"US",24770586
"Distaplia occidentalis",-135.2805,57.04013,"US",24770590
"Distaplia occidentalis",-152.3985,57.7782,"US",24770611
"Distaplia occidentalis",-152.41817,57.94597,"US",24770621
"Distaplia occidentalis",-152.40834,57.78805,"US",24770622
"Distaplia occidentalis",-152.5125,57.73062,"US",24770615
"Distaplia occidentalis",-122.8234,38.4407,"US",24770716
"Distaplia occidentalis",-122.44316,37.80648,"US",609458511
"Distaplia occidentalis",-122.49662,38.86862,"US",609458274
"Distaplia occidentalis",-122.41,47.86,"US",190114008
"Distaplia occidentalis",-151.71497,59.43667,"US",24770022
"Distaplia occidentalis",-122.63361,47.55725,"US",24770513
"Distaplia occidentalis",-122.40332,47.68512,"US",24770518
"Distaplia occidentalis",-122.51131,47.30472,"US",24770030
"Distaplia occidentalis",-122.60568,48.50287,"US",24770523
"Distaplia occidentalis",-122.75027,48.1168,"US",24770527
"Distaplia occidentalis",-122.99,48.48,"US",190114448
"Distaplia occidentalis",-131.2,52.13,"CA",115717507
"Distaplia occidentalis",-131.1498,52.09877,"CA",115717683
"Distaplia occidentalis",-122,36,"US",883777995
"Distaplia occidentalis",-121,36,"US",887948454
"Distaplia occidentalis",-118.5733,32.9719,"US",887948714
"Distaplia occidentalis",-134.07,57.26,"US",924435608
"Distaplia occidentalis",-119.4728,33.215,"US",887948375
"Distaplia occidentalis",-119.7544,33.9619,"US",887948756
"Distaplia occidentalis",-120.1086,33.9006,"US",887948738
"Distaplia occidentalis",-120.3356,34.0486,"US",887948689
"Distaplia occidentalis",-120.4017,34.4419,"US",887948663
"Distaplia occidentalis",-119.4106,34.0067,"US",887948427
"Distaplia occidentalis",-122.845,48.575,"US",887948584
"Distaplia occidentalis",-132.04974,54.03157,"CA",115718399
"Distaplia occidentalis",-136.34,57.8,"US",1050349964
