"species","lon","lat","countryCode","gbifID"
"Divaricella irpex",130.88383,-12.35,"AU",1085903138
"Divaricella irpex",130.81153,-12.4142,"AU",1085897824
"Divaricella irpex",130.81667,-12.45,"AU",1085897868
"Divaricella irpex",127.78333,-14.36667,"AU",1085893507
"Divaricella irpex",130.81152,-12.40615,"AU",1085893450
"Divaricella irpex",130.84848,-12.38343,"none",1085890304
"Divaricella irpex",124.39799,-15.29066,"AU",1101125622
"Divaricella irpex",130.8538,-12.34483,"AU",1085890994
"Divaricella irpex",153.40482,-26.94347,"AU",1065279377
"Divaricella irpex",153.4756,-27.2953,"AU",1065279396
"Divaricella irpex",153.39688,-26.94345,"AU",1065279404
"Divaricella irpex",153.41608,-26.92022,"AU",1065279408
"Divaricella irpex",153.4439,-27.3031,"AU",1065279394
"Divaricella irpex",153.39638,-26.94763,"AU",1065279391
"Divaricella irpex",153.4894,-27.2994,"AU",1065279399
"Divaricella irpex",153.4789,-27.3069,"AU",1065279406
"Divaricella irpex",153.39583,-26.94852,"AU",1065279402
"Divaricella irpex",153.3006,-27.4392,"AU",1065279419
"Divaricella irpex",153.30492,-27.02623,"AU",1065279418
"Divaricella irpex",153.2947,-27.2836,"AU",1065279421
"Divaricella irpex",130.80717,-12.40817,"AU",1085887688
"Divaricella irpex",146.86583,-19.15305,"AU",1100919531
"Divaricella irpex",146.84194,-19.17971,"AU",1100919440
"Divaricella irpex",146.84138,-19.17916,"AU",488316691
"Divaricella irpex",146.87721,-19.12332,"AU",1101115983
"Divaricella irpex",130.8413,-12.46828,"AU",1085885761
"Divaricella irpex",149.41166,-20.92277,"AU",1101110172
"Divaricella irpex",146.84971,-19.16305,"AU",488291895
"Divaricella irpex",146.86361,-19.15472,"AU",1101111842
"Divaricella irpex",146.82582,-19.17499,"AU",1101112102
"Divaricella irpex",130.84633,-12.47083,"AU",1085883342
"Divaricella irpex",132.40933,-12.05717,"AU",1085877044
"Divaricella irpex",132.39142,-12.06375,"AU",1085886038
"Divaricella irpex",132.39067,-12.05917,"AU",1085880967
"Divaricella irpex",134.96548,-12.15455,"AU",1085885889
"Divaricella irpex",134.2842,-11.97795,"AU",1085878687
"Divaricella irpex",134.92635,-12.14388,"AU",1085878736
"Divaricella irpex",134.11588,-11.9013,"AU",1085883053
"Divaricella irpex",131.01333,-12.32583,"AU",1085872949
"Divaricella irpex",150.02554,-22.14721,"AU",1101110610
"Divaricella irpex",150.16444,-21.99221,"AU",488138958
"Divaricella irpex",150.16638,-21.99221,"AU",488136997
"Divaricella irpex",150.2,-22.32249,"AU",1101083063
"Divaricella irpex",150.20166,-22.32499,"AU",1101079713
"Divaricella irpex",150.17832,-21.9911,"AU",488136714
"Divaricella irpex",146.83333,-19.13333,"AU",1085861089
"Divaricella irpex",130.37583,-11.26667,"none",1085861168
"Divaricella irpex",130.41667,-12.55,"AU",1085861389
"Divaricella irpex",136.88333,-12.41667,"AU",1085860322
"Divaricella irpex",130.9,-12.31667,"AU",1085863884
"Divaricella irpex",136.78333,-12.18333,"AU",1085890531
"Divaricella irpex",136.75,-12.16667,"AU",1085890791
"Divaricella irpex",130.33017,-11.111,"AU",1085858195
"Divaricella irpex",146.85,-19.16667,"AU",1085857616
"Divaricella irpex",136.73917,-12.54583,"AU",1085853341
"Divaricella irpex",131.95333,-11.27967,"AU",1085854248
"Divaricella irpex",134.63667,-12.02833,"AU",1085855305
"Divaricella irpex",130.81667,-12.41667,"AU",1085863904
"Divaricella irpex",148.46667,-20.06667,"AU",1085869304
"Divaricella irpex",131.01783,-12.23467,"AU",1085860197
"Divaricella irpex",130.82667,-12.41833,"none",1085873671
"Divaricella irpex",130.822,-12.4385,"AU",1085855559
"Divaricella irpex",130.785,-12.317,"AU",1085853023
"Divaricella irpex",130.834,-12.353,"AU",1085853271
"Divaricella irpex",130.981,-12.317,"AU",1085853382
"Divaricella irpex",130.85133,-12.35133,"AU",1085864052
"Divaricella irpex",145.98333,-16.75,"AU",1085880832
"Divaricella irpex",131.02833,-12.24667,"AU",1085871223
"Divaricella irpex",131.00133,-12.3175,"AU",1085881423
"Divaricella irpex",153.5,-28.15,"AU",1085901674
"Divaricella irpex",131.00133,-12.32583,"AU",1085863927
"Divaricella irpex",152.333,-21.283,"AU",487389632
"Divaricella irpex",153.11667,-25.36667,"AU",1085898188
"Divaricella irpex",152.54333,-22.52304,"AU",1100902831
"Divaricella irpex",153.43333,-27.4,"AU",1085897466
"Divaricella irpex",113.633,-24.883,"AU",487389625
"Divaricella irpex",116.333,-19.533,"AU",1100902813
"Divaricella irpex",119.05736,-19.05819,"AU",1100902817
"Divaricella irpex",146.916,-18.666,"AU",1100902785
"Divaricella irpex",145.46667,-14.66667,"AU",1085900312
"Divaricella irpex",143.366,-12.4,"AU",1100904451
"Divaricella irpex",136.75,-12.25,"AU",1100902836
"Divaricella irpex",153.36667,-27.2,"AU",1085898869
"Divaricella irpex",145.45,-14.666,"AU",487389668
"Divaricella irpex",150.966,-23.166,"AU",1100902795
"Divaricella irpex",146.86305,-19.15305,"AU",774893649
"Divaricella irpex",148.50833,-20.083,"AU",487389539
"Divaricella irpex",147.533,-19.283,"AU",487396730
"Divaricella irpex",142.116,-10.7,"AU",1100904478
"Divaricella irpex",142.2,-10.59166,"AU",1100902818
"Divaricella irpex",142.216,-10.583,"AU",1100902858
"Divaricella irpex",132.133,-11.116,"AU",487389509
