"species","lon","lat","countryCode","gbifID"
"Eciton burchellii",-89.80656,18.10883,"MX",1065603522
"Eciton burchellii",-84.00708,10.4276,"CR",1062922667
"Eciton burchellii",-84.0013,10.42357,"CR",1062922721
"Eciton burchellii",-89.274,13.702,"SV",865258423
"Eciton burchellii",-85.48,10.98,"CR",1008607885
"Eciton burchellii",-76.54289,2.82431,"CO",923928108
"Eciton burchellii",-85.47,10.96,"CR",1008598609
"Eciton burchellii",-75.74564,4.63122,"CO",724256109
"Eciton burchellii",-85.35,10.8,"CR",1008612422
"Eciton burchellii",-85.66,10.78,"CR",1008630747
"Eciton burchellii",-89.62304,17.2217,"GT",893123882
"Eciton burchellii",-93.59878,16.15687,"MX",893137560
"Eciton burchellii",-93.60716,16.16033,"MX",893137854
"Eciton burchellii",-93.59271,16.14346,"MX",893137935
"Eciton burchellii",-85.47,10.93,"CR",1008617214
"Eciton burchellii",-85.62,10.84,"CR",1008598640
"Eciton burchellii",-76.55306,2.81361,"CO",923928410
"Eciton burchellii",-91.58592,16.97417,"MX",893211440
"Eciton burchellii",-85.72889,11.03846,"CR",379689104
"Eciton burchellii",-86.88198,16.12008,"HN",893010762
"Eciton burchellii",-75.85904,4.92346,"CO",923927241
"Eciton burchellii",-84.71667,10.31667,"CR",865416211
"Eciton burchellii",-84.72968,10.30815,"CR",865416311
"Eciton burchellii",-85.7524,10.90413,"CR",865416248
"Eciton burchellii",-84.11767,10.23617,"CR",865302820
"Eciton burchellii",-84.74724,10.30001,"CR",893207249
"Eciton burchellii",-84.02277,10.41939,"CR",893079310
"Eciton burchellii",-84.02282,10.41932,"CR",893079336
"Eciton burchellii",-84.02287,10.41924,"CR",865306302
"Eciton burchellii",-84.0583,10.3052,"CR",865308520
"Eciton burchellii",-84.02004,10.4216,"CR",865296350
"Eciton burchellii",-84.05,10.35,"CR",865301399
"Eciton burchellii",-61.283,10.683,"TT",699139982
"Eciton burchellii",-61.28,10.44,"TT",699139981
"Eciton burchellii",-84.11667,10.23333,"CR",893207006
"Eciton burchellii",-61.27,10.69,"TT",699139716
"Eciton burchellii",-61.299,10.794,"TT",699139714
"Eciton burchellii",-61.39,10.66,"TT",699139736
"Eciton burchellii",-61.194,10.524,"TT",699139754
"Eciton burchellii",-61.18,10.49,"TT",699139771
"Eciton burchellii",-75.88389,4.83294,"CO",923929332
"Eciton burchellii",-84.06667,10.33333,"CR",865302343
"Eciton burchellii",-61.407,10.726,"TT",699139964
"Eciton burchellii",-85.88645,10.88674,"CR",377844723
"Eciton burchellii",-84.08333,10.25,"CR",893203696
