"species","lon","lat","countryCode","gbifID"
"Egernia cunninghami",150.07912,-30.2191500266766,"AU",1071843809
"Egernia cunninghami",150.27098,-30.38437,"AU",1100453336
"Egernia cunninghami",150.80375,-34.4246900330356,"AU",1071929890
"Egernia cunninghami",150.36675,-33.72589003206,"AU",1069658814
"Egernia cunninghami",150.72695,-29.2441700250819,"AU",1071464038
"Egernia cunninghami",150.75132,-29.2607200251092,"AU",1071464155
"Egernia cunninghami",150.75746,-29.254520025099,"AU",1071464112
"Egernia cunninghami",150.75457,-29.2618600251111,"AU",1071464063
"Egernia cunninghami",150.75443,-29.2603300251086,"AU",1071464161
"Egernia cunninghami",150.7574,-29.2594800251072,"AU",1071464061
"Egernia cunninghami",150.75419,-29.2603900251087,"AU",1071464093
"Egernia cunninghami",150.7591,-29.257590025104,"AU",1071464084
"Egernia cunninghami",150.75777,-29.2551000250999,"AU",1071464097
"Egernia cunninghami",150.75489,-29.2614100251103,"AU",1071464052
"Egernia cunninghami",150.75488,-29.2597100251075,"AU",1071464138
"Egernia cunninghami",151.24513,-33.62187,"AU",1038343380
"Egernia cunninghami",149.35153,-35.1175200339619,"AU",1071913900
"Egernia cunninghami",148.95191,-35.76599,"AU",891129972
"Egernia cunninghami",148.99183,-35.55717,"AU",891131884
"Egernia cunninghami",150.19237,-33.3280800314874,"AU",1069655606
"Egernia cunninghami",151.30071,-33.82191,"AU",891155229
"Egernia cunninghami",151.30062,-33.82319,"AU",891169082
"Egernia cunninghami",149.3535,-36.5846000357717,"AU",1070896728
"Egernia cunninghami",151.47708,-30.5057300271397,"AU",1071330651
"Egernia cunninghami",151.96568,-31.3894900285468,"AU",1070549744
"Egernia cunninghami",151.47692,-30.5054900271393,"AU",1071330634
"Egernia cunninghami",151.47868,-30.5036500271363,"AU",1071330600
"Egernia cunninghami",151.9009,-31.3923700285513,"AU",1070549782
"Egernia cunninghami",151.90064,-31.3909600285491,"AU",1070549793
"Egernia cunninghami",151.15671,-33.62444,"AU",891042863
"Egernia cunninghami",152.00676,-31.2779900283712,"AU",1070546885
"Egernia cunninghami",150.75112,-29.25052,"AU",1100448776
"Egernia cunninghami",152.00843,-31.2781400283714,"AU",1070546977
"Egernia cunninghami",145.62991,-36.90253,"AU",694163499
"Egernia cunninghami",152.46595,-28.3077400235304,"AU",1071909742
