"species","lon","lat","countryCode","gbifID"
"Eremiascincus fasciolatus",130.10366,-29.85801,"AU",728015194
"Eremiascincus fasciolatus",140.43638,-31.44027,"AU",774844033
"Eremiascincus fasciolatus",139.98546,-29.3998,"AU",501900685
"Eremiascincus fasciolatus",133.36901,-23.8019800161175,"AU",736213454
"Eremiascincus fasciolatus",131.21482,-22.7319,"AU",691257094
"Eremiascincus fasciolatus",142.89936,-33.3949500315845,"AU",1070067284
"Eremiascincus fasciolatus",141.84194,-33.4236900316261,"AU",1069660033
"Eremiascincus fasciolatus",141.93842,-33.4378000316465,"AU",1069659872
"Eremiascincus fasciolatus",141.84598,-33.4147300316131,"AU",1069659817
"Eremiascincus fasciolatus",140.73777,-27.8686,"AU",691148520
"Eremiascincus fasciolatus",141.07138,-29.0866000248219,"AU",1074768968
"Eremiascincus fasciolatus",141.0632,-29.1172400248725,"AU",1074768946
"Eremiascincus fasciolatus",130.6252,-19.3011,"AU",736204384
"Eremiascincus fasciolatus",141.08843,-29.2162000250358,"AU",1070017867
"Eremiascincus fasciolatus",141.06326,-29.1490900249251,"AU",1070017843
"Eremiascincus fasciolatus",141.03791,-29.2295900250579,"AU",1070017875
"Eremiascincus fasciolatus",141.06167,-29.1055400248532,"AU",1070017881
"Eremiascincus fasciolatus",141.06229,-29.1053400248529,"AU",1070017874
"Eremiascincus fasciolatus",141.12923,-29.0268400247232,"AU",1070017889
"Eremiascincus fasciolatus",141.04118,-29.233890025065,"AU",1070017841
"Eremiascincus fasciolatus",141.02751,-29.1803800249767,"AU",1070017844
"Eremiascincus fasciolatus",141.12736,-29.0264700247226,"AU",1070017849
"Eremiascincus fasciolatus",141.09416,-29.2187900250401,"AU",1070017882
"Eremiascincus fasciolatus",141.13257,-29.0282100247254,"AU",1070017851
"Eremiascincus fasciolatus",141.13192,-29.0286700247262,"AU",1070017817
"Eremiascincus fasciolatus",141.02854,-29.1798300249758,"AU",1070017857
"Eremiascincus fasciolatus",141.04136,-29.2348200250665,"AU",1070017883
"Eremiascincus fasciolatus",141.12983,-29.0270500247235,"AU",1070017856
"Eremiascincus fasciolatus",141.06626,-29.2595500251073,"AU",1070017845
"Eremiascincus fasciolatus",142.61939,-33.8185600321916,"AU",1070253637
"Eremiascincus fasciolatus",141.06426,-29.1091000248591,"AU",1070017900
"Eremiascincus fasciolatus",141.06481,-29.1086700248584,"AU",1070017944
"Eremiascincus fasciolatus",141.12687,-29.0262500247222,"AU",1070017887
"Eremiascincus fasciolatus",141.091,-29.0646500247857,"AU",1070017898
"Eremiascincus fasciolatus",141.06234,-29.1481200249235,"AU",1070017909
"Eremiascincus fasciolatus",141.06393,-29.2585800251057,"AU",1070017924
"Eremiascincus fasciolatus",131.4143,-22.9509700147829,"AU",480558633
"Eremiascincus fasciolatus",141.06147,-29.1060800248541,"AU",1070017876
"Eremiascincus fasciolatus",131.00662,-22.7347100144494,"AU",480558625
"Eremiascincus fasciolatus",141.08961,-29.0626300247823,"AU",1070017901
"Eremiascincus fasciolatus",134.47605,-25.2642000184784,"AU",480558643
"Eremiascincus fasciolatus",140.67263,-27.06969,"AU",501924195
"Eremiascincus fasciolatus",140.66567,-27.05189,"AU",501924250
"Eremiascincus fasciolatus",140.91151,-26.925,"AU",501923900
"Eremiascincus fasciolatus",140.80891,-26.87562,"AU",501923734
"Eremiascincus fasciolatus",140.6982,-26.83847,"AU",501923803
"Eremiascincus fasciolatus",140.67264,-27.05077,"AU",501924242
"Eremiascincus fasciolatus",140.67783,-27.14247,"AU",501924132
"Eremiascincus fasciolatus",140.63173,-27.11064,"AU",501924159
"Eremiascincus fasciolatus",140.8906,-26.87699,"AU",501923864
"Eremiascincus fasciolatus",140.66498,-27.22365,"AU",501924072
"Eremiascincus fasciolatus",140.77297,-26.86718,"AU",501923753
"Eremiascincus fasciolatus",140.90741,-26.91012,"AU",501559071
"Eremiascincus fasciolatus",140.76699,-26.86742,"AU",501923766
"Eremiascincus fasciolatus",140.69805,-26.8386,"AU",691146733
"Eremiascincus fasciolatus",140.79331,-26.87227,"AU",501559064
"Eremiascincus fasciolatus",140.80888,-26.87554,"AU",691146661
"Eremiascincus fasciolatus",140.67249,-27.05083,"AU",691146819
"Eremiascincus fasciolatus",140.665,-27.2236,"AU",691146850
"Eremiascincus fasciolatus",140.91138,-26.92499,"AU",691146564
"Eremiascincus fasciolatus",140.89055,-26.87693,"AU",691146534
"Eremiascincus fasciolatus",140.81971,-29.80611,"AU",691147195
"Eremiascincus fasciolatus",140.69499,-31.34444,"AU",691147336
"Eremiascincus fasciolatus",140.783,-31.1936,"AU",691147559
"Eremiascincus fasciolatus",143.02751,-33.7005400320238,"AU",1071550726
"Eremiascincus fasciolatus",142.60688,-33.813920032185,"AU",1070253598
"Eremiascincus fasciolatus",132.64539,-23.96463,"AU",691231624
"Eremiascincus fasciolatus",138.406,-29.17941,"AU",501557940
"Eremiascincus fasciolatus",141.03764,-29.1882900249898,"AU",1070017840
"Eremiascincus fasciolatus",141.09393,-29.2192600250409,"AU",1070017862
"Eremiascincus fasciolatus",141.13181,-29.0281800247254,"AU",1070017869
"Eremiascincus fasciolatus",141.03811,-29.1881300249895,"AU",1070017836
"Eremiascincus fasciolatus",141.06577,-29.2599100251079,"AU",1070017855
"Eremiascincus fasciolatus",141.08979,-29.0621200247815,"AU",1070017864
"Eremiascincus fasciolatus",141.06407,-29.2589900251063,"AU",1070017818
"Eremiascincus fasciolatus",141.06416,-29.1087500248585,"AU",1070017879
"Eremiascincus fasciolatus",141.04084,-29.234530025066,"AU",1070017852
"Eremiascincus fasciolatus",141.12749,-29.0254300247208,"AU",1070017859
"Eremiascincus fasciolatus",141.0662,-29.2590500251064,"AU",1070017803
"Eremiascincus fasciolatus",141.05541,-29.1425000249142,"AU",1070017839
"Eremiascincus fasciolatus",139.71582,-26.64615,"AU",728014551
"Eremiascincus fasciolatus",119.84166,-20.12777,"AU",482701826
