"species","lon","lat","countryCode","gbifID"
"Eremiascincus richardsonii",142.3333,-32.4667,"AU",790119023
"Eremiascincus richardsonii",121.28224,-31.01263,"AU",774860282
"Eremiascincus richardsonii",141.15478,-32.4305100301545,"AU",1070893885
"Eremiascincus richardsonii",130.10366,-29.858,"AU",691158913
"Eremiascincus richardsonii",135.11693,-32.20555,"AU",774844131
"Eremiascincus richardsonii",141.17068,-32.4243100301451,"AU",1070893960
"Eremiascincus richardsonii",141.22398,-32.4001400301085,"AU",1070894114
"Eremiascincus richardsonii",134.26444,-20.56721,"AU",691153793
"Eremiascincus richardsonii",132.13499,-27.22054,"AU",691154433
"Eremiascincus richardsonii",143.1023,-30.8068,"AU",478640102
"Eremiascincus richardsonii",139.91466,-21.76273,"AU",478646232
"Eremiascincus richardsonii",139.4,-30.30277,"AU",691156215
"Eremiascincus richardsonii",137.72471,-30.18666,"AU",691156454
"Eremiascincus richardsonii",137.92832,-30.38666,"AU",691156638
"Eremiascincus richardsonii",137.76583,-30.12499,"AU",691156661
"Eremiascincus richardsonii",137.99194,-30.35944,"AU",691156595
"Eremiascincus richardsonii",144.86493,-29.1720200249629,"AU",1070805037
"Eremiascincus richardsonii",144.8852,-29.1627800249477,"AU",1070805147
"Eremiascincus richardsonii",136.90444,-33.58054,"AU",691156770
"Eremiascincus richardsonii",142.7231,-30.6609000273891,"AU",1070351794
"Eremiascincus richardsonii",136.87819,-30.43621,"AU",728027833
"Eremiascincus richardsonii",136.80226,-30.42669,"AU",728024469
"Eremiascincus richardsonii",136.83738,-30.38255,"AU",728025583
"Eremiascincus richardsonii",136.85331,-30.41532,"AU",728025974
"Eremiascincus richardsonii",136.87449,-30.43454,"AU",728023293
"Eremiascincus richardsonii",136.95039,-30.42814,"AU",728028656
"Eremiascincus richardsonii",141.07499,-33.3593800315329,"AU",1070351041
"Eremiascincus richardsonii",134.69943,-28.99366,"AU",728014843
"Eremiascincus richardsonii",143.18333,-24.11667,"AU",1066593627
"Eremiascincus richardsonii",134.69666,-28.99575,"AU",728014848
"Eremiascincus richardsonii",134.69185,-28.97057,"AU",728014873
"Eremiascincus richardsonii",134.79559,-29.02824,"AU",728014879
"Eremiascincus richardsonii",134.69196,-28.97045,"AU",728014896
"Eremiascincus richardsonii",134.70081,-28.99326,"AU",728014894
"Eremiascincus richardsonii",139.45823,-30.66235,"AU",728018141
"Eremiascincus richardsonii",139.96361,-22.39499,"AU",691151624
"Eremiascincus richardsonii",134.72476,-29.01185,"AU",728014902
"Eremiascincus richardsonii",139.4779,-30.64195,"AU",728021759
"Eremiascincus richardsonii",137.55194,-16.46627,"AU",691251394
"Eremiascincus richardsonii",143.95086,-31.46,"AU",1100446624
"Eremiascincus richardsonii",142.75933,-31.7257400290726,"AU",1071609074
"Eremiascincus richardsonii",135.61166,-30.61693,"AU",691153043
"Eremiascincus richardsonii",140.03582,-32.04065,"AU",501562080
"Eremiascincus richardsonii",140.05741,-32.04486,"AU",501562549
"Eremiascincus richardsonii",140.04293,-32.05289,"AU",501562098
"Eremiascincus richardsonii",135.63138,-30.365,"AU",691152918
"Eremiascincus richardsonii",140.03583,-32.04055,"AU",691152331
"Eremiascincus richardsonii",139.83277,-32.91693,"AU",691153598
"Eremiascincus richardsonii",139.47347,-30.64044,"AU",728020206
"Eremiascincus richardsonii",139.43891,-30.64817,"AU",728016432
"Eremiascincus richardsonii",136.17666,-30.16194,"AU",691153471
"Eremiascincus richardsonii",136.86223,-30.45198,"AU",728026569
