"species","lon","lat","countryCode","gbifID"
"Floridichthys carpio",-83.5798,29.77233,"US",930961930
"Floridichthys carpio",-80.84452,28.77097,"US",1090165187
"Floridichthys carpio",-80.2814,27.4294,"US",884615022
"Floridichthys carpio",-80.3117,27.4783,"US",1060454628
"Floridichthys carpio",-81.689,24.5655,"US",656977472
"Floridichthys carpio",-83.57989,29.77234,"US",624195621
"Floridichthys carpio",-80.93986,24.76719,"US",624190418
"Floridichthys carpio",-81.02861,24.73753,"US",624190412
"Floridichthys carpio",-80.93161,24.76344,"US",624190391
"Floridichthys carpio",-80.994,24.74878,"US",624190404
"Floridichthys carpio",-81.02061,24.72931,"US",624190426
"Floridichthys carpio",-81.01542,24.72592,"US",624190427
"Floridichthys carpio",-81.24192,24.67,"US",624195211
"Floridichthys carpio",-82.71823,28.29312,"US",624175660
"Floridichthys carpio",-80.4221,27.7569,"US",895483744
"Floridichthys carpio",-80.1986,25.7459,"US",895482264
"Floridichthys carpio",-80.1413,25.8096,"US",199209283
"Floridichthys carpio",-83.5894,29.8033,"US",895481165
"Floridichthys carpio",-80.3501,27.5376,"US",895480927
"Floridichthys carpio",-81.23194,24.68056,"US",675450906
"Floridichthys carpio",-82.38439,27.94756,"US",624146066
"Floridichthys carpio",-82.42675,27.93208,"US",624145843
"Floridichthys carpio",-82.42001,27.92545,"US",624145838
"Floridichthys carpio",-82.4058,27.94381,"US",624146072
"Floridichthys carpio",-82.36991,27.95317,"US",624146059
"Floridichthys carpio",-82.38646,27.94833,"US",624145871
"Floridichthys carpio",-82.40611,27.94528,"US",624146110
"Floridichthys carpio",-81.38333,24.69667,"US",624149097
"Floridichthys carpio",-82.46868,27.99802,"US",624146374
"Floridichthys carpio",-82.4083,27.94429,"US",624143893
"Floridichthys carpio",-82.18333,26.63333,"US",624144188
"Floridichthys carpio",-82.40493,27.94419,"US",624144448
"Floridichthys carpio",-82.40992,27.94226,"US",624145939
"Floridichthys carpio",-82.37801,27.94568,"US",624145933
"Floridichthys carpio",-82.37901,27.94545,"US",624146001
"Floridichthys carpio",-82.4079,27.94307,"US",624144591
"Floridichthys carpio",-82.40912,27.94375,"US",624144500
"Floridichthys carpio",-82.03866,26.50197,"US",624141030
"Floridichthys carpio",-82.16667,26.65,"US",624143998
"Floridichthys carpio",-82.16073,24.55335,"US",624158723
"Floridichthys carpio",-80.15778,27.15167,"US",624136136
"Floridichthys carpio",-80.45331,27.85204,"US",624151950
"Floridichthys carpio",-80.60778,28.17111,"US",624100096
"Floridichthys carpio",-82,26.417,"US",17601515
"Floridichthys carpio",-87.6,19,"MX",46405955
"Floridichthys carpio",-80.68611,28.36556,"US",624130279
"Floridichthys carpio",-80.63619,28.40413,"US",624098814
"Floridichthys carpio",-83.58242,29.77083,"US",624098080
"Floridichthys carpio",-87.478,20.003,"MX",240517103
"Floridichthys carpio",-87.4775,20.00278,"MX",46405260
"Floridichthys carpio",-87.57944,19.76861,"MX",46405282
"Floridichthys carpio",-87.579,19.769,"MX",145101844
"Floridichthys carpio",-87.479,19.779,"MX",371406589
"Floridichthys carpio",-89.66513,21.25819,"MX",472957010
"Floridichthys carpio",-80.45,27.85,"US",675390711
"Floridichthys carpio",-83.58231,29.77338,"US",624084431
"Floridichthys carpio",-82.16333,24.54833,"US",624089949
"Floridichthys carpio",-80.9375,25.3125,"US",624213051
"Floridichthys carpio",-81.34667,24.69667,"US",624254918
"Floridichthys carpio",-81.73167,24.575,"US",675389211
"Floridichthys carpio",-80.93124,25.13729,"US",657013800
"Floridichthys carpio",-81.3728,24.6922,"US",657013955
"Floridichthys carpio",-82.08505,26.61046,"US",624083582
"Floridichthys carpio",-80.159,25.762,"US",895524815
"Floridichthys carpio",-88.16029,21.59673,"MX",624128601
"Floridichthys carpio",-87.33791,21.43295,"MX",624128626
"Floridichthys carpio",-86.77375,21.14127,"MX",624128603
"Floridichthys carpio",-87.604,20.07469,"MX",624128602
"Floridichthys carpio",-81.40972,25.845,"US",624128600
"Floridichthys carpio",-87.309,20.406,"MX",371409868
"Floridichthys carpio",-87.519,20.075,"MX",371409896
"Floridichthys carpio",-90.728,19.36,"MX",371407963
"Floridichthys carpio",-90.674,19.56,"MX",371407883
"Floridichthys carpio",-91.236,18.677,"MX",371407983
"Floridichthys carpio",-89.69903,21.25714,"MX",624128570
"Floridichthys carpio",-90.72,19.365,"MX",371407745
"Floridichthys carpio",-81.15556,24.70306,"US",624082972
"Floridichthys carpio",-90.72223,19.3631,"MX",624128574
"Floridichthys carpio",-89.66503,21.25821,"MX",624128568
"Floridichthys carpio",-81.78333,24.51333,"US",675413607
"Floridichthys carpio",-91.667,18.5,"MX",145101611
"Floridichthys carpio",-91.66666,18.5,"MX",46405944
"Floridichthys carpio",-80.45011,27.86031,"US",624128598
"Floridichthys carpio",-81.35583,24.6875,"US",624128584
"Floridichthys carpio",-80.355,25.285,"US",624128552
"Floridichthys carpio",-86.786,21.094,"MX",371406552
"Floridichthys carpio",-80.8,28.58333,"US",624164281
"Floridichthys carpio",-80.73333,28.70833,"US",624164298
"Floridichthys carpio",-80.80833,28.61667,"US",624164296
"Floridichthys carpio",-80.725,28.71667,"US",624164324
"Floridichthys carpio",-80.75833,28.68333,"US",624164267
"Floridichthys carpio",-80.76667,24.83333,"US",675409127
"Floridichthys carpio",-80.84167,28.775,"US",624164266
"Floridichthys carpio",-80.83333,28.78333,"US",624164300
"Floridichthys carpio",-80.63333,28.40833,"US",624164322
"Floridichthys carpio",-80.79639,24.84444,"US",675410614
"Floridichthys carpio",-83.06556,29.09889,"US",675407347
"Floridichthys carpio",-80.45,27.87,"US",675394620
