"species","lon","lat","countryCode","gbifID"
"Formica neogagates",-112.14844,36.05931,"US",876324002
"Formica neogagates",-111.68831,35.91194,"US",895365253
"Formica neogagates",-112.14728,36.05567,"US",876323665
"Formica neogagates",-109.15394,36.80894,"US",876323622
"Formica neogagates",-111.70114,35.92392,"US",876323837
"Formica neogagates",-82.52,41.95,"CA",924845896
"Formica neogagates",-82.51,41.93,"CA",924845873
"Formica neogagates",-118.41997,39.29047,"US",892873633
"Formica neogagates",-71.18795,42.40203,"US",911753814
"Formica neogagates",-109.12497,36.37956,"US",876324164
"Formica neogagates",-70.88642,42.26028,"US",863587504
"Formica neogagates",-106.985,38.9569,"US",919801207
"Formica neogagates",-110.08,50.72,"CA",769294900
"Formica neogagates",-62.523,46.046,"CA",813427271
"Formica neogagates",-110.28469,36.40333,"US",1044053239
"Formica neogagates",-109.12364,36.81697,"US",1044052913
"Formica neogagates",-109.14228,36.79833,"US",1044052910
"Formica neogagates",-107.59,49.18,"CA",924826929
"Formica neogagates",-111.416,50.755,"CA",769294898
"Formica neogagates",-119.18983,47.24857,"US",865425373
"Formica neogagates",-119.67111,47.65639,"US",865425282
"Formica neogagates",-120.03833,41.84833,"US",865119373
"Formica neogagates",-110.467,49.115,"CA",769294776
"Formica neogagates",-70.03943,43.91957,"US",865430347
"Formica neogagates",-108.81683,39.5905,"US",1037146546
"Formica neogagates",-70.87111,42.25978,"US",863587448
"Formica neogagates",-70.87694,42.26389,"US",863587456
"Formica neogagates",-122.457,37.606,"US",865186031
"Formica neogagates",-70.8865,42.26033,"US",863587446
"Formica neogagates",-70.88639,42.26028,"US",863587494
"Formica neogagates",-121.08334,46.66667,"US",865427483
"Formica neogagates",-109.738,34.165,"US",911753765
"Formica neogagates",-120.9,46.7,"US",865418637
"Formica neogagates",-71.36972,42.65611,"US",910640609
"Formica neogagates",-117.53667,47.415,"US",865437439
"Formica neogagates",-117.58333,47.235,"US",865436912
"Formica neogagates",-122.43333,37.68333,"US",865077253
"Formica neogagates",-119.9,47.48333,"US",893126369
"Formica neogagates",-118.83333,37.61667,"US",865076366
"Formica neogagates",-111.825,40.775,"US",1044053277
"Formica neogagates",-119.2305,46.9061,"US",865418990
"Formica neogagates",-104.98944,39.74944,"US",1098712105
"Formica neogagates",-119.98333,47.03333,"US",893126072
"Formica neogagates",-119.1482,37.8463,"US",865419129
"Formica neogagates",-119.7365,46.833,"US",865419087
"Formica neogagates",-120.444,47.7661,"US",893200921
"Formica neogagates",-120.444,47.7805,"US",865419053
"Formica neogagates",-104.327,40.635,"US",1098756503
"Formica neogagates",-108.50274,37.47359,"US",919799863
"Formica neogagates",-105.78207,39.55005,"US",919799889
"Formica neogagates",-114.16933,39.01768,"US",919790420
"Formica neogagates",-104.71447,44.5868,"US",919791450
"Formica neogagates",-107.5,31.43333,"US",919790724
"Formica neogagates",-106.31308,42.86663,"US",919791555
"Formica neogagates",-110.73166,43.76139,"US",919791445
"Formica neogagates",-114.88863,39.24744,"US",919790414
"Formica neogagates",-121.49952,45.68706,"US",919784567
"Formica neogagates",-120.69351,43.88008,"US",919784402
"Formica neogagates",-92.41472,40.75167,"US",436425538
"Formica neogagates",-113.65413,37.13304,"US",919793091
"Formica neogagates",-113.28995,37.17526,"US",919793223
"Formica neogagates",-105.2705,40.015,"US",1101317995
"Formica neogagates",-107.5465,40.5906,"US",1101317999
"Formica neogagates",-85.52002,44.68798,"US",919786567
"Formica neogagates",-113.56842,37.09653,"US",919793273
"Formica neogagates",-105.5911,41.31137,"US",919791542
"Formica neogagates",-105.97472,41.74136,"US",919791553
"Formica neogagates",-113.10639,41.74611,"US",919792993
"Formica neogagates",-112.69526,42.01631,"US",919785803
"Formica neogagates",-111.09804,39.8759,"US",919786639
"Formica neogagates",-112.7097,41.96548,"US",919793034
"Formica neogagates",-114.74204,44.0682,"US",919785742
"Formica neogagates",-109.47818,37.62417,"US",919792976
"Formica neogagates",-112.54247,42.07492,"US",919785731
"Formica neogagates",-109.34289,37.87138,"US",919793082
"Formica neogagates",-113.2036,42.00603,"US",919785805
"Formica neogagates",-111.083,39.9285,"US",919792980
"Formica neogagates",-112.52631,37.04749,"US",919793248
"Formica neogagates",-111.7825,41.74362,"US",919793113
"Formica neogagates",-110.61689,34.38855,"US",919799851
"Formica neogagates",-112.57717,39.35218,"US",919793123
"Formica neogagates",-100.61684,42.63054,"US",919790394
"Formica neogagates",-119.60266,45.99267,"US",919791247
"Formica neogagates",-117.225,44.30673,"US",919784553
"Formica neogagates",-106.9862,39.3317,"US",1098722231
"Formica neogagates",-106.98483,39.33103,"US",919799862
"Formica neogagates",-100.69622,43.75547,"US",919790983
"Formica neogagates",-111.79119,41.62507,"US",919792896
"Formica neogagates",-105.02608,42.50275,"US",919791552
"Formica neogagates",-119.58115,49.7653,"CA",919799868
"Formica neogagates",-93.02342,40.8365,"US",919799881
"Formica neogagates",-105.85018,41.36264,"US",919791446
"Formica neogagates",-107.83527,37.51054,"US",919789617
"Formica neogagates",-105.5893,41.32099,"US",919791428
"Formica neogagates",-104.53715,39.21947,"US",919799859
"Formica neogagates",-107.32478,39.55054,"US",919790265
"Formica neogagates",-92.0962,47.83995,"US",436425541
"Formica neogagates",-77.47581,41.75082,"US",919784566
"Formica neogagates",-108.41861,37.31583,"US",919799849
"Formica neogagates",-63.57407,44.62545,"CA",919799864
"Formica neogagates",-104.49105,36.99955,"US",919790141
"Formica neogagates",-110.36464,43.78467,"US",919791526
"Formica neogagates",-107.89007,37.88944,"US",919785274
"Formica neogagates",-106.87033,40.30304,"US",919790223
"Formica neogagates",-108.54062,38.64798,"US",919789858
"Formica neogagates",-106.87882,38.54189,"US",919785195
"Formica neogagates",-106.86161,38.54387,"US",919789686
"Formica neogagates",-106.85532,38.65583,"US",919789749
"Formica neogagates",-104.3545,40.97563,"US",919785171
"Formica neogagates",-104.95054,38.15501,"US",919790123
"Formica neogagates",-104.65164,38.93845,"US",919789711
"Formica neogagates",-104.70081,39.01305,"US",919790231
"Formica neogagates",-106.28364,40.73164,"US",919785403
"Formica neogagates",-105.26888,38.43111,"US",919790155
"Formica neogagates",-109.17,40.44583,"US",919789939
"Formica neogagates",-108.97147,40.49046,"US",919793065
"Formica neogagates",-106.72586,39.91574,"US",919785361
"Formica neogagates",-110.45204,43.81019,"US",919791510
"Formica neogagates",-104.07528,40.70278,"US",919799870
"Formica neogagates",-102.62075,38.08723,"US",919799886
"Formica neogagates",-105.63669,37.41395,"US",919800389
"Formica neogagates",-103.21438,40.16054,"US",919790347
"Formica neogagates",-105.1911,39.6536,"US",919799882
"Formica neogagates",-104.9597,39.43693,"US",919785372
"Formica neogagates",-104.45941,38.24556,"US",919800395
"Formica neogagates",-105.15943,40.01828,"US",919800375
"Formica neogagates",-105.58382,38.40994,"US",919790222
"Formica neogagates",-106.13113,38.84222,"US",919790330
"Formica neogagates",-107.056,39.64907,"US",919799873
"Formica neogagates",-106.40854,40.35073,"US",919799888
"Formica neogagates",-107.91313,40.03747,"US",919785381
"Formica neogagates",-106.40697,40.59609,"US",919800391
"Formica neogagates",-106.67171,37.81583,"US",919799247
"Formica neogagates",-104.6077,38.99971,"US",919789811
"Formica neogagates",-106.1757,40.05718,"US",919800396
"Formica neogagates",-105.79584,39.02166,"US",919785265
"Formica neogagates",-105.22156,39.97212,"US",919799198
"Formica neogagates",-103.79294,40.25261,"US",919800369
"Formica neogagates",-105.19998,40.63415,"US",919800378
"Formica neogagates",-105.30749,40.00165,"US",919800381
"Formica neogagates",-104.87132,38.87766,"US",919789994
"Formica neogagates",-105.87002,37.46945,"US",919799878
"Formica neogagates",-105.52166,40.37721,"US",919799844
"Formica neogagates",-104.37193,40.16882,"US",919785406
"Formica neogagates",-104.95698,39.85746,"US",919789996
"Formica neogagates",-106.18919,40.32721,"US",919799858
"Formica neogagates",-105.27055,40.01499,"US",919799880
"Formica neogagates",-105.27717,39.99478,"US",919800376
"Formica neogagates",-105.38749,40.06276,"US",919800380
"Formica neogagates",-105.18584,39.79873,"US",919799875
"Formica neogagates",-105.32971,40.00797,"US",919799874
