"species","lon","lat","countryCode","gbifID"
"Formica obscuripes",-124.25418,41.78445,"US",1088916870
"Formica obscuripes",-122.95574,47.05357,"US",1065611658
"Formica obscuripes",-96.96179,46.1075,"US",1098904280
"Formica obscuripes",-123.99029,46.22728,"US",1092898863
"Formica obscuripes",-122.77109,48.1395,"US",899966338
"Formica obscuripes",-123.97115,46.2632,"US",899975283
"Formica obscuripes",-121.67677,42.92118,"US",1024231966
"Formica obscuripes",-101.93287,43.76365,"US",1024183607
"Formica obscuripes",-123.22816,46.83266,"US",1024331326
"Formica obscuripes",-122.8032,48.02045,"US",1052572312
"Formica obscuripes",-112.07761,36.40167,"US",863605105
"Formica obscuripes",-112.09161,36.396,"US",876324092
"Formica obscuripes",-109.47918,40.66378,"US",1044052529
"Formica obscuripes",-109.49303,40.68553,"US",1037149866
"Formica obscuripes",-112.08194,36.4,"US",876323887
"Formica obscuripes",-122.28278,46.89809,"US",891076728
"Formica obscuripes",-121.65289,46.93237,"US",1065572825
"Formica obscuripes",-109.11935,33.89904,"US",872994874
"Formica obscuripes",-111.56133,38.9585,"US",1037149835
"Formica obscuripes",-112.09433,38.26583,"US",1037150559
"Formica obscuripes",-112.12317,38.951,"US",1037149937
"Formica obscuripes",-112.1045,38.9595,"US",1037150363
"Formica obscuripes",-111.3085,39.08717,"US",1037150433
"Formica obscuripes",-106.985,38.9569,"US",919801212
"Formica obscuripes",-110.08,50.72,"CA",769294899
"Formica obscuripes",-107.73,49.25,"CA",1006921081
"Formica obscuripes",-107.73,49.24,"CA",925145937
"Formica obscuripes",-107.52,49.15,"CA",924826943
"Formica obscuripes",-111.94817,38.635,"US",1065709076
"Formica obscuripes",-111.95083,38.64617,"US",1065709068
"Formica obscuripes",-107.51,49.15,"CA",924826924
"Formica obscuripes",-107.62,49.19,"CA",924826897
"Formica obscuripes",-107.68,49.18,"CA",924826953
"Formica obscuripes",-112.44917,38.23367,"US",1037150612
"Formica obscuripes",-112.094,38.2655,"US",1037150066
"Formica obscuripes",-122.831,48.66217,"US",893210254
"Formica obscuripes",-119.18983,47.24857,"US",865426072
"Formica obscuripes",-119.9283,47.1541,"US",865425619
"Formica obscuripes",-119.67111,47.65639,"US",893207761
"Formica obscuripes",-119.93812,47.1528,"US",865425554
"Formica obscuripes",-121.27317,46.89283,"US",893198312
"Formica obscuripes",-121.45353,46.91347,"US",865427432
"Formica obscuripes",-120.22333,41.39167,"US",865119221
"Formica obscuripes",-120.22667,41.4,"US",865119094
"Formica obscuripes",-121.505,41.71833,"US",892873721
"Formica obscuripes",-110.467,49.115,"CA",769294906
"Formica obscuripes",-119.94297,47.13272,"US",865416088
"Formica obscuripes",-122.15965,47.27152,"US",865426733
"Formica obscuripes",-108.04633,38.03183,"US",1037149827
"Formica obscuripes",-101.95,43.75,"US",893207544
"Formica obscuripes",-101.93333,43.68333,"US",865425836
"Formica obscuripes",-106.53817,38.84233,"US",1099997820
"Formica obscuripes",-112.20867,36.42367,"US",1064378739
"Formica obscuripes",-112.12933,36.45883,"US",1020054983
"Formica obscuripes",-121.25,46.95,"US",865442421
"Formica obscuripes",-122.96667,47.06667,"US",865442805
"Formica obscuripes",-123.05,46.9,"US",865442695
"Formica obscuripes",-122.08333,46.36667,"US",893258198
"Formica obscuripes",-122.28333,46.83333,"US",865442551
"Formica obscuripes",-119.35694,47.59217,"US",865390925
"Formica obscuripes",-121.7,45.88333,"US",865415810
"Formica obscuripes",-109.1245,33.90683,"US",1099997621
"Formica obscuripes",-109.32417,33.6415,"US",1064378524
"Formica obscuripes",-109.32633,33.64267,"US",1020054802
"Formica obscuripes",-121.33333,46.95,"US",893205102
"Formica obscuripes",-109.16133,33.9225,"US",1020054757
"Formica obscuripes",-121.75,46.33333,"US",865422777
"Formica obscuripes",-122.43333,46.83333,"US",865415814
"Formica obscuripes",-122.16667,47.58333,"US",893205168
"Formica obscuripes",-121.3,46.96667,"US",893197053
"Formica obscuripes",-123.13333,48.55,"US",865420265
"Formica obscuripes",-118.23333,46.66667,"US",893197129
"Formica obscuripes",-109.34956,34.04278,"US",1063976325
"Formica obscuripes",-109.32608,33.64008,"US",895366233
"Formica obscuripes",-120.85,46.81667,"US",865419128
"Formica obscuripes",-120.56667,46.88333,"US",865414433
"Formica obscuripes",-122.3,46.16667,"US",865437314
"Formica obscuripes",-123.13333,46.98333,"US",865436611
"Formica obscuripes",-121.9,46.73333,"US",865437128
"Formica obscuripes",-117.11167,47.92333,"US",865437553
"Formica obscuripes",-117.53667,47.415,"US",893246401
"Formica obscuripes",-117.11,47.86833,"US",893246525
"Formica obscuripes",-124.06167,46.34667,"US",893246587
"Formica obscuripes",-122.83667,47.03167,"US",865437660
"Formica obscuripes",-123.02,46.82167,"US",865437387
"Formica obscuripes",-124.1,46.88333,"US",865437875
"Formica obscuripes",-119.7,46.5,"US",865435043
"Formica obscuripes",-119.9,47.48333,"US",865344618
"Formica obscuripes",-118.83333,37.61667,"US",865076413
"Formica obscuripes",-121.9,46.03333,"US",865433574
"Formica obscuripes",-119.2305,46.9061,"US",893201088
"Formica obscuripes",-104.98944,39.74944,"US",1101318268
"Formica obscuripes",-120.908,47.1985,"US",893201091
"Formica obscuripes",-122.8209,48.6532,"US",865419043
"Formica obscuripes",-105.2705,40.015,"US",1101318273
"Formica obscuripes",-104.327,40.635,"US",1101318325
"Formica obscuripes",-105.2727,40.0232,"US",1101318335
"Formica obscuripes",-105.78207,39.55005,"US",919799977
"Formica obscuripes",-110.52995,43.88925,"US",919791482
"Formica obscuripes",-101.93599,43.75527,"US",919790951
"Formica obscuripes",-114.33279,46.24488,"US",919783820
"Formica obscuripes",-104.71447,44.5868,"US",919791424
"Formica obscuripes",-106.60629,38.9295,"US",919799980
"Formica obscuripes",-106.17086,35.82753,"US",919790614
"Formica obscuripes",-105.2292,39.9556,"US",1101318274
"Formica obscuripes",-115.567,51.1708,"CA",1098723746
"Formica obscuripes",-115.3759,51.18709,"CA",919799978
"Formica obscuripes",-115.5623,51.16633,"CA",919799982
"Formica obscuripes",-109.69608,43.61545,"US",919791408
"Formica obscuripes",-110.73166,43.76139,"US",919791437
"Formica obscuripes",-110.74466,43.76521,"US",919791476
"Formica obscuripes",-113.8959,45.17576,"US",919785808
"Formica obscuripes",-114.26605,45.01356,"US",919785670
"Formica obscuripes",-114.89605,44.27891,"US",919785718
"Formica obscuripes",-114.59839,45.26793,"US",919785687
"Formica obscuripes",-114.56809,41.07715,"US",919790348
"Formica obscuripes",-118.84552,42.74298,"US",919784446
"Formica obscuripes",-111.50248,40.03038,"US",919793023
"Formica obscuripes",-84.01307,42.45654,"US",919786427
"Formica obscuripes",-111.7825,41.74362,"US",919792959
"Formica obscuripes",-104.77386,40.85225,"US",919799988
"Formica obscuripes",-110.91436,42.62049,"US",919791580
"Formica obscuripes",-111.40551,44.37881,"US",919785766
"Formica obscuripes",-113.10639,41.74611,"US",919793198
