"species","lon","lat","countryCode","gbifID"
"Gambusia nicaraguensis",-81.38617,13.56667,"CO",1054812178
"Gambusia nicaraguensis",-86.53094,16.34686,"HN",666744877
"Gambusia nicaraguensis",-86.48717,16.33519,"HN",666744866
"Gambusia nicaraguensis",-86.56881,16.29469,"HN",666744887
"Gambusia nicaraguensis",-85.9025,16.48125,"HN",666744885
"Gambusia nicaraguensis",-86.43636,16.37011,"HN",666744874
"Gambusia nicaraguensis",-86.47614,16.33897,"HN",666744868
"Gambusia nicaraguensis",-86.62928,16.34519,"HN",666744875
"Gambusia nicaraguensis",-85.90972,16.45833,"HN",666744881
"Gambusia nicaraguensis",-85.91225,16.46006,"HN",666744883
"Gambusia nicaraguensis",-86.53161,16.34869,"HN",666744879
"Gambusia nicaraguensis",-86.55111,16.31367,"HN",666738103
"Gambusia nicaraguensis",-85.87803,16.49936,"HN",666738107
"Gambusia nicaraguensis",-86.54811,16.34264,"HN",666744860
"Gambusia nicaraguensis",-86.57306,16.29081,"HN",666744864
"Gambusia nicaraguensis",-83.73824,11.92571,"NI",148507072
"Gambusia nicaraguensis",-83.73833,10.95467,"NI",148507069
"Gambusia nicaraguensis",-88.13333,16.76667,"BZ",1052627212
"Gambusia nicaraguensis",-87.94164,17.96972,"BZ",891300839
"Gambusia nicaraguensis",-81.73336,12.48632,"CO",1024549932
"Gambusia nicaraguensis",-86.54814,16.34264,"HN",666725174
"Gambusia nicaraguensis",-80.03333,9.08333,"PA",477305384
"Gambusia nicaraguensis",-80.04167,9.09167,"PA",863154600
"Gambusia nicaraguensis",-87.88333,15.45,"HN",1054725669
"Gambusia nicaraguensis",-87.93333,15.05,"HN",1054754650
"Gambusia nicaraguensis",-87.88333,15.85,"HN",1054638730
"Gambusia nicaraguensis",-87.83333,15.88333,"HN",1054630107
"Gambusia nicaraguensis",-84.35,15.48333,"HN",1054685624
"Gambusia nicaraguensis",-88,15.53333,"HN",1054637774
"Gambusia nicaraguensis",-84.1,14.71667,"HN",1054642811
"Gambusia nicaraguensis",-88.01667,15.76667,"HN",1054693105
"Gambusia nicaraguensis",-88,15.76667,"HN",1054751038
"Gambusia nicaraguensis",-84.36667,15.48333,"HN",1054777432
"Gambusia nicaraguensis",-84.33333,15.41667,"HN",1054760241
"Gambusia nicaraguensis",-84.36667,15.55,"HN",1054675407
"Gambusia nicaraguensis",-87.93333,15.83333,"HN",1054741263
"Gambusia nicaraguensis",-87.9,15.41667,"HN",1054700122
"Gambusia nicaraguensis",-87.98333,15.76667,"HN",1054705731
"Gambusia nicaraguensis",-87.96667,15.78333,"HN",1054778499
"Gambusia nicaraguensis",-87.96389,15.79167,"HN",188926341
"Gambusia nicaraguensis",-88,15,"HN",188926342
"Gambusia nicaraguensis",-87.94583,15.80444,"HN",188926343
"Gambusia nicaraguensis",-88.63472,15.72944,"GT",188926338
"Gambusia nicaraguensis",-85.68333,15.95,"HN",1054742839
"Gambusia nicaraguensis",-85.65,15.91667,"HN",1054694020
"Gambusia nicaraguensis",-79,9.40556,"PA",188926337
"Gambusia nicaraguensis",-79.79783,9.17507,"PA",624080003
"Gambusia nicaraguensis",-89.15039,15.59313,"GT",624092016
"Gambusia nicaraguensis",-88.87681,15.73399,"GT",624092003
"Gambusia nicaraguensis",-79.87006,9.40727,"PA",863127196
"Gambusia nicaraguensis",-79.77917,9.12399,"PA",863126680
"Gambusia nicaraguensis",-90.658,16.642,"GT",371408809
"Gambusia nicaraguensis",-79.83696,9.16425,"PA",607708827
"Gambusia nicaraguensis",-88.60463,15.72691,"GT",473169001
"Gambusia nicaraguensis",-79.90622,9.16967,"PA",863146244
"Gambusia nicaraguensis",-86.35,16.38333,"HN",1054660075
"Gambusia nicaraguensis",-88.69167,18.19051,"MX",863112331
"Gambusia nicaraguensis",-79.88886,9.35442,"PA",473152985
