"species","lon","lat","countryCode","gbifID"
"Gambusia yucatana",-87.2473,20.5133,"MX",1135423913
"Gambusia yucatana",-87.922,19.757,"MX",370442788
"Gambusia yucatana",-88.012,19.886,"MX",370442117
"Gambusia yucatana",-88.1,16.83,"BZ",1006133298
"Gambusia yucatana",-88.45,18.57,"MX",1000782249
"Gambusia yucatana",-87.85,18.27,"MX",1000782320
"Gambusia yucatana",-88.17,19.421,"MX",370441572
"Gambusia yucatana",-88.086,19.88,"MX",370445143
"Gambusia yucatana",-88.086,19.872,"MX",370441705
"Gambusia yucatana",-88.076,19.874,"MX",370441623
"Gambusia yucatana",-87.582,20.106,"MX",370441666
"Gambusia yucatana",-88.026,19.506,"MX",370441679
"Gambusia yucatana",-89.615,21.259,"MX",370454056
"Gambusia yucatana",-89.607,21.287,"MX",370462528
"Gambusia yucatana",-89.633,21.279,"MX",370462486
"Gambusia yucatana",-89.635,21.284,"MX",370462542
"Gambusia yucatana",-89.349,21.323,"MX",370462573
"Gambusia yucatana",-89.366,21.329,"MX",370462462
"Gambusia yucatana",-89.315,21.334,"MX",370462437
"Gambusia yucatana",-89.116,21.347,"MX",370462594
"Gambusia yucatana",-89.175,21.345,"MX",370462702
"Gambusia yucatana",-89.178,21.344,"MX",370465100
"Gambusia yucatana",-89.973,21.184,"MX",370465076
"Gambusia yucatana",-90.012,21.165,"MX",370462639
"Gambusia yucatana",-90.048,21.159,"MX",370462614
"Gambusia yucatana",-89.184,21.347,"MX",370465125
"Gambusia yucatana",-89.181,21.343,"MX",370462665
"Gambusia yucatana",-89.11,21.348,"MX",370465148
"Gambusia yucatana",-89.107,21.349,"MX",370465284
"Gambusia yucatana",-89.644,21.276,"MX",370465185
"Gambusia yucatana",-89.644,21.277,"MX",370465325
"Gambusia yucatana",-90.862,16.256,"MX",370380623
"Gambusia yucatana",-90.611,16.446,"MX",370381849
"Gambusia yucatana",-90.471,16.418,"MX",370380696
"Gambusia yucatana",-90.249,21.063,"MX",370438303
"Gambusia yucatana",-89.426,21.319,"MX",370457221
"Gambusia yucatana",-89.108,21.35,"MX",370457286
"Gambusia yucatana",-89.105,21.355,"MX",370458288
"Gambusia yucatana",-89.1,21.353,"MX",370457322
"Gambusia yucatana",-89.547,21.3,"MX",370448081
"Gambusia yucatana",-89.973,21.174,"MX",370461706
"Gambusia yucatana",-90.003,21.158,"MX",370461677
"Gambusia yucatana",-90.203,21.082,"MX",370462352
"Gambusia yucatana",-89.792,21.248,"MX",370461758
"Gambusia yucatana",-89.34,18.499,"MX",667745149
"Gambusia yucatana",-89.952,21.19,"MX",370440793
"Gambusia yucatana",-87.954,19.261,"MX",370422317
"Gambusia yucatana",-88.015,19.47,"MX",370422501
"Gambusia yucatana",-87.952,19.224,"MX",370422592
"Gambusia yucatana",-89.37583,18.805,"MX",46406270
"Gambusia yucatana",-89.376,18.805,"MX",145102283
"Gambusia yucatana",-89.255,18.489,"MX",667744921
"Gambusia yucatana",-92.954,18.349,"MX",240517708
"Gambusia yucatana",-92.91444,18.30111,"MX",46404710
"Gambusia yucatana",-92.914,18.301,"MX",240517716
"Gambusia yucatana",-92.996,18.326,"MX",240517705
"Gambusia yucatana",-92.824,18.242,"MX",145102504
"Gambusia yucatana",-92.99611,18.32556,"MX",46404702
"Gambusia yucatana",-92.848,18.246,"MX",145102505
"Gambusia yucatana",-92.82445,18.2425,"MX",46404712
"Gambusia yucatana",-92.95361,18.34917,"MX",46404706
"Gambusia yucatana",-92.84805,18.24611,"MX",46404714
"Gambusia yucatana",-93.949,17.773,"MX",240517729
"Gambusia yucatana",-93.94861,17.77278,"MX",46404752
"Gambusia yucatana",-94.082,18.068,"MX",240517703
"Gambusia yucatana",-94.08222,18.06833,"MX",46404726
"Gambusia yucatana",-94.08,18.01694,"MX",46404731
"Gambusia yucatana",-94.08,18.017,"MX",240517706
"Gambusia yucatana",-94.088,17.866,"MX",145102517
"Gambusia yucatana",-94.0875,17.86639,"MX",46404758
"Gambusia yucatana",-94.093,18.14,"MX",240517661
"Gambusia yucatana",-94.09333,18.13972,"MX",46404621
"Gambusia yucatana",-93.093,18.016,"MX",240517621
"Gambusia yucatana",-93.088,18.012,"MX",240517622
"Gambusia yucatana",-93.162,17.894,"MX",240517630
"Gambusia yucatana",-93.09333,18.01583,"MX",46404488
"Gambusia yucatana",-93.19195,17.88972,"MX",46404505
"Gambusia yucatana",-94.015,18.191,"MX",240517616
