"species","lon","lat","countryCode","gbifID"
"Gehyra variegata",131.06397,-25.35143,"AU",1088904976
"Gehyra variegata",142.67343,-34.1765700326938,"AU",1070896334
"Gehyra variegata",142.80035,-34.2944200328568,"AU",1070896595
"Gehyra variegata",141.1583,-33.3991800315906,"AU",1071423980
"Gehyra variegata",141.15831,-33.3991700315906,"AU",1070807445
"Gehyra variegata",142.016,-29.433,"AU",482957469
"Gehyra variegata",141.43609,-31.9973600294929,"AU",1070835573
"Gehyra variegata",141.32803,-33.1976000312971,"AU",1071324824
"Gehyra variegata",141.3316,-33.2312200313462,"AU",1071324889
"Gehyra variegata",133.23933,-24.55417,"AU",1085956951
"Gehyra variegata",114.66922,-28.62419,"AU",890184059
"Gehyra variegata",143.41759,-34.4941100331304,"AU",1071330331
"Gehyra variegata",117.70133,-29.22865,"AU",890184060
"Gehyra variegata",114.68328,-27.83439,"AU",890184062
"Gehyra variegata",114.63239,-27.88467,"AU",890184069
"Gehyra variegata",148.56432,-32.2776200299223,"AU",1070904405
"Gehyra variegata",142.3333,-32.4667,"AU",790119027
"Gehyra variegata",121.28224,-31.01263,"AU",774860180
"Gehyra variegata",122.37018,-23.58358,"AU",774860182
"Gehyra variegata",122.04058,-28.7291,"AU",774860193
"Gehyra variegata",132.0972,-30.76794,"AU",728021844
"Gehyra variegata",148.79889,-30.5194400271618,"AU",1070806385
"Gehyra variegata",132.09118,-30.83157,"AU",728015636
"Gehyra variegata",132.09116,-30.83157,"AU",691158403
"Gehyra variegata",132.09721,-30.76804,"AU",691158989
"Gehyra variegata",137.52554,-31.23166,"AU",691159121
"Gehyra variegata",141.15478,-32.4305100301545,"AU",1070893928
"Gehyra variegata",142.48423,-33.4155500316143,"AU",1069657593
"Gehyra variegata",147.47486,-30.3646700269121,"AU",1070828591
"Gehyra variegata",145.8247,-31.4262700286046,"AU",1070834481
"Gehyra variegata",149.328,-29.2830100251459,"AU",1070832679
"Gehyra variegata",149.32826,-29.2875100251533,"AU",1070832484
"Gehyra variegata",135.09277,-32.16055,"AU",774844198
"Gehyra variegata",149.88937,-32.1582300297399,"AU",1070466908
"Gehyra variegata",141.5421,-31.9138400293641,"AU",1070826337
"Gehyra variegata",135.09055,-32.18888,"AU",774844140
"Gehyra variegata",133.14277,-24.57082,"AU",691153982
"Gehyra variegata",133.12277,-24.57332,"AU",691154038
"Gehyra variegata",133.41749,-22.80611,"AU",691154104
"Gehyra variegata",133.95083,-23.73971,"AU",691154071
"Gehyra variegata",134.00972,-23.75,"AU",691154112
"Gehyra variegata",133.633,-23.9836,"AU",691153934
"Gehyra variegata",133.74166,-21.64555,"AU",691154099
"Gehyra variegata",134.26444,-20.56721,"AU",691153797
"Gehyra variegata",145.75179,-33.3363600314995,"AU",1069699496
"Gehyra variegata",150.17142,-30.8332300276651,"AU",1074352294
"Gehyra variegata",150.17057,-30.7840000275863,"AU",1074352838
"Gehyra variegata",138.0575,-30.00527,"AU",691154702
"Gehyra variegata",138.05055,-30.01111,"AU",691154649
"Gehyra variegata",132.29483,-24.62045,"AU",736212721
"Gehyra variegata",140.85305,-26.15222,"AU",691156106
"Gehyra variegata",139.36472,-30.20611,"AU",691156193
"Gehyra variegata",138.61528,-32.00354,"AU",728039963
