"species","lon","lat","countryCode","gbifID"
"Halozetes belgicae",-58,-62,"AQ",147221808
"Halozetes belgicae",-28.15,-56.67,"GS",147222598
"Halozetes belgicae",-59.9167,-64.5,"AQ",147222664
"Halozetes belgicae",-45.65,-60.7167,"AQ",147221561
"Halozetes belgicae",-27.16,-56.71,"GS",147222676
"Halozetes belgicae",-27.1,-59.44,"GS",147221523
"Halozetes belgicae",-45.6333,-60.7167,"AQ",147221553
"Halozetes belgicae",-26.5,-57.75,"GS",147221340
"Halozetes belgicae",-44.5,-60.75,"AQ",147222674
"Halozetes belgicae",-58.25,-62.0833,"AQ",147221526
"Halozetes belgicae",-26.68,-57.08,"GS",147222068
"Halozetes belgicae",-64.25,-64.7,"AQ",147222905
"Halozetes belgicae",-57.9167,-62.1167,"AQ",147221626
"Halozetes belgicae",-63.9667,-64.7667,"AQ",147221311
"Halozetes belgicae",-64.0833,-64.7667,"AQ",147222660
"Halozetes belgicae",-70.8333,-64.7667,"AQ",147221314
"Halozetes belgicae",-65,-69.5,"AQ",147221091
"Halozetes belgicae",-26.78,-57.1,"GS",147222190
"Halozetes belgicae",-46.0833,-60.5833,"AQ",147222685
"Halozetes belgicae",-36.5,-54.2833,"GB",147221497
"Halozetes belgicae",-45.5,-60.5833,"AQ",203565247
"Halozetes belgicae",-60.5833,-62.95,"AQ",147221621
"Halozetes belgicae",-54.8333,-61.0333,"AQ",147221625
