"species","lon","lat","countryCode","gbifID"
"Hypomesus nipponensis",140.36173,35.98595,"JP",1024658102
"Hypomesus nipponensis",130.567,31.2167,"JP",380105657
"Hypomesus nipponensis",139.95,40.03,"JP",380184999
"Hypomesus nipponensis",143.33111,46.7475,"RU",1052702574
"Hypomesus nipponensis",143.47056,46.82028,"RU",1052702513
"Hypomesus nipponensis",143.59722,46.79611,"RU",1052702606
"Hypomesus nipponensis",143.59778,46.79611,"RU",1052706346
"Hypomesus nipponensis",143.50722,46.71472,"RU",1052702627
"Hypomesus nipponensis",143.12028,46.6275,"RU",1052689890
"Hypomesus nipponensis",145.63972,43.91722,"RU",1052689541
"Hypomesus nipponensis",147.65861,45.08722,"RU",1052628334
"Hypomesus nipponensis",147.66,45.08278,"RU",1052689476
"Hypomesus nipponensis",147.66167,45.08167,"RU",1052689449
"Hypomesus nipponensis",147.2019,44.72944,"RU",1052689499
"Hypomesus nipponensis",147.73722,44.98778,"RU",1052627812
"Hypomesus nipponensis",147.73556,44.98056,"RU",1052628010
"Hypomesus nipponensis",145.93278,43.44556,"RU",1052627960
"Hypomesus nipponensis",146.11139,43.49361,"RU",1052696589
"Hypomesus nipponensis",147.72056,45.0175,"RU",1052627847
"Hypomesus nipponensis",145.82333,44.05278,"RU",1052628115
"Hypomesus nipponensis",145.8261,44.055,"RU",1052628095
"Hypomesus nipponensis",146.11861,43.49278,"RU",1052627940
"Hypomesus nipponensis",145.82556,44.05583,"RU",1052628169
"Hypomesus nipponensis",145.94306,43.4475,"RU",1052627966
"Hypomesus nipponensis",145.8206,44.05417,"RU",1052628108
"Hypomesus nipponensis",145.73917,44.05278,"RU",1052627854
"Hypomesus nipponensis",134.821,35.6164,"JP",43760293
"Hypomesus nipponensis",134.81,35.6294,"JP",43760283
"Hypomesus nipponensis",134.807,35.5926,"JP",43759922
"Hypomesus nipponensis",134.792,35.482,"JP",43760263
"Hypomesus nipponensis",134.832,35.544,"JP",43760210
"Hypomesus nipponensis",134.817,35.5026,"JP",43760228
"Hypomesus nipponensis",145.74,44.04667,"RU",1052705958
"Hypomesus nipponensis",135.92,35.1704,"JP",43757076
"Hypomesus nipponensis",136.225,35.4799,"JP",43757056
"Hypomesus nipponensis",135.93333,35.11667,"JP",891284914
"Hypomesus nipponensis",139.95,39.9,"JP",380185099
"Hypomesus nipponensis",135.648,34.7354,"JP",43760540
"Hypomesus nipponensis",131.059,34.2782,"JP",415434919
"Hypomesus nipponensis",139.671,35.2045,"JP",415434905
"Hypomesus nipponensis",140.68333,41.96667,"JP",891257337
"Hypomesus nipponensis",144.27054,43.6027,"JP",863132755
"Hypomesus nipponensis",140.80057,40.86252,"JP",863116454
"Hypomesus nipponensis",140.09,39.96,"JP",380184820
"Hypomesus nipponensis",145.5167,43.7333,"RU",81657
