"species","lon","lat","countryCode","gbifID"
"Iguana iguana",-106.51489,23.27975,"MX",1065592964
"Iguana iguana",-105.53467,20.4432,"MX",1065605488
"Iguana iguana",-103.33364,20.69932,"MX",1065614526
"Iguana iguana",-82.24056,9.34056,"PA",1065600947
"Iguana iguana",-105.5128,20.46272,"MX",1098894712
"Iguana iguana",-79.9,-2.16667,"EC",1092905272
"Iguana iguana",-105.55714,20.49217,"MX",1098894713
"Iguana iguana",-105.49144,20.406,"MX",1065605497
"Iguana iguana",-71.48722,5.93411,"CO",1090384070
"Iguana iguana",-71.53115,6.01973,"CO",1090384092
"Iguana iguana",-92.92343,17.94153,"MX",1065613523
"Iguana iguana",-71.52877,5.99913,"CO",1090384077
"Iguana iguana",-71.4568,5.93294,"CO",1090384109
"Iguana iguana",-71.4872,5.93367,"CO",1090384125
"Iguana iguana",-71.48124,5.91224,"CO",1090384133
"Iguana iguana",-106.49033,23.31218,"MX",1065612500
"Iguana iguana",-84.14437,9.38401,"CR",1092905947
"Iguana iguana",-84.02203,10.42327,"CR",1092904336
"Iguana iguana",-92.8129,17.93826,"MX",1088910521
"Iguana iguana",-105.40906,20.52569,"MX",1088926049
"Iguana iguana",-105.55296,20.52855,"MX",1099957897
"Iguana iguana",-84.66064,9.8065,"CR",1099958860
"Iguana iguana",-105.52277,20.42827,"MX",1088909737
"Iguana iguana",-105.42319,20.42594,"MX",1088935320
"Iguana iguana",-88.38852,18.5427,"MX",1088916444
"Iguana iguana",-83.26667,9.18333,"CR",1099959276
"Iguana iguana",-84.46452,10.47336,"CR",1088954839
"Iguana iguana",-105.53537,20.5559,"MX",1088947456
"Iguana iguana",-72.4976,7.89177,"CO",1088971596
"Iguana iguana",-105.46747,20.44626,"MX",1092899916
"Iguana iguana",-93.17293,16.74075,"MX",1122958365
"Iguana iguana",-81.2755,19.35712,"KY",1088973400
"Iguana iguana",-105.59559,20.5402,"MX",1135523363
"Iguana iguana",-92.97794,17.99491,"MX",1132401804
"Iguana iguana",-95.06534,16.50716,"MX",1135215468
"Iguana iguana",-106.58749,23.32156,"MX",1098902002
"Iguana iguana",-105.46133,20.43519,"MX",1098917349
"Iguana iguana",-105.4905,20.48804,"MX",1098915559
"Iguana iguana",-105.41805,20.42707,"MX",1098915555
"Iguana iguana",-105.41873,20.47459,"MX",1098915552
"Iguana iguana",-105.30658,20.76692,"MX",1098901811
"Iguana iguana",-95.16671,16.52202,"MX",1098916408
"Iguana iguana",-79.86644,-2.13084,"EC",1135347836
"Iguana iguana",-94.57469,18.17976,"MX",1132409941
"Iguana iguana",-105.34457,20.65622,"MX",1132419403
"Iguana iguana",-104.22164,19.02753,"MX",1135351319
"Iguana iguana",-72.46127,7.82794,"CO",1132417829
"Iguana iguana",-96.0366,15.69224,"MX",1134966804
"Iguana iguana",-106.58566,23.29314,"MX",1135354922
"Iguana iguana",-105.51605,20.42084,"MX",1134971831
"Iguana iguana",-105.58952,20.41401,"MX",1134971835
