"species","lon","lat","countryCode","gbifID"
"Lampropholis delicata",150.96845,-34.1956200327202,"AU",1071929398
"Lampropholis delicata",150.82768,-34.3925800329917,"AU",1071929260
"Lampropholis delicata",150.82355,-34.3897400329878,"AU",1071929395
"Lampropholis delicata",150.85659,-34.2046900327328,"AU",1071929886
"Lampropholis delicata",150.79974,-34.4104300330161,"AU",1071929303
"Lampropholis delicata",150.71777,-34.4561000330786,"AU",1071481937
"Lampropholis delicata",151.41502,-33.159310031241,"AU",1071407473
"Lampropholis delicata",151.85766,-32.8072700307206,"AU",1071324071
"Lampropholis delicata",150.2643,-33.6600800319661,"AU",1071378065
"Lampropholis delicata",151.07895,-33.9801700324196,"AU",1071411323
"Lampropholis delicata",153.33805,-29.4415100254068,"AU",1071464249
"Lampropholis delicata",151.37806,-32.2683300299081,"AU",1071389998
"Lampropholis delicata",151.6272,-32.9167000308833,"AU",1071337803
"Lampropholis delicata",150.45213,-35.3463000342581,"AU",1071432487
"Lampropholis delicata",151.36516,-32.638400030468,"AU",1071356602
"Lampropholis delicata",151.5917,-33.1755800312648,"AU",1071398849
"Lampropholis delicata",148.505,-36.2957900354328,"AU",1071927643
"Lampropholis delicata",150.70043,-33.7206100320524,"AU",1071378120
"Lampropholis delicata",150.85544,-33.9720800324082,"AU",1070765262
"Lampropholis delicata",150.85559,-33.971930032408,"AU",1070765257
"Lampropholis delicata",150.57146,-35.149800034004,"AU",1071414103
"Lampropholis delicata",151.42546,-33.283130031422,"AU",1071398302
"Lampropholis delicata",152.05499,-32.7649000306574,"AU",1071407437
"Lampropholis delicata",152.89361,-31.4553700286503,"AU",1071407570
"Lampropholis delicata",149.89061,-36.93886,"AU",911494111
"Lampropholis delicata",151.12774,-33.7632800321132,"AU",1071373226
"Lampropholis delicata",149.89156,-36.93844,"AU",911494054
"Lampropholis delicata",153.43768,-28.27139002347,"AU",1071356791
"Lampropholis delicata",150.93971,-33.5833300318561,"AU",1071324714
"Lampropholis delicata",151.31579,-32.9129400308777,"AU",1071358085
"Lampropholis delicata",151.60168,-32.9251100308957,"AU",1071407319
"Lampropholis delicata",150.97157,-34.1957000327203,"AU",1071371150
"Lampropholis delicata",150.57917,-30.2130700266668,"AU",1071367153
"Lampropholis delicata",150.61286,-30.4958200271237,"AU",1071367247
"Lampropholis delicata",150.72673,-33.4321800316384,"AU",1071431644
"Lampropholis delicata",150.72448,-33.4307800316364,"AU",1071431636
"Lampropholis delicata",151.32209,-33.6246300319154,"none",1071481838
"Lampropholis delicata",153.49501,-28.2901200235011,"AU",1071377200
"Lampropholis delicata",150.87946,-33.6989000320215,"AU",1071373383
"Lampropholis delicata",150.87782,-32.95501003094,"AU",1071431669
"Lampropholis delicata",150.87591,-34.2296000327673,"AU",1071928409
"Lampropholis delicata",150.87455,-32.9513600309346,"AU",1071431657
"Lampropholis delicata",150.85323,-34.6185900332992,"AU",1071928183
"Lampropholis delicata",150.91033,-34.3200500328921,"AU",1071476053
"Lampropholis delicata",150.85599,-34.6226600333047,"AU",1071928039
"Lampropholis delicata",150.89455,-34.2686900328213,"AU",1071462553
"Lampropholis delicata",152.77931,-29.768600025943,"AU",1071423828
"Lampropholis delicata",152.80624,-29.7884300259755,"AU",1071423622
"Lampropholis delicata",150.56599,-34.4385600330546,"AU",1071928885
"Lampropholis delicata",150.5923,-34.1963300327212,"AU",1071456050
"Lampropholis delicata",150.698,-33.7016200320254,"AU",1071425801
"Lampropholis delicata",151.21161,-33.4505400316649,"AU",1071464498
"Lampropholis delicata",150.15937,-33.367050031544,"AU",1069653770
"Lampropholis delicata",151.86219,-32.7639000306559,"AU",1070854676
"Lampropholis delicata",150.15568,-33.4020100315947,"AU",1071413193
"Lampropholis delicata",149.2537,-33.7924500321546,"AU",1069648022
"Lampropholis delicata",149.26465,-33.8138200321849,"AU",1069647726
"Lampropholis delicata",152.38289,-30.7828600275845,"AU",1070846811
"Lampropholis delicata",150.17631,-33.3513000315212,"AU",1069653598
"Lampropholis delicata",151.66829,-32.9228600308924,"AU",1070854672
"Lampropholis delicata",150.50202,-34.0778100325563,"AU",1071320810
"Lampropholis delicata",151.54097,-33.2267200313397,"AU",1070829853
"Lampropholis delicata",150.55741,-33.6831800319991,"AU",1070858245
"Lampropholis delicata",151.2326,-33.7507100320953,"AU",1071397471
"Lampropholis delicata",151.17361,-34.0219200324781,"AU",1070377544
"Lampropholis delicata",151.16884,-34.0083100324591,"AU",1070377508
"Lampropholis delicata",150.19996,-35.7410000347574,"AU",1070835508
"Lampropholis delicata",150.47088,-34.8099200335559,"AU",1069657600
"Lampropholis delicata",151.15655,-34.0209300324767,"AU",1070377558
"Lampropholis delicata",151.1732,-34.0072100324575,"AU",1070377760
"Lampropholis delicata",151.21271,-33.6975000320195,"AU",1071310161
"Lampropholis delicata",151.46194,-33.2373100313551,"AU",1071320763
"Lampropholis delicata",150.16718,-33.3666300315434,"AU",1069655007
"Lampropholis delicata",150.88008,-33.7157600320455,"AU",1070919364
"Lampropholis delicata",151.16396,-34.0091800324603,"AU",1070377805
"Lampropholis delicata",152.89492,-31.4325100286144,"AU",1070846978
"Lampropholis delicata",151.15523,-34.0140300324671,"AU",1070467131
"Lampropholis delicata",151.52906,-33.2955500314401,"AU",1069608172
"Lampropholis delicata",151.53901,-33.3018700314493,"AU",1069673018
"Lampropholis delicata",151.54817,-33.2941600314381,"AU",1069607492
"Lampropholis delicata",151.23499,-33.7520200320972,"AU",1071396402
"Lampropholis delicata",150.17025,-33.3303500314907,"AU",1069655651
"Lampropholis delicata",150.11791,-35.5128600344707,"AU",1070804500
"Lampropholis delicata",150.08325,-35.4862000344368,"AU",1070804382
"Lampropholis delicata",151.03062,-33.7018200320257,"AU",1070918169
"Lampropholis delicata",151.5459,-33.2916200314344,"AU",1069607651
"Lampropholis delicata",151.54819,-33.2885700314299,"AU",1069608251
"Lampropholis delicata",150.09681,-35.5116300344691,"AU",1070804417
"Lampropholis delicata",151.55005,-33.2924500314356,"AU",1069672395
"Lampropholis delicata",150.09334,-35.5039100344593,"AU",1074453582
"Lampropholis delicata",150.17648,-33.3460900315136,"AU",1069655809
"Lampropholis delicata",151.55035,-33.2970500314423,"AU",1069672729
"Lampropholis delicata",150.92847,-33.5984500318778,"AU",1070919531
"Lampropholis delicata",149.95247,-35.5513000345193,"AU",1070836150
"Lampropholis delicata",150.74263,-33.8783000322761,"AU",1070890500
"Lampropholis delicata",153.36987,-29.1774400249719,"AU",1071332768
"Lampropholis delicata",150.42162,-35.2854000341798,"AU",1070836291
"Lampropholis delicata",150.0714,-36.3781300355303,"AU",1070836419
"Lampropholis delicata",150.94365,-33.6070200318901,"AU",1070858393
"Lampropholis delicata",153.00847,-31.0909900280754,"AU",1070916238
"Lampropholis delicata",151.23484,-32.6436600304759,"AU",1071464400
"Lampropholis delicata",152.89606,-31.401730028566,"AU",1070847401
"Lampropholis delicata",150.99551,-34.1950600327194,"AU",1070870503
"Lampropholis delicata",151.33749,-32.7161000305844,"AU",1070854727
"Lampropholis delicata",151.21998,-33.6797100319941,"AU",1070859032
"Lampropholis delicata",150.04926,-36.0761100351692,"AU",1070836298
"Lampropholis delicata",151.32636,-33.600620031881,"none",1071310198
"Lampropholis delicata",151.00973,-33.6732900319849,"AU",1070918801
"Lampropholis delicata",151.32625,-33.600620031881,"none",1071310184
"Lampropholis delicata",150.99933,-33.9865800324286,"AU",1070380325
"Lampropholis delicata",150.53101,-33.7073600320336,"AU",1070858493
"Lampropholis delicata",150.04512,-33.1051000311614,"AU",1071412966
"Lampropholis delicata",151.88709,-32.7368800306155,"AU",1071413451
"Lampropholis delicata",150.84784,-33.7482600320918,"AU",1071321213
"Lampropholis delicata",149.08336,-35.26458,"AU",891165408
"Lampropholis delicata",150.81898,-33.7958000321593,"AU",1070923555
"Lampropholis delicata",152.72679,-31.6268400289185,"AU",1070915724
"Lampropholis delicata",150.80594,-33.7636400321137,"AU",1071390021
"Lampropholis delicata",150.87339,-33.6879600320059,"AU",1070918368
"Lampropholis delicata",150.58974,-34.1931600327168,"AU",1071322553
"Lampropholis delicata",150.04836,-33.3493800315184,"AU",1071413373
"Lampropholis delicata",150.93534,-33.6657000319741,"AU",1071321378
"Lampropholis delicata",150.76882,-33.7180500320488,"AU",1071322803
"Lampropholis delicata",153.20654,-27.93,"AU",891749085
"Lampropholis delicata",151.24942,-33.6803800319951,"AU",1071390351
"Lampropholis delicata",150.57542,-34.8812200336508,"AU",1071323026
"Lampropholis delicata",151.13639,-33.7783400321346,"AU",1071390119
"Lampropholis delicata",151.58122,-33.1447500312197,"AU",1071321546
"Lampropholis delicata",150.3518,-35.2891200341846,"AU",1071323114
"Lampropholis delicata",151.45908,-32.8054500307179,"AU",1071343496
"Lampropholis delicata",151.68342,-33.0020600310096,"AU",1071413470
"Lampropholis delicata",150.96563,-33.6639300319716,"AU",1070923463
"Lampropholis delicata",150.69964,-34.2345900327742,"AU",1071323225
"Lampropholis delicata",150.81047,-33.6346900319298,"AU",1071378161
"Lampropholis delicata",152.72627,-31.6188600289061,"AU",1070916561
"Lampropholis delicata",151.6584,-32.9744000309687,"AU",1071335983
"Lampropholis delicata",152.72735,-31.6081300288893,"AU",1070916372
"Lampropholis delicata",150.81036,-33.6344500319294,"AU",1070888176
"Lampropholis delicata",151.59,-32.9480000309297,"AU",1071340843
"Lampropholis delicata",150.72807,-34.1060800325957,"AU",1070884836
"Lampropholis delicata",151.69171,-32.9231800308929,"AU",1070923542
"Lampropholis delicata",152.36291,-31.8662100292905,"AU",1070915963
"Lampropholis delicata",151.0203,-33.6882500320063,"AU",1071321723
"Lampropholis delicata",151.29632,-33.4154700316142,"AU",1071464389
"Lampropholis delicata",150.7073,-33.939210032362,"AU",1070923381
"Lampropholis delicata",150.67535,-32.3775000300742,"AU",1071357885
"Lampropholis delicata",149.3,-33.466,"AU",1100451115
"Lampropholis delicata",149.41807,-35.713460034723,"AU",1071355428
"Lampropholis delicata",151.21134,-34.0116800324638,"AU",1071372262
"Lampropholis delicata",151.14701,-33.7008300320243,"AU",1071321790
"Lampropholis delicata",151.41139,-33.3320900314933,"AU",1070837220
"Lampropholis delicata",151.28928,-33.2312700313463,"AU",1070837381
"Lampropholis delicata",151.06557,-33.8399400322219,"AU",1070915127
"Lampropholis delicata",151.07288,-33.8415600322242,"AU",1070915079
"Lampropholis delicata",150.13047,-33.3668600315438,"AU",1069652631
"Lampropholis delicata",150.20437,-33.3907200315784,"AU",1069654121
"Lampropholis delicata",151.40066,-32.86438,"AU",774859585
"Lampropholis delicata",151.01059,-33.8762900322733,"AU",1070888904
"Lampropholis delicata",151.53265,-32.9779300309739,"AU",1070789689
"Lampropholis delicata",151.03701,-33.7951100321584,"AU",1070889026
"Lampropholis delicata",150.21176,-33.4080800316035,"AU",1069652013
"Lampropholis delicata",151.53447,-32.9859400309858,"AU",1070789710
"Lampropholis delicata",151.48972,-33.1758400312652,"AU",1071639626
"Lampropholis delicata",151.07419,-33.8379900322191,"AU",1070915275
"Lampropholis delicata",151.06001,-33.8264200322027,"AU",1070915312
"Lampropholis delicata",150.59908,-34.3235000328969,"AU",1074453023
"Lampropholis delicata",150.61089,-34.3248200328987,"AU",1074453003
"Lampropholis delicata",151.06241,-33.8359300322162,"AU",1070915298
"Lampropholis delicata",150.65205,-34.9093600336881,"AU",1070850325
"Lampropholis delicata",151.52741,-32.8681700308112,"AU",1070787898
"Lampropholis delicata",151.52463,-32.868020030811,"AU",1070787983
"Lampropholis delicata",150.36053,-33.3123600314646,"AU",1070467096
"Lampropholis delicata",151.56007,-33.2846800314243,"AU",1071641391
"Lampropholis delicata",152.98447,-27.53385,"AU",478653196
"Lampropholis delicata",150.83242,-34.08048003256,"AU",1070837644
"Lampropholis delicata",150.35296,-33.3196500314752,"AU",1070467083
"Lampropholis delicata",150.51281,-34.4591200330827,"AU",1074452906
"Lampropholis delicata",149.72892,-32.1901300297887,"AU",1069642280
"Lampropholis delicata",151.47849,-33.1972500312966,"AU",1071641341
"Lampropholis delicata",150.58126,-34.5545900332125,"AU",1074452836
"Lampropholis delicata",150.57294,-34.5368900331885,"AU",1074453020
"Lampropholis delicata",150.5812,-34.5554900332138,"AU",1074452858
"Lampropholis delicata",150.64383,-34.5290500331779,"AU",1074453042
