"species","lon","lat","countryCode","gbifID"
"Lampropholis guichenoti",150.39553,-33.6986900320212,"AU",1071424731
"Lampropholis guichenoti",149.41807,-35.713460034723,"AU",1071355426
"Lampropholis guichenoti",153.5157,-28.7474200242606,"AU",1071464313
"Lampropholis guichenoti",150.45213,-35.3463000342581,"AU",1071432475
"Lampropholis guichenoti",150.84596,-33.9649800323982,"AU",1070765283
"Lampropholis guichenoti",150.84593,-33.9655600323991,"AU",1070765373
"Lampropholis guichenoti",150.84032,-33.9736600324104,"AU",1070765387
"Lampropholis guichenoti",148.5209,-36.2925400354289,"AU",1071927667
"Lampropholis guichenoti",150.83996,-33.9744400324115,"AU",1070765298
"Lampropholis guichenoti",150.84537,-33.9743900324115,"AU",1070765337
"Lampropholis guichenoti",148.49022,-36.3126500354528,"AU",1071927805
"Lampropholis guichenoti",150.85559,-33.971930032408,"AU",1070765388
"Lampropholis guichenoti",148.5197,-36.2923800354287,"AU",1071927492
"Lampropholis guichenoti",150.96997,-33.6284700319209,"AU",1071425390
"Lampropholis guichenoti",148.51687,-36.2897900354257,"AU",1071927302
"Lampropholis guichenoti",148.51788,-36.2893300354251,"AU",1071927479
"Lampropholis guichenoti",150.84534,-33.9744100324115,"AU",1070765371
"Lampropholis guichenoti",153.52858,-28.1984000233485,"AU",1071464274
"Lampropholis guichenoti",150.85544,-33.9720800324082,"AU",1070765395
"Lampropholis guichenoti",150.57431,-35.0514100338754,"AU",1071462373
"Lampropholis guichenoti",151.02676,-33.8296100322073,"AU",1071468950
"Lampropholis guichenoti",150.68409,-33.6654700319738,"AU",1071425594
"Lampropholis guichenoti",153.14431,-27.52404,"AU",1038290006
"Lampropholis guichenoti",150.72291,-34.7626500334928,"AU",1071462516
"Lampropholis guichenoti",150.87455,-32.9513600309346,"AU",1071431650
"Lampropholis guichenoti",150.88678,-34.6019600332767,"AU",1071928913
"Lampropholis guichenoti",150.86168,-34.594080033266,"AU",1071928389
"Lampropholis guichenoti",150.77309,-34.7469000334717,"AU",1071463002
"Lampropholis guichenoti",150.5923,-34.1963300327212,"AU",1071456052
"Lampropholis guichenoti",148.36885,-35.8848600349356,"AU",1071929686
"Lampropholis guichenoti",148.36522,-35.8881600349396,"AU",1071929838
"Lampropholis guichenoti",148.36654,-35.8852600349361,"AU",1071929621
"Lampropholis guichenoti",148.366,-35.8866100349377,"AU",1071929733
"Lampropholis guichenoti",148.36891,-35.8843600349349,"AU",1071929847
"Lampropholis guichenoti",150.56053,-34.4627400330876,"AU",1071929468
"Lampropholis guichenoti",150.50202,-34.0778100325563,"AU",1071320785
"Lampropholis guichenoti",150.22295,-33.4279000316322,"AU",1069654027
"Lampropholis guichenoti",151.19009,-33.8375000322184,"AU",1070864968
"Lampropholis guichenoti",151.19447,-33.8388000322203,"AU",1070865042
"Lampropholis guichenoti",151.20415,-33.8452400322294,"AU",1070865128
"Lampropholis guichenoti",150.15568,-33.4020100315947,"AU",1071413198
"Lampropholis guichenoti",150.36832,-35.0594200338859,"AU",1074453352
"Lampropholis guichenoti",150.13293,-33.3715200315505,"AU",1069653951
"Lampropholis guichenoti",151.19224,-33.8367200322173,"AU",1070864970
"Lampropholis guichenoti",150.17648,-33.3460900315136,"AU",1069653558
"Lampropholis guichenoti",151.16326,-34.0003800324479,"AU",1070377843
"Lampropholis guichenoti",148.36359,-35.9498200350153,"AU",1071925708
"Lampropholis guichenoti",150.47088,-34.8099200335559,"AU",1069657657
"Lampropholis guichenoti",148.36234,-35.9613900350295,"AU",1071925557
"Lampropholis guichenoti",148.36061,-35.9499400350155,"AU",1071925653
"Lampropholis guichenoti",150.55741,-33.6831800319991,"AU",1070858247
"Lampropholis guichenoti",148.38061,-35.9670600350364,"AU",1071925786
"Lampropholis guichenoti",150.15937,-33.367050031544,"AU",1069655063
"Lampropholis guichenoti",148.36214,-35.9606700350286,"AU",1071925597
"Lampropholis guichenoti",150.14967,-33.3625500315375,"AU",1069654355
"Lampropholis guichenoti",148.38021,-35.9666800350359,"AU",1071925824
"Lampropholis guichenoti",151.19268,-33.832210032211,"AU",1070865103
"Lampropholis guichenoti",150.17631,-33.3513000315212,"AU",1069655812
"Lampropholis guichenoti",151.53901,-33.3018700314493,"AU",1069672993
"Lampropholis guichenoti",150.17025,-33.3303500314907,"AU",1069655738
"Lampropholis guichenoti",148.45022,-36.0006100350774,"AU",1071926059
"Lampropholis guichenoti",151.19752,-33.8376700322187,"AU",1070865400
"Lampropholis guichenoti",148.45011,-36.0016300350786,"AU",1071926058
"Lampropholis guichenoti",151.29997,-33.6878200320057,"AU",1070871210
"Lampropholis guichenoti",150.92847,-33.5984500318778,"AU",1070919549
"Lampropholis guichenoti",149.95247,-35.5513000345193,"AU",1070836147
"Lampropholis guichenoti",150.70156,-33.7361800320746,"AU",1070869684
"Lampropholis guichenoti",150.53101,-33.7073600320336,"AU",1070858496
"Lampropholis guichenoti",150.99551,-34.1950600327194,"AU",1070870506
"Lampropholis guichenoti",150.42162,-35.2854000341798,"AU",1070836288
"Lampropholis guichenoti",150.94365,-33.6070200318901,"AU",1070858395
"Lampropholis guichenoti",150.84784,-33.7482600320918,"AU",1071321243
"Lampropholis guichenoti",150.87339,-33.6879600320059,"AU",1070918371
"Lampropholis guichenoti",150.57542,-34.8812200336508,"AU",1071322993
"Lampropholis guichenoti",150.3518,-35.2891200341846,"AU",1071323068
"Lampropholis guichenoti",148.6209,-36.1362500352418,"AU",1071926291
"Lampropholis guichenoti",148.61106,-36.163770035275,"AU",1071926526
"Lampropholis guichenoti",151.3382,-31.0534300280158,"AU",1071330335
"Lampropholis guichenoti",148.61709,-36.1650500352765,"AU",1071926503
"Lampropholis guichenoti",151.43238,-33.3204700314764,"AU",1071378510
"Lampropholis guichenoti",148.62031,-36.1381300352441,"AU",1071926310
"Lampropholis guichenoti",150.73735,-34.0904400325739,"AU",1070884956
"Lampropholis guichenoti",148.61646,-36.1591600352694,"AU",1071926393
"Lampropholis guichenoti",148.61956,-36.1376100352435,"AU",1071926242
"Lampropholis guichenoti",149.40971,-35.7117600347209,"AU",1071355361
"Lampropholis guichenoti",150.66972,-33.8048900321722,"AU",1071322095
"Lampropholis guichenoti",153.52268,-28.7188800242133,"AU",1071464273
"Lampropholis guichenoti",148.30883,-36.3027900354411,"AU",1071925064
"Lampropholis guichenoti",151.01573,-33.8543000322422,"AU",1070888978
"Lampropholis guichenoti",148.30786,-36.3039900354426,"AU",1071925121
"Lampropholis guichenoti",148.30791,-36.2990500354367,"AU",1071924956
"Lampropholis guichenoti",148.3077,-36.3008600354388,"AU",1071925019
"Lampropholis guichenoti",151.19612,-33.8437400322273,"AU",1070866192
"Lampropholis guichenoti",151.05507,-33.7945300321575,"AU",1070889337
"Lampropholis guichenoti",151.01283,-33.8658800322586,"AU",1070888915
"Lampropholis guichenoti",148.30937,-36.3037100354422,"AU",1071925110
"Lampropholis guichenoti",150.605,-34.3242100328978,"AU",1074452809
"Lampropholis guichenoti",151.07419,-33.8379900322191,"AU",1070915278
"Lampropholis guichenoti",150.61089,-34.3248200328987,"AU",1074452968
"Lampropholis guichenoti",150.80577,-33.8527900322401,"AU",1070837454
"Lampropholis guichenoti",151.0398,-33.792720032155,"AU",1070889118
"Lampropholis guichenoti",150.83242,-34.08048003256,"AU",1070837650
"Lampropholis guichenoti",150.51536,-34.4470600330662,"AU",1074453026
"Lampropholis guichenoti",150.97064,-33.7860300321455,"AU",1070888265
"Lampropholis guichenoti",150.96286,-33.7748800321297,"AU",1070888388
"Lampropholis guichenoti",151.56007,-33.2846800314243,"AU",1071641384
"Lampropholis guichenoti",150.96506,-33.7711500321243,"AU",1070888250
"Lampropholis guichenoti",150.59047,-34.5589800332185,"AU",1074453052
"Lampropholis guichenoti",138.62935,-35.01486,"AU",891146648
"Lampropholis guichenoti",150.58126,-34.5545900332125,"AU",1074452884
"Lampropholis guichenoti",145.00851,-37.80342,"AU",891076332
"Lampropholis guichenoti",150.5812,-34.5554900332138,"AU",1074452919
"Lampropholis guichenoti",150.59023,-34.5245400331718,"AU",1074452892
"Lampropholis guichenoti",150.57294,-34.5368900331885,"AU",1074453037
"Lampropholis guichenoti",150.21172,-33.3774800315592,"AU",1069648624
"Lampropholis guichenoti",150.59459,-34.5286200331773,"AU",1074452844
"Lampropholis guichenoti",152.94316,-29.7054000258396,"AU",1071411055
"Lampropholis guichenoti",150.74171,-34.0689300325439,"AU",1070837670
"Lampropholis guichenoti",150.28001,-33.4423300316531,"AU",1069648349
"Lampropholis guichenoti",151.29337,-33.7650100321156,"AU",1071310221
"Lampropholis guichenoti",150.93184,-33.7243200320577,"AU",1071310175
