"species","lon","lat","countryCode","gbifID"
"Laternula elliptica",-58.6333,-62.2333,"AQ",684010607
"Laternula elliptica",170.47694,-71.30972,"AQ",683950322
"Laternula elliptica",-58.8415,-62.1276,"AQ",684011138
"Laternula elliptica",-58.35,-62.0066,"AQ",684010856
"Laternula elliptica",-58.7333,-62.25,"AQ",684010629
"Laternula elliptica",164.1161,-74.7119,"AQ",889165737
"Laternula elliptica",165.5,-74.22,"AQ",889165743
"Laternula elliptica",-58.383,-62.0833,"AQ",684011199
"Laternula elliptica",-60,-62,"AQ",1099494773
"Laternula elliptica",-64.2,-65.2333,"AQ",888846506
"Laternula elliptica",-78.216,-68.6,"AQ",1100885869
"Laternula elliptica",-78.133,-68.633,"AQ",1100885904
"Laternula elliptica",-64.05,-64.77,"AQ",887808311
"Laternula elliptica",-26.375,-57.7867,"GS",888925760
"Laternula elliptica",-26.37,-57.7867,"GS",888925696
"Laternula elliptica",-37.345,-53.9583,"GS",888922662
"Laternula elliptica",-64.08,-64.78,"AQ",888850023
"Laternula elliptica",-64.05,-64.775,"AQ",887808323
"Laternula elliptica",-64.07,-64.77,"AQ",887808511
"Laternula elliptica",-64.0681,-64.7689,"AQ",888825359
"Laternula elliptica",-64.08,-64.7739,"AQ",889277996
"Laternula elliptica",-64.0683,-64.775,"AQ",889277546
"Laternula elliptica",-64.08389,-64.77681,"AQ",888824424
"Laternula elliptica",-64.0736,-64.7733,"AQ",888827334
"Laternula elliptica",63.48194,-64.84375,"AQ",888833281
"Laternula elliptica",-64.06444,-64.78125,"AQ",888830633
"Laternula elliptica",-60.6983,-62.9733,"AQ",888799985
"Laternula elliptica",-60.80833,-62.92833,"AQ",888797187
"Laternula elliptica",-64.1217,-64.76,"AQ",889275978
"Laternula elliptica",-64.12,-64.78,"AQ",888893156
"Laternula elliptica",-64.085,-64.77667,"AQ",686216154
"Laternula elliptica",-64.07167,-64.77217,"AQ",686216155
"Laternula elliptica",-64.07333,-64.77,"AQ",686214597
"Laternula elliptica",-64.0783,-64.7739,"AQ",888796459
"Laternula elliptica",63.4883,-64.82,"AQ",888778603
"Laternula elliptica",-64.0806,-64.7772,"AQ",888793443
"Laternula elliptica",-57.9733,-62.1067,"AQ",888793044
"Laternula elliptica",-64.07,-64.7733,"AQ",888793721
"Laternula elliptica",-58.57667,-62.295,"AQ",888792690
"Laternula elliptica",-58.3767,-62.0833,"AQ",888793031
