"species","lon","lat","countryCode","gbifID"
"Lerista neander",119.583,-24.716,"AU",482117156
"Lerista neander",119.516,-24.85,"AU",1100513553
"Lerista neander",119.28333,-23.08333,"AU",691792240
"Lerista neander",118.68611,-23.91,"AU",692223946
"Lerista neander",119.76667,-23.43333,"AU",691762008
"Lerista neander",120.31667,-23.41278,"AU",691783544
"Lerista neander",119.73278,-23.36667,"AU",691872016
"Lerista neander",120.05778,-23.33667,"AU",691945130
"Lerista neander",119.69667,-23.3375,"AU",691855104
"Lerista neander",120.04778,-23.33306,"AU",691887208
"Lerista neander",118.66667,-24.45389,"AU",692223933
"Lerista neander",119.20889,-22.91444,"AU",691932496
"Lerista neander",119.66667,-24.08333,"AU",692201598
"Lerista neander",118.56667,-23.86667,"AU",691767100
"Lerista neander",118.58333,-24.55,"AU",691767111
"Lerista neander",119.18444,-22.93111,"AU",691932442
"Lerista neander",118.825,-23.20833,"AU",692132553
"Lerista neander",119.16667,-22.97917,"AU",691801152
"Lerista neander",119.01667,-22.91667,"AU",691837405
"Lerista neander",119.51389,-23.13389,"AU",691918154
"Lerista neander",118.40444,-25.61917,"AU",691952879
"Lerista neander",119.26556,-23.14583,"AU",691932433
"Lerista neander",118.10167,-23.28389,"AU",691958000
"Lerista neander",119.53333,-23.28333,"AU",691996645
"Lerista neander",119.41667,-24.88333,"AU",692228102
"Lerista neander",120.31694,-23.41278,"AU",691783355
"Lerista neander",119.61667,-24.65,"AU",692197979
"Lerista neander",119.66667,-24.15,"AU",692177297
"Lerista neander",118.83861,-23.09778,"AU",691867107
"Lerista neander",118.79167,-23.18472,"AU",692132640
"Lerista neander",119.78333,-23.43333,"AU",692176673
"Lerista neander",118.53333,-24.65,"AU",691767133
"Lerista neander",117.78333,-23.325,"AU",692221444
"Lerista neander",119.21667,-22.91667,"AU",691816237
"Lerista neander",119.41667,-23.11667,"AU",692201614
"Lerista neander",119.48333,-23.18333,"AU",692228127
"Lerista neander",120.6425,-23.8825,"AU",691755889
"Lerista neander",118.23333,-24.23333,"AU",691767139
"Lerista neander",119.46667,-22.83333,"AU",691789372
"Lerista neander",120.50333,-23.87944,"AU",691858385
"Lerista neander",118.81528,-23.20222,"AU",691920998
"Lerista neander",118.41889,-25.66139,"AU",691952876
"Lerista neander",119.63667,-23.38528,"AU",691855036
"Lerista neander",119.64028,-23.37528,"AU",691855034
"Lerista neander",118.66667,-23.25,"AU",691838515
"Lerista neander",120.03333,-23.31667,"AU",691825005
"Lerista neander",120.05861,-23.33833,"AU",691945139
"Lerista neander",120.60417,-23.89778,"AU",691755922
"Lerista neander",118.66667,-24.62056,"AU",692223939
