"species","lon","lat","countryCode","gbifID"
"Lerista orientalis",131.1604,-13.91317,"AU",1085956748
"Lerista orientalis",134.145,-14.199,"AU",1085956779
"Lerista orientalis",137.52801,-16.53401,"AU",691250966
"Lerista orientalis",136.9811,-15.7439,"none",692488725
"Lerista orientalis",136.7854,-15.6025,"AU",692488891
"Lerista orientalis",136.59179,-15.5895,"AU",736201275
"Lerista orientalis",136.9801,-15.7477,"none",692488375
"Lerista orientalis",136.7849,-15.6013,"AU",692488853
"Lerista orientalis",136.7863,-15.5773,"AU",692488285
"Lerista orientalis",136.5966,-15.5804,"AU",692488164
"Lerista orientalis",134.27611,-14.17811,"AU",691258752
"Lerista orientalis",136.5917,-15.5895,"AU",692488187
"Lerista orientalis",136.845,-14.2617,"AU",692486304
"Lerista orientalis",136.7558,-14.2167,"AU",692487012
"Lerista orientalis",136.86607,-14.22372,"AU",736201061
"Lerista orientalis",136.866,-14.2237,"AU",692486951
"Lerista orientalis",136.75589,-14.21677,"AU",736201078
"Lerista orientalis",138.11444,-17.52278,"AU",1066592096
"Lerista orientalis",131.4544,-13.7046,"AU",484547868
"Lerista orientalis",131.45,-13.7129,"AU",484547799
"Lerista orientalis",136.14337,-13.39,"AU",1085956604
"Lerista orientalis",136.13921,-13.38683,"AU",1085956642
"Lerista orientalis",132.1622,-13.0421,"AU",484482187
"Lerista orientalis",131.1406,-13.7869,"AU",484544259
"Lerista orientalis",131.0901,-13.7577,"AU",484544494
"Lerista orientalis",131.4465,-13.6218,"AU",484547429
"Lerista orientalis",136.77117,-12.16667,"AU",1085955389
"Lerista orientalis",131.2373,-13.6641,"AU",484546461
"Lerista orientalis",134.40059,-14.10614,"AU",480567006
"Lerista orientalis",135.75833,-16.79514,"AU",1066588227
"Lerista orientalis",138.46833,-17.71528,"AU",1066587120
"Lerista orientalis",136.08694,-16.32472,"AU",1066588442
"Lerista orientalis",135.80111,-16.62972,"AU",1066588632
"Lerista orientalis",139.00694,-18.02417,"AU",1066588198
"Lerista orientalis",135.72722,-16.68361,"AU",1066587696
"Lerista orientalis",138.68417,-18.98861,"AU",1066588251
"Lerista orientalis",132.1985,-14.635,"AU",484389527
"Lerista orientalis",131.1842,-13.7902,"AU",484388747
"Lerista orientalis",131.1854,-13.7888,"AU",484544760
"Lerista orientalis",130.2208,-15.8972,"AU",484311316
"Lerista orientalis",132.5493,-12.8446,"AU",484878512
"Lerista orientalis",134.367,-14.7,"AU",1085949588
"Lerista orientalis",133.09709,-14.8220800045799,"AU",484144250
"Lerista orientalis",133.0979,-14.832,"AU",485127048
"Lerista orientalis",133.097,-14.822,"AU",485127158
"Lerista orientalis",133.1074,-14.7845,"AU",485127417
"Lerista orientalis",133.09799,-14.83208,"AU",736265550
"Lerista orientalis",133.0948,-14.8288,"AU",485127820
"Lerista orientalis",133.0996,-14.813,"AU",485127276
"Lerista orientalis",134.2786,-14.6024,"AU",485123344
"Lerista orientalis",134.235,-14.634,"AU",1085949442
"Lerista orientalis",134.2477,-14.6279,"AU",485124022
"Lerista orientalis",134.24778,-14.62797,"AU",736265422
"Lerista orientalis",134.2372,-14.6306,"AU",485124242
"Lerista orientalis",131.18428,-13.7903000037021,"AU",479568990
"Lerista orientalis",130.74509,-13.25158,"AU",483960890
"Lerista orientalis",130.8566,-13.4929,"AU",485004574
"Lerista orientalis",130.8339,-13.5213,"AU",485005827
"Lerista orientalis",131.9621,-14.55748,"AU",481382509
"Lerista orientalis",132.30117,-13.19859,"AU",482637247
"Lerista orientalis",132.8601,-13.9616,"AU",484872499
"Lerista orientalis",132.8629,-13.9667,"AU",484873220
"Lerista orientalis",130.83399,-13.5213800034902,"AU",483923258
"Lerista orientalis",131.93331,-16.4671700061904,"AU",484246404
"Lerista orientalis",131.171,-14.5771800043622,"AU",481482187
"Lerista orientalis",133.317,-14.283,"AU",1085949599
"Lerista orientalis",131.7251,-15.0933800048277,"AU",484101705
"Lerista orientalis",131.26279,-13.84268,"AU",484099747
"Lerista orientalis",130.74039,-13.2702800032986,"AU",484000217
"Lerista orientalis",132.86019,-13.96168,"AU",482826320
"Lerista orientalis",132.79201,-16.43277,"AU",484166240
"Lerista orientalis",132.86299,-13.96678,"AU",482827019
"Lerista orientalis",134.23728,-14.6306700044093,"AU",484142204
"Lerista orientalis",132.1985,-14.6351,"AU",479569868
"Lerista orientalis",134.27868,-14.6024700043845,"AU",484141857
"Lerista orientalis",133.4643,-16.6260600063595,"AU",484164044
"Lerista orientalis",131.5338,-14.36968,"AU",481525648
"Lerista orientalis",133.1259,-14.3108,"AU",484332830
"Lerista orientalis",133.14219,-14.9365700046836,"AU",481619988
"Lerista orientalis",132.17488,-13.2103900032538,"AU",482272151
"Lerista orientalis",132.7874,-13.8704,"AU",484910425
"Lerista orientalis",132.78749,-13.8704800037666,"AU",483023378
"Lerista orientalis",133.37741,-16.91706,"AU",484088221
"Lerista orientalis",133.09489,-14.828880004586,"AU",484144897
"Lerista orientalis",132.1622,-13.0421000031298,"AU",479682943
"Lerista orientalis",134.32279,-16.5015500062268,"AU",483535283
"Lerista orientalis",132.2678,-14.7593800045236,"AU",481395627
"Lerista orientalis",132.54119,-13.7785800036927,"AU",482734036
"Lerista orientalis",133.10749,-14.7845800045462,"AU",484144489
"Lerista orientalis",132.763,-15.399,"AU",1085949567
"Lerista orientalis",132.7633,-15.3993,"AU",485166288
"Lerista orientalis",132.5493,-12.8446300029877,"AU",482854987
"Lerista orientalis",131.9406,-14.5513800043397,"AU",481380689
"Lerista orientalis",132.24792,-17.29587,"AU",484154849
"Lerista orientalis",130.69119,-13.2152800032575,"AU",483993897
"Lerista orientalis",132.0172,-14.5846800043688,"AU",481372866
"Lerista orientalis",131.39539,-14.180480004022,"AU",481417593
"Lerista orientalis",131.62757,-12.5219800027636,"AU",484072069
"Lerista orientalis",132.76331,-15.3993700051157,"AU",484179290
"Lerista orientalis",132.9,-16.533,"AU",1085949543
"Lerista orientalis",132.8361,-16.4623,"AU",485152516
"Lerista orientalis",132.8183,-16.4489,"AU",485152773
"Lerista orientalis",135.33367,-15.7774500054839,"AU",483616507
"Lerista orientalis",131.63237,-12.521180002763,"AU",484071899
"Lerista orientalis",133.0449,-16.5088,"AU",485155310
"Lerista orientalis",132.83611,-16.46237,"AU",484165749
