"species","lon","lat","countryCode","gbifID"
"Liocarcinus marmoreus",-4.19009,53.35365,"GB",806615895
"Liocarcinus marmoreus",-4.19645,53.33105,"GB",806614821
"Liocarcinus marmoreus",-4.21309,53.33344,"GB",806616682
"Liocarcinus marmoreus",-4.16566,53.31633,"GB",806613153
"Liocarcinus marmoreus",-3.91076,53.32428,"GB",806618241
"Liocarcinus marmoreus",-4.10296,53.32375,"GB",806614995
"Liocarcinus marmoreus",-3.9119,53.31617,"GB",806619320
"Liocarcinus marmoreus",-3.90326,53.3244,"GB",806618322
"Liocarcinus marmoreus",-5.09354,55.54394,"GB",806055415
"Liocarcinus marmoreus",-6.48402,57.05537,"GB",806062203
"Liocarcinus marmoreus",-5.78289,57.04257,"GB",802927026
"Liocarcinus marmoreus",7.3052,54.6644,"DE",207874090
"Liocarcinus marmoreus",-4.09799,50.31553,"GB",802118238
"Liocarcinus marmoreus",8.57838,53.55751,"DE",164186257
"Liocarcinus marmoreus",7.88759,54.15674,"DE",164186253
"Liocarcinus marmoreus",-7.42841,57.06562,"GB",805944709
"Liocarcinus marmoreus",1.69533,54.61767,"GB",911982763
"Liocarcinus marmoreus",1.64333,54.99333,"GB",911982773
"Liocarcinus marmoreus",-6.45038,56.69136,"GB",803457326
"Liocarcinus marmoreus",-6.43894,56.70526,"GB",803454482
"Liocarcinus marmoreus",1.92157,54.60373,"GB",346488179
"Liocarcinus marmoreus",1.70017,54.6185,"GB",911982793
"Liocarcinus marmoreus",2.00872,54.75872,"GB",911982776
"Liocarcinus marmoreus",1.45042,54.80015,"GB",346488178
"Liocarcinus marmoreus",-3.81565,50.02074,"GB",297814000
"Liocarcinus marmoreus",-3.86839,49.94074,"GB",297814135
"Liocarcinus marmoreus",-3.55504,49.94896,"GB",297802150
"Liocarcinus marmoreus",-3.10588,50.11962,"GB",297803131
"Liocarcinus marmoreus",-3.26682,50.17465,"GB",297810271
"Liocarcinus marmoreus",-4.40406,51.16955,"GB",297780539
"Liocarcinus marmoreus",-3.39239,50.15792,"GB",297812967
"Liocarcinus marmoreus",-6.28253,52.03294,"IE",297796861
"Liocarcinus marmoreus",-3.445,49.86,"GB",324315804
"Liocarcinus marmoreus",-3.19845,50.24103,"GB",297809777
"Liocarcinus marmoreus",-3.40833,49.72,"GB",324315512
"Liocarcinus marmoreus",-3.61075,50.03096,"GB",297813621
"Liocarcinus marmoreus",-3.96333,49.845,"GB",324315863
"Liocarcinus marmoreus",-3.44222,50.04577,"GB",297802454
"Liocarcinus marmoreus",-3.75816,49.89928,"GB",297801856
"Liocarcinus marmoreus",-3.52857,50.12562,"GB",297813165
"Liocarcinus marmoreus",-3.06594,50.21084,"GB",297806610
"Liocarcinus marmoreus",-3.7634,50.08091,"GB",297813836
"Liocarcinus marmoreus",-3.15571,50.03908,"GB",297802724
"Liocarcinus marmoreus",-5.00147,58.62684,"GB",803448906
"Liocarcinus marmoreus",1.88845,54.60475,"GB",911982553
"Liocarcinus marmoreus",1.6988,54.61823,"GB",911982724
"Liocarcinus marmoreus",-3.07993,50.14775,"GB",297852641
"Liocarcinus marmoreus",-3.76616,50.07997,"GB",297856577
"Liocarcinus marmoreus",-3.11023,50.06561,"GB",297852748
"Liocarcinus marmoreus",-7.9228,49.872,"GB",324303407
"Liocarcinus marmoreus",-6.2867,47.434,"FR",324302883
"Liocarcinus marmoreus",-3.53724,50.09042,"GB",297844615
"Liocarcinus marmoreus",-3.86408,49.93721,"GB",297856299
"Liocarcinus marmoreus",-3.4441,50.01516,"GB",297844997
"Liocarcinus marmoreus",-1.19667,49.555,"FR",324319587
"Liocarcinus marmoreus",-3.41256,50.12979,"GB",297845383
"Liocarcinus marmoreus",-3.67511,50.03454,"GB",297856432
"Liocarcinus marmoreus",-8.5418,48.5358,"GB",324302969
"Liocarcinus marmoreus",-3.06021,50.2055,"GB",297851396
"Liocarcinus marmoreus",-3.45617,49.6885,"GB",324322812
"Liocarcinus marmoreus",-3.26271,50.17829,"GB",297852455
"Liocarcinus marmoreus",-3.19567,50.24196,"GB",297852128
"Liocarcinus marmoreus",-4.48975,52.22097,"GB",806736794
"Liocarcinus marmoreus",-5.3043,51.69092,"GB",806563038
"Liocarcinus marmoreus",-4.23655,51.52095,"GB",806739666
"Liocarcinus marmoreus",-4.32989,51.51373,"GB",806738917
"Liocarcinus marmoreus",-6.3475,48.493,"FR",324301588
"Liocarcinus marmoreus",-5.31507,51.75898,"GB",806721834
"Liocarcinus marmoreus",-5.12151,51.83175,"GB",806720775
"Liocarcinus marmoreus",1.575,53.833,"GB",447495110
"Liocarcinus marmoreus",0.294,53.954,"GB",447492112
"Liocarcinus marmoreus",0.948,53.438,"GB",447501085
"Liocarcinus marmoreus",2.676,52.315,"GB",447501079
"Liocarcinus marmoreus",2.434,52.584,"GB",447501082
"Liocarcinus marmoreus",2.147,53.586,"GB",447501084
"Liocarcinus marmoreus",-6.7188,48.0018,"FR",324303788
"Liocarcinus marmoreus",-7.1732,49.1425,"GB",324304581
"Liocarcinus marmoreus",-4.24172,52.76011,"GB",806463978
"Liocarcinus marmoreus",-6.34762,55.71091,"GB",802597733
"Liocarcinus marmoreus",-6.34078,55.70665,"GB",802598381
"Liocarcinus marmoreus",-6.34376,55.73353,"GB",802599117
"Liocarcinus marmoreus",1.7041,54.61938,"GB",911982753
"Liocarcinus marmoreus",1.44503,54.80457,"GB",911982745
"Liocarcinus marmoreus",1.91963,54.60517,"GB",911982783
"Liocarcinus marmoreus",1.73333,54.75682,"GB",911982757
"Liocarcinus marmoreus",0.07,49.61333,"FR",324306527
"Liocarcinus marmoreus",-6.28063,52.0446,"IE",297773246
"Liocarcinus marmoreus",-4.47175,51.04401,"GB",297752891
"Liocarcinus marmoreus",-0.36167,49.58833,"FR",324306873
"Liocarcinus marmoreus",-0.54907,50.42615,"GB",297739521
"Liocarcinus marmoreus",-4.53774,51.5445,"GB",297751077
"Liocarcinus marmoreus",-4.34218,51.04937,"GB",297752988
"Liocarcinus marmoreus",1.25284,50.10899,"GB",297730941
"Liocarcinus marmoreus",-1.06,49.565,"FR",324307227
"Liocarcinus marmoreus",-1.19833,49.55833,"FR",324307172
"Liocarcinus marmoreus",-4.33444,51.12239,"GB",297753091
"Liocarcinus marmoreus",-1.18433,50.23595,"GB",297730797
"Liocarcinus marmoreus",-4.4292,51.5378,"GB",297750886
"Liocarcinus marmoreus",1.24441,50.04625,"GB",297731308
"Liocarcinus marmoreus",-6.17001,56.91964,"GB",802499972
"Liocarcinus marmoreus",-6.10729,56.93251,"GB",802507805
"Liocarcinus marmoreus",-6.1651,56.9198,"GB",802500232
"Liocarcinus marmoreus",-6.13695,56.94772,"GB",802505419
"Liocarcinus marmoreus",-6.1129,56.93862,"GB",802505936
"Liocarcinus marmoreus",-6.16981,56.91784,"GB",802500125
"Liocarcinus marmoreus",-4.13838,50.33908,"GB",150772500
"Liocarcinus marmoreus",-4.05837,50.30904,"GB",150772502
"Liocarcinus marmoreus",-4.06921,50.29985,"GB",150772501
"Liocarcinus marmoreus",-4.29665,51.08086,"GB",297424056
"Liocarcinus marmoreus",-4.3434,51.15818,"GB",297423901
"Liocarcinus marmoreus",-4.34218,51.58454,"GB",297427131
"Liocarcinus marmoreus",-1.22417,50.3896,"GB",297417135
"Liocarcinus marmoreus",-0.058,49.46,"FR",324276183
"Liocarcinus marmoreus",-6.33842,52.01936,"IE",297440573
"Liocarcinus marmoreus",-1.162,49.538,"FR",324276128
"Liocarcinus marmoreus",-4.84866,51.60302,"GB",297414332
"Liocarcinus marmoreus",1.40956,54.61021,"GB",121843909
"Liocarcinus marmoreus",-2.68056,59.12801,"GB",297228861
"Liocarcinus marmoreus",-2.87092,59.33076,"GB",802014534
"Liocarcinus marmoreus",-2.87108,59.33705,"GB",802014285
"Liocarcinus marmoreus",-2.91308,59.32957,"GB",802013873
"Liocarcinus marmoreus",-2.85693,59.33355,"GB",802014498
"Liocarcinus marmoreus",-2.91847,59.33403,"GB",802014047
"Liocarcinus marmoreus",-2.913,59.32688,"GB",802013921
"Liocarcinus marmoreus",-2.87432,59.32625,"GB",802014703
"Liocarcinus marmoreus",-2.51357,59.29494,"GB",297228859
"Liocarcinus marmoreus",-6.2786,49.96948,"GB",150772497
"Liocarcinus marmoreus",-6.28154,49.97117,"GB",150772498
"Liocarcinus marmoreus",-6.27287,49.9364,"GB",150772496
"Liocarcinus marmoreus",-6.38299,49.87468,"GB",150772499
"Liocarcinus marmoreus",-6.2422,49.96812,"GB",150772495
"Liocarcinus marmoreus",-9.96271,52.26164,"IE",474032778
"Liocarcinus marmoreus",-8.48395,54.9524,"IE",474003704
"Liocarcinus marmoreus",-2.78311,58.95139,"GB",297228868
"Liocarcinus marmoreus",-8.75,54.71107,"IE",474006892
"Liocarcinus marmoreus",-2.77662,58.97209,"GB",297228837
"Liocarcinus marmoreus",-8.749,54.711,"IE",24222879
"Liocarcinus marmoreus",-8.47653,54.97135,"IE",474018689
