"species","lon","lat","countryCode","gbifID"
"Liolaemus alticolor",-69.20583,-18.06056,"CL",910575415
"Liolaemus alticolor",-69.42889,-18.17111,"CL",910575390
"Liolaemus alticolor",-75.75267,-11.41233,"PE",207874118
"Liolaemus alticolor",-75.8455,-11.40683,"PE",207874117
"Liolaemus alticolor",-67.28528,-23.19639,"CL",910575279
"Liolaemus alticolor",-77.34305,-9.88362,"PE",207874120
"Liolaemus alticolor",-77.28945,-10.10805,"PE",442071964
"Liolaemus alticolor",-77.73195,-9.80305,"PE",442071961
"Liolaemus alticolor",-77.34362,-9.88528,"PE",207874121
"Liolaemus alticolor",-77.28862,-10.10833,"PE",442071966
"Liolaemus alticolor",-77.28862,-10.11528,"PE",442071967
"Liolaemus alticolor",-76.81472,-9.83028,"PE",207874114
"Liolaemus alticolor",-76.81695,-9.87528,"PE",207874115
"Liolaemus alticolor",-76.81722,-9.82945,"PE",207874116
"Liolaemus alticolor",-77.22722,-9.88722,"PE",207874122
"Liolaemus alticolor",-77.48583,-9.86805,"PE",207874119
"Liolaemus alticolor",-68.88583,-19.2025,"CL",910573613
"Liolaemus alticolor",-69.18361,-18.2375,"CL",910573616
"Liolaemus alticolor",-65.1667,-23.0333,"AR",686912612
"Liolaemus alticolor",-67.79833,-22.875,"CL",910573351
"Liolaemus alticolor",-67.76861,-22.94056,"CL",910573575
"Liolaemus alticolor",-68.18556,-22.91611,"CL",910572323
"Liolaemus alticolor",-73.57917,-13.77083,"PE",686870027
"Liolaemus alticolor",-74.33333,-13.3,"PE",686870029
"Liolaemus alticolor",-74.01667,-12.81667,"PE",686870036
"Liolaemus alticolor",-71.66667,-13.45,"PE",686870023
"Liolaemus alticolor",-70.03278,-17.47444,"PE",1051192001
"Liolaemus alticolor",-68.7,-16.55,"BO",476507830
"Liolaemus alticolor",-69.94623,-17.39139,"PE",1051192016
"Liolaemus alticolor",-65.6,-22.1,"BO",1051192029
"Liolaemus alticolor",-71.9781,-13.5183,"PE",686840563
"Liolaemus alticolor",-72.1153,-13.3078,"PE",686840560
"Liolaemus alticolor",-71.2261,-14.2694,"PE",686840568
"Liolaemus alticolor",-74.3854178764151,-14.6535488395469,"PE",657352139
"Liolaemus alticolor",-74.03485,-14.60414,"PE",1051145567
"Liolaemus alticolor",-75.90498,-11.72564,"PE",476692193
"Liolaemus alticolor",-75.62436,-11.82014,"PE",476701383
"Liolaemus alticolor",-75.62222,-11.81667,"PE",888484281
"Liolaemus alticolor",-65.59738,-22.10667,"AR",231018949
"Liolaemus alticolor",-74.38544,-14.65345,"PE",476738749
