"species","lon","lat","countryCode","gbifID"
"Liolaemus bellii",-70.43222,-34.06,"CL",910575594
"Liolaemus bellii",-69.98111,-33.85333,"CL",910575049
"Liolaemus bellii",-70.30861,-33.35139,"CL",910574532
"Liolaemus bellii",-70.25,-33.29999,"CL",1051032907
"Liolaemus bellii",-70.05,-33.8,"CL",1051032943
"Liolaemus bellii",-70.3,-33.61667,"CL",1051033240
"Liolaemus bellii",-70.31083,-33.35306,"CL",910572929
"Liolaemus bellii",-70.06472,-33.81694,"CL",910572914
"Liolaemus bellii",-70.97028,-33.91556,"CL",910573341
"Liolaemus bellii",-70.28944,-33.60806,"CL",910572319
"Liolaemus bellii",-70.43917,-34.05694,"CL",910572329
"Liolaemus bellii",-71.21,-41.02,"AR",1051014670
"Liolaemus bellii",-70.30333,-33.34667,"CL",910572009
"Liolaemus bellii",-70.30139,-33.34417,"CL",910572044
"Liolaemus bellii",-70.06194,-33.82083,"CL",910571825
"Liolaemus bellii",-70.1275,-33.66361,"CL",910572132
"Liolaemus bellii",-70.06056,-33.82194,"CL",910571810
"Liolaemus bellii",-70.34,-33.20528,"CL",910571785
"Liolaemus bellii",-70.03,-40.07,"AR",1051014578
"Liolaemus bellii",-70.85,-40.04,"AR",1051014585
"Liolaemus bellii",-70.32,-39.09,"AR",1051014591
"Liolaemus bellii",-71.2,-41.01,"AR",1051014595
"Liolaemus bellii",-70.43278,-33.48167,"CL",910571956
"Liolaemus bellii",-70.43917,-33.50806,"CL",910571895
"Liolaemus bellii",-70.31194,-33.35056,"CL",910572087
"Liolaemus bellii",-73.05,-36.83333,"CL",439750168
"Liolaemus bellii",-69.01,-32.54,"AR",1050967529
"Liolaemus bellii",-68.93,-34.16,"AR",1050967515
"Liolaemus bellii",-69.27,-32.65,"AR",1050954252
"Liolaemus bellii",-70.19,-35.91,"AR",1050954248
"Liolaemus bellii",-70.28333,-33.30764,"CL",1050956473
"Liolaemus bellii",-69.51,-32.21,"AR",1050954221
"Liolaemus bellii",-69.75,-32.87,"AR",1050954249
"Liolaemus bellii",-69.85,-32.85,"AR",1050954247
"Liolaemus bellii",-70.4,-39.05,"AR",1050955560
"Liolaemus bellii",-69,-32.51,"AR",1050954172
"Liolaemus bellii",-69.01,-32.52,"AR",1050954196
