"species","lon","lat","countryCode","gbifID"
"Liolaemus boulengeri",-71.96806,-46.55528,"CL",910574032
"Liolaemus boulengeri",-67.25,-47.0333,"AR",686894158
"Liolaemus boulengeri",-68.8729,-35.04619,"AR",686888725
"Liolaemus boulengeri",-69.51,-34.25,"AR",1050967533
"Liolaemus boulengeri",-64.3,-42.3333,"AR",476788640
"Liolaemus boulengeri",-69.36,-34.51,"AR",1051184683
"Liolaemus boulengeri",-69.8,-34.93,"AR",1051184633
"Liolaemus boulengeri",-71.4,-48.9667,"AR",886914937
"Liolaemus boulengeri",-68.02034,-38.94871,"AR",231019027
"Liolaemus boulengeri",-71.30966,-46.26747,"AR",231019049
"Liolaemus boulengeri",-64.95255,-40.73453,"AR",231019135
"Liolaemus boulengeri",-65.36041,-41.60812,"AR",231019191
"Liolaemus boulengeri",-69.91,-41.36,"AR",1051150019
"Liolaemus boulengeri",-66.90794,-41.55553,"AR",231019208
"Liolaemus boulengeri",-69.19557,-38.93049,"AR",231019111
"Liolaemus boulengeri",-67.88534,-43.99375,"AR",231019114
"Liolaemus boulengeri",-63.9991,-42.5302,"AR",231019000
"Liolaemus boulengeri",-66.98998,-41.3427,"AR",231019005
"Liolaemus boulengeri",-68.02039,-36.36099,"AR",231019145
"Liolaemus boulengeri",-63.76609,-42.07903,"AR",231019186
"Liolaemus boulengeri",-62.23272,-40.55816,"AR",345363566
"Liolaemus boulengeri",-70.36419,-39.04309,"AR",231019121
"Liolaemus boulengeri",-68.66351,-35.02449,"AR",231019180
"Liolaemus boulengeri",-69.72902,-38.54887,"AR",223172850
"Liolaemus boulengeri",-67.34755,-39.78912,"AR",345363569
"Liolaemus boulengeri",-70.27651,-37.37013,"AR",231019177
