"species","lon","lat","countryCode","gbifID"
"Liolaemus cyanogaster",-72.68333,-35.98333,"CL",910575571
"Liolaemus cyanogaster",-73,-37.81667,"CL",910572423
"Liolaemus cyanogaster",-72.6525,-41.44806,"CL",910575185
"Liolaemus cyanogaster",-74.02472,-41.8275,"CL",910575221
"Liolaemus cyanogaster",-71.97389,-39.32972,"CL",910573727
"Liolaemus cyanogaster",-71.5877,-39.70496,"AR",382100102
"Liolaemus cyanogaster",-71.22229,-39.3629,"AR",382099790
"Liolaemus cyanogaster",-71.63097,-40.15624,"AR",382099685
"Liolaemus cyanogaster",-73.72639,-42.42444,"CL",910574673
"Liolaemus cyanogaster",-71.31058,-39.36526,"AR",382100577
"Liolaemus cyanogaster",-71.35,-39.36,"AR",1051024256
"Liolaemus cyanogaster",-71.29763,-39.36741,"AR",382100597
"Liolaemus cyanogaster",-71.3,-39.36,"AR",1051024248
"Liolaemus cyanogaster",-72.03333,-34.58333,"CL",439750193
"Liolaemus cyanogaster",-72.93333,-37.16667,"CL",439750181
"Liolaemus cyanogaster",-73.86528,-41.89,"CL",80028410
"Liolaemus cyanogaster",-72.75,-39.95,"CL",621065719
"Liolaemus cyanogaster",-71.07354,-39.94722,"AR",231019224
