"species","lon","lat","countryCode","gbifID"
"Liolaemus elongatus",-69.37843,-41.59622,"AR",1088917680
"Liolaemus elongatus",-70.40988,-39.02842,"AR",894782710
"Liolaemus elongatus",-70.64833,-34.90389,"CL",910575822
"Liolaemus elongatus",-70.40988,-39.02548,"AR",1099346062
"Liolaemus elongatus",-70.54013,-36.65729,"AR",382100360
"Liolaemus elongatus",-70.8323,-38.66166,"AR",382100370
"Liolaemus elongatus",-70.43222,-34.06,"CL",910575512
"Liolaemus elongatus",-72.00972,-46.83417,"CL",910575193
"Liolaemus elongatus",-70.07963,-37.0743,"AR",382100782
"Liolaemus elongatus",-70.12213,-37.08588,"AR",382100778
"Liolaemus elongatus",-70.03458,-37.33897,"AR",382100783
"Liolaemus elongatus",-69.98341,-37.04197,"AR",382100264
"Liolaemus elongatus",-70.13853,-37.11052,"AR",382100252
"Liolaemus elongatus",-70.09119,-37.08454,"AR",382100260
"Liolaemus elongatus",-71.17585,-41.03175,"AR",382100159
"Liolaemus elongatus",-70.8242,-38.65596,"AR",382100663
"Liolaemus elongatus",-70.66,-38.88,"AR",1051072754
"Liolaemus elongatus",-70.65802,-38.89268,"AR",382100636
"Liolaemus elongatus",-70.08041,-39.00935,"AR",382100899
"Liolaemus elongatus",-70.02093,-41.29138,"AR",382100677
"Liolaemus elongatus",-70.83991,-38.6676,"AR",382100901
"Liolaemus elongatus",-70.66265,-38.89018,"AR",382100773
"Liolaemus elongatus",-70.20712,-38.89231,"AR",382100794
"Liolaemus elongatus",-70.66194,-38.89889,"AR",1051072748
"Liolaemus elongatus",-71.30447,-41.26643,"AR",382100197
"Liolaemus elongatus",-71.4399,-41,"AR",382100156
"Liolaemus elongatus",-71.10204,-37.82007,"AR",382100777
"Liolaemus elongatus",-71.32313,-40.92115,"AR",382100768
"Liolaemus elongatus",-70.96248,-40.75815,"AR",382100344
"Liolaemus elongatus",-71.0638,-37.82624,"AR",382100315
"Liolaemus elongatus",-71.07073,-37.86119,"AR",382100850
"Liolaemus elongatus",-71.09636,-37.82699,"AR",382100207
"Liolaemus elongatus",-71.08576,-37.85521,"AR",382100297
"Liolaemus elongatus",-71.05432,-37.88451,"AR",382100275
"Liolaemus elongatus",-71.02928,-37.85481,"AR",382100222
"Liolaemus elongatus",-71.0506,-37.86811,"AR",382100343
"Liolaemus elongatus",-71.0121,-37.85045,"AR",382100338
"Liolaemus elongatus",-70.95571,-41.08567,"AR",382100201
"Liolaemus elongatus",-70.67898,-41.10241,"AR",382100185
"Liolaemus elongatus",-70.60677,-39.52963,"AR",382101003
"Liolaemus elongatus",-70.69474,-41.48108,"AR",382100670
"Liolaemus elongatus",-70.90835,-41.11394,"AR",382100862
"Liolaemus elongatus",-70.76574,-39.96791,"AR",382100505
"Liolaemus elongatus",-70.96109,-39.37202,"AR",382100602
"Liolaemus elongatus",-71.21204,-41.26979,"AR",382099474
"Liolaemus elongatus",-71.30989,-40.81978,"AR",382099546
"Liolaemus elongatus",-71.25618,-41.30146,"AR",382100129
"Liolaemus elongatus",-71.27202,-40.83542,"AR",382099534
"Liolaemus elongatus",-71.24314,-41.29436,"AR",382100123
"Liolaemus elongatus",-71.27136,-41.29526,"AR",382100122
"Liolaemus elongatus",-71.3271,-40.5005,"AR",382099638
"Liolaemus elongatus",-71.22355,-40.58693,"AR",382099598
"Liolaemus elongatus",-69.48,-32.53,"AR",1051021847
"Liolaemus elongatus",-71.48271,-41.51094,"AR",382099602
"Liolaemus elongatus",-70.87412,-41.21269,"AR",382099482
"Liolaemus elongatus",-71.09108,-40.84547,"AR",382099538
"Liolaemus elongatus",-71.2318,-41.02377,"AR",382099507
"Liolaemus elongatus",-71.17311,-40.82737,"AR",382099560
"Liolaemus elongatus",-71.49295,-41.58588,"AR",382099526
"Liolaemus elongatus",-71.17944,-39.23766,"AR",382099836
"Liolaemus elongatus",-70.95774,-39.0974,"AR",382099861
"Liolaemus elongatus",-71.04557,-39.11649,"AR",382099825
"Liolaemus elongatus",-70.93099,-39.3081,"AR",382099818
"Liolaemus elongatus",-71.33306,-39.94564,"AR",382099698
"Liolaemus elongatus",-70.81771,-39.4021,"AR",382099771
"Liolaemus elongatus",-71.00654,-40.27264,"AR",382099660
"Liolaemus elongatus",-71.37113,-40.14017,"AR",382099955
"Liolaemus elongatus",-71.48775,-41.4332,"AR",382099872
"Liolaemus elongatus",-70.76,-41.59,"AR",1051024272
"Liolaemus elongatus",-71,-41.53,"AR",1051024275
"Liolaemus elongatus",-70.86785,-41.55642,"AR",382100407
"Liolaemus elongatus",-71.03679,-41.49909,"AR",382099616
"Liolaemus elongatus",-70.57,-41.13,"AR",1051024243
"Liolaemus elongatus",-71.04582,-41.31338,"AR",382100795
"Liolaemus elongatus",-71.10466,-40.71561,"AR",382099589
"Liolaemus elongatus",-71.19087,-40.77971,"AR",382099564
"Liolaemus elongatus",-70.67494,-41.56411,"AR",382100414
"Liolaemus elongatus",-71.11,-39.38,"AR",1051024287
"Liolaemus elongatus",-70.9615,-39.57069,"AR",382100537
"Liolaemus elongatus",-71.08993,-39.38144,"AR",382100585
"Liolaemus elongatus",-70.91,-39.62,"AR",1051024283
"Liolaemus elongatus",-70.58,-40,"AR",1051024493
"Liolaemus elongatus",-70.83,-40.21,"AR",1051024278
"Liolaemus elongatus",-71.05864,-40.86611,"AR",382100484
"Liolaemus elongatus",-71.24779,-41.03617,"AR",382100438
"Liolaemus elongatus",-71.21,-41.02,"AR",1051024298
"Liolaemus elongatus",-71.13,-39.09,"AR",1051024290
"Liolaemus elongatus",-70.63,-39.53,"AR",1051024308
"Liolaemus elongatus",-71.17653,-39.2282,"AR",382100613
"Liolaemus elongatus",-70.19,-39.06,"AR",1051024329
"Liolaemus elongatus",-70.73921,-41.49956,"AR",382099756
"Liolaemus elongatus",-70.64203,-39.53556,"AR",382100552
"Liolaemus elongatus",-71.17,-39.12,"AR",1051024301
"Liolaemus elongatus",-70.56543,-41.02334,"AR",382100473
"Liolaemus elongatus",-70.66647,-40.50733,"AR",382100500
"Liolaemus elongatus",-70.39543,-39.06366,"AR",382100620
"Liolaemus elongatus",-70.78,-41.51,"AR",1051024270
"Liolaemus elongatus",-70.42,-40.98,"AR",1051024260
"Liolaemus elongatus",-71.13191,-39.21559,"AR",382100606
"Liolaemus elongatus",-70.69,-40.53,"AR",1051024321
"Liolaemus elongatus",-71.31,-41.26,"AR",1051024292
"Liolaemus elongatus",-71.28601,-41.25794,"AR",382100396
