"species","lon","lat","countryCode","gbifID"
"Liolaemus kingii",-71.4,-49.32638,"AR",686898720
"Liolaemus kingii",-67.99498,-47.66536,"AR",382100119
"Liolaemus kingii",-67.25,-47.0333,"AR",686894167
"Liolaemus kingii",-65.9,-47.75,"AR",1051015792
"Liolaemus kingii",-66.59183,-49.59458,"AR",686888753
"Liolaemus kingii",-67.7167,-49.3,"AR",786277227
"Liolaemus kingii",-70.11889,-51.71667,"AR",910572415
"Liolaemus kingii",-65.89182,-47.74757,"AR",231019317
"Liolaemus kingii",-71.93194,-46.2925,"CL",910575885
"Liolaemus kingii",-69.91,-41.36,"AR",1051149980
"Liolaemus kingii",-64.1333,-42.3833,"AR",476788642
