"species","lon","lat","countryCode","gbifID"
"Liolaemus kriegi",-70.72975,-36.61128,"AR",382102018
"Liolaemus kriegi",-70.8323,-38.66166,"AR",382102001
"Liolaemus kriegi",-71.5,-39.5875,"CL",910575050
"Liolaemus kriegi",-71.17585,-41.03175,"AR",382101900
"Liolaemus kriegi",-70.71309,-38.90857,"AR",382102229
"Liolaemus kriegi",-70.20712,-38.89231,"AR",382102272
"Liolaemus kriegi",-70.71143,-38.90794,"AR",382102226
"Liolaemus kriegi",-70.35886,-38.98784,"AR",382102243
"Liolaemus kriegi",-70.32828,-39.04548,"AR",382102247
"Liolaemus kriegi",-71.30547,-40.92093,"AR",382102115
"Liolaemus kriegi",-71.067,-37.82856,"AR",382102264
"Liolaemus kriegi",-70.40654,-39.00757,"AR",382101781
"Liolaemus kriegi",-70.97444,-40.85717,"AR",382101975
"Liolaemus kriegi",-71.01116,-41.22642,"AR",382101990
"Liolaemus kriegi",-70.93577,-37.82368,"AR",382101939
"Liolaemus kriegi",-71.05432,-37.88451,"AR",382101918
"Liolaemus kriegi",-71.02928,-37.85481,"AR",382101949
"Liolaemus kriegi",-71.07073,-37.86119,"AR",382101912
"Liolaemus kriegi",-71.08576,-37.85521,"AR",382101944
"Liolaemus kriegi",-71.0638,-37.82624,"AR",382101983
"Liolaemus kriegi",-71.01301,-37.85164,"AR",382101985
"Liolaemus kriegi",-70.40952,-41.06014,"AR",382101987
"Liolaemus kriegi",-70.92849,-41.10583,"AR",382101897
"Liolaemus kriegi",-70.69474,-41.48108,"AR",382102236
"Liolaemus kriegi",-70.76,-41.59,"AR",1051072768
"Liolaemus kriegi",-70.67494,-41.56411,"AR",382102072
"Liolaemus kriegi",-71.00653,-39.73624,"AR",382102157
"Liolaemus kriegi",-70.76574,-39.96791,"AR",382102124
"Liolaemus kriegi",-71.31227,-40.83378,"AR",382101221
"Liolaemus kriegi",-71.17006,-40.58366,"AR",382101404
"Liolaemus kriegi",-71.22355,-40.58693,"AR",382101358
"Liolaemus kriegi",-71.17311,-40.82737,"AR",382101274
"Liolaemus kriegi",-70.93099,-39.3081,"AR",382101671
"Liolaemus kriegi",-71.00958,-39.747,"AR",382101790
"Liolaemus kriegi",-71.1288,-39.21153,"AR",382101748
"Liolaemus kriegi",-70.95774,-39.0974,"AR",382101763
"Liolaemus kriegi",-71.37113,-40.14017,"AR",382101520
"Liolaemus kriegi",-71.00654,-40.27264,"AR",382101487
"Liolaemus kriegi",-71.08993,-39.38144,"AR",382102179
"Liolaemus kriegi",-70.53126,-41.02418,"AR",382101169
"Liolaemus kriegi",-70.99665,-39.71074,"AR",382102146
"Liolaemus kriegi",-70.4146,-39.11581,"AR",382102210
"Liolaemus kriegi",-71.13191,-39.21559,"AR",382101679
"Liolaemus kriegi",-70.78,-41.52,"AR",1051024247
"Liolaemus kriegi",-71.2318,-41.02377,"AR",382102087
"Liolaemus kriegi",-71.26,-41.01,"AR",1051014689
"Liolaemus kriegi",-70.36639,-39.07174,"AR",382101771
"Liolaemus kriegi",-70.3833,-39.05,"AR",686867670
"Liolaemus kriegi",-70.66924,-41.45602,"AR",382102438
"Liolaemus kriegi",-70.67883,-41.54546,"AR",382102445
"Liolaemus kriegi",-70.64828,-39.65009,"AR",382102435
"Liolaemus kriegi",-70.53096,-39.29207,"AR",382102446
"Liolaemus kriegi",-70.91269,-38.88577,"AR",382102440
"Liolaemus kriegi",-71.07354,-39.94722,"AR",231019510
