"species","lon","lat","countryCode","gbifID"
"Liolaemus laurenti",-67.32735,-28.5667,"AR",686922674
"Liolaemus laurenti",-68.89145,-33.24401,"AR",686888732
"Liolaemus laurenti",-68.8167,-32.7959,"AR",686888731
"Liolaemus laurenti",-68.3333,-33.87885,"AR",686888729
"Liolaemus laurenti",-67.49331,-30.2333,"AR",686867537
"Liolaemus laurenti",-67.24439,-31.14323,"AR",686867555
"Liolaemus laurenti",-69.31186,-32.84161,"AR",686867573
"Liolaemus laurenti",-67.83684,-30.16147,"AR",686867552
"Liolaemus laurenti",-66.1167,-28.5833,"AR",786342901
"Liolaemus laurenti",-66.0333,-26.6833,"AR",476727827
"Liolaemus laurenti",-69.1833,-32.95,"AR",476701815
"Liolaemus laurenti",-68.96626,-32.88333,"AR",476719249
"Liolaemus laurenti",-68.05482,-30.11029,"AR",476719352
"Liolaemus laurenti",-69.1495,-33.16664,"AR",476719350
"Liolaemus laurenti",-67.81667,-29.8,"AR",476502155
"Liolaemus laurenti",-67.91667,-30.08333,"AR",476722322
"Liolaemus laurenti",-64.8,-30.7333,"AR",476674110
"Liolaemus laurenti",-68.8167,-32.8833,"AR",476661786
"Liolaemus laurenti",-68.61843,-34.7,"AR",476719248
