"species","lon","lat","countryCode","gbifID"
"Liolaemus nigroviridis",-70.44556,-33.42333,"CL",910574882
"Liolaemus nigroviridis",-71.01278,-32.97861,"CL",910574934
"Liolaemus nigroviridis",-71.00667,-32.99278,"CL",910575136
"Liolaemus nigroviridis",-70.30361,-33.35972,"CL",910574986
"Liolaemus nigroviridis",-70.06222,-33.6525,"CL",910575012
"Liolaemus nigroviridis",-70.97028,-33.91556,"CL",910574978
"Liolaemus nigroviridis",-70.28644,-33.36939,"CL",910575929
"Liolaemus nigroviridis",-70.31194,-33.35056,"CL",910575360
"Liolaemus nigroviridis",-70.99611,-33.12694,"CL",910574728
"Liolaemus nigroviridis",-71.12056,-32.95694,"CL",910573950
"Liolaemus nigroviridis",-70.3,-33.61667,"CL",1051033148
"Liolaemus nigroviridis",-70.05,-33.8,"CL",1051033160
"Liolaemus nigroviridis",-70.25,-33.29999,"CL",1051033142
"Liolaemus nigroviridis",-70.3,-33.13333,"CL",1051023210
"Liolaemus nigroviridis",-70.3688236895163,-33.2704027624799,"CL",1051023194
"Liolaemus nigroviridis",-70.3521521775659,-33.2537330012464,"CL",1051023226
"Liolaemus nigroviridis",-70.06889,-33.80556,"CL",910572938
"Liolaemus nigroviridis",-70.31083,-33.35306,"CL",910572792
"Liolaemus nigroviridis",-70.46972,-33.35639,"CL",910572280
"Liolaemus nigroviridis",-70.43917,-34.05694,"CL",910572377
"Liolaemus nigroviridis",-70.05944,-33.82861,"CL",910573552
"Liolaemus nigroviridis",-70.06972,-33.80611,"CL",910571746
"Liolaemus nigroviridis",-70.09167,-33.66083,"CL",910572149
"Liolaemus nigroviridis",-70.07278,-33.8025,"CL",910571767
"Liolaemus nigroviridis",-70.43278,-33.48167,"CL",910571936
"Liolaemus nigroviridis",-70.49056,-33.5,"CL",910572051
"Liolaemus nigroviridis",-70.43917,-33.50806,"CL",910571885
"Liolaemus nigroviridis",-70.28944,-33.60806,"CL",910573053
"Liolaemus nigroviridis",-70.30861,-33.35139,"CL",910573144
"Liolaemus nigroviridis",-70.70194,-31.80917,"CL",910575976
