"species","lon","lat","countryCode","gbifID"
"Liolaemus pictus",-73.35083,-39.70639,"CL",910575984
"Liolaemus pictus",-71.23389,-39.36778,"AR",1099346203
"Liolaemus pictus",-71.07611,-35.59889,"CL",910575167
"Liolaemus pictus",-73.82583,-41.85944,"CL",910575113
"Liolaemus pictus",-74.09417,-42.64972,"CL",910575158
"Liolaemus pictus",-72.99167,-37.78861,"CL",910575168
"Liolaemus pictus",-71.91611,-39.37694,"CL",910575121
"Liolaemus pictus",-71.26306,-38.80917,"CL",910575715
"Liolaemus pictus",-73.05139,-36.84194,"CL",910575240
"Liolaemus pictus",-71.43147,-41.73283,"AR",382101959
"Liolaemus pictus",-71.47674,-41.1677,"AR",382101878
"Liolaemus pictus",-71.38548,-39.00823,"AR",382102222
"Liolaemus pictus",-70.66194,-38.89889,"AR",1051072817
"Liolaemus pictus",-71.43476,-41.16877,"AR",382102044
"Liolaemus pictus",-71.56282,-39.81518,"AR",382102268
"Liolaemus pictus",-71.57186,-39.81049,"AR",382102270
"Liolaemus pictus",-71.32313,-40.92115,"AR",382102110
"Liolaemus pictus",-71.94029,-40.71468,"AR",382101904
"Liolaemus pictus",-71.03528,-35.60167,"CL",910573660
"Liolaemus pictus",-71.6131,-40.67218,"AR",886787924
"Liolaemus pictus",-74.69306,-43.60167,"CL",910575972
"Liolaemus pictus",-71.93333,-39.41667,"CL",1051036113
"Liolaemus pictus",-71.83307,-40.73153,"AR",382101257
"Liolaemus pictus",-71.64498,-41.24386,"AR",382101105
"Liolaemus pictus",-71.77542,-40.53784,"AR",382101366
"Liolaemus pictus",-71.60523,-41.25267,"AR",382101109
"Liolaemus pictus",-71.74269,-41.03459,"AR",382101150
"Liolaemus pictus",-71.6,-41.13,"AR",1051021877
"Liolaemus pictus",-71.58762,-40.49412,"AR",382101400
"Liolaemus pictus",-71.52739,-41.04989,"AR",382102066
"Liolaemus pictus",-71.79192,-40.5828,"AR",382101284
"Liolaemus pictus",-71.52,-41.05,"AR",1051021872
"Liolaemus pictus",-71.57238,-41.05922,"AR",382102070
"Liolaemus pictus",-72.5,-41.1,"CL",1051033153
"Liolaemus pictus",-71.56133,-41.51547,"AR",382101178
"Liolaemus pictus",-71.28601,-41.25794,"AR",382101139
"Liolaemus pictus",-71.74102,-42.74419,"AR",382101853
"Liolaemus pictus",-71.77354,-41.56212,"AR",382101858
"Liolaemus pictus",-72.62667,-41.40444,"CL",910574036
"Liolaemus pictus",-71.81745,-41.23692,"AR",382101100
"Liolaemus pictus",-71.36169,-40.67859,"AR",382101282
"Liolaemus pictus",-71.48799,-40.62871,"AR",382101354
"Liolaemus pictus",-71.42386,-40.66569,"AR",382101276
"Liolaemus pictus",-71.49538,-41.54286,"AR",382101777
"Liolaemus pictus",-71.49295,-41.58588,"AR",382101172
"Liolaemus pictus",-71.41596,-41.32275,"AR",382101816
"Liolaemus pictus",-71.60486,-41.01833,"AR",382101161
"Liolaemus pictus",-71.57948,-40.0384,"AR",382101498
"Liolaemus pictus",-71.5877,-39.70496,"AR",382101552
"Liolaemus pictus",-71.39972,-39.5456,"AR",382101560
"Liolaemus pictus",-71.29673,-39.54372,"AR",382101568
"Liolaemus pictus",-71.38516,-40.01579,"AR",382101527
"Liolaemus pictus",-71.71386,-40.13988,"AR",382101461
"Liolaemus pictus",-71.60675,-39.65507,"AR",382101801
"Liolaemus pictus",-72.61639,-40.33083,"CL",910573680
"Liolaemus pictus",-71.22031,-39.36311,"AR",382101632
"Liolaemus pictus",-71.42991,-39.58845,"AR",382101554
"Liolaemus pictus",-71.43651,-39.43438,"AR",382101592
"Liolaemus pictus",-71.45705,-39.87971,"AR",382101547
"Liolaemus pictus",-71.39644,-39.12548,"AR",382101647
"Liolaemus pictus",-71.64546,-39.81463,"AR",382101835
"Liolaemus pictus",-71.22229,-39.3629,"AR",382101634
"Liolaemus pictus",-71.25711,-39.22666,"AR",382101643
"Liolaemus pictus",-71.4567,-40.03851,"AR",382101501
"Liolaemus pictus",-71.65177,-40.72578,"AR",382101267
"Liolaemus pictus",-71.65828,-40.53512,"AR",382101369
"Liolaemus pictus",-71.5261,-40.16537,"AR",382101509
"Liolaemus pictus",-71.50885,-41.27135,"AR",382101119
"Liolaemus pictus",-71.59232,-40.62062,"AR",382101310
"Liolaemus pictus",-71.55059,-40.1302,"AR",382101471
"Liolaemus pictus",-71.87155,-40.74519,"AR",382101240
"Liolaemus pictus",-71.9491,-40.73591,"AR",382101243
"Liolaemus pictus",-71.70465,-40.64877,"AR",382101292
"Liolaemus pictus",-71.68698,-40.20395,"AR",382101444
"Liolaemus pictus",-71.78428,-40.81781,"AR",382101211
"Liolaemus pictus",-71.46161,-40.87827,"AR",382101198
"Liolaemus pictus",-71.60191,-40.79508,"AR",382101216
"Liolaemus pictus",-71.65895,-40.04844,"AR",382101496
"Liolaemus pictus",-71.58864,-40.94373,"AR",382101177
"Liolaemus pictus",-71.80229,-40.16138,"AR",382101459
"Liolaemus pictus",-71.73529,-40.78478,"AR",382101213
"Liolaemus pictus",-71.68634,-40.85658,"AR",382101183
"Liolaemus pictus",-71.63097,-40.15624,"AR",382101490
"Liolaemus pictus",-71.22539,-39.42019,"AR",382101595
"Liolaemus pictus",-71.53402,-40.43705,"AR",382101407
"Liolaemus pictus",-71.48594,-41.19809,"AR",382101136
"Liolaemus pictus",-71.37106,-40.24223,"AR",382101454
"Liolaemus pictus",-71.53911,-40.35989,"AR",382101424
"Liolaemus pictus",-71.49137,-40.40581,"AR",382101419
"Liolaemus pictus",-71.70576,-40.60484,"AR",382101294
"Liolaemus pictus",-71.70517,-40.62434,"AR",382101302
"Liolaemus pictus",-71.62218,-40.84337,"AR",382101186
"Liolaemus pictus",-71.81072,-41.07311,"AR",382101147
"Liolaemus pictus",-71.62784,-40.60334,"AR",382101347
"Liolaemus pictus",-71.82661,-41.19976,"AR",382101103
"Liolaemus pictus",-71.49126,-41.4234,"AR",382101772
"Liolaemus pictus",-71.70561,-40.65473,"AR",382101309
"Liolaemus pictus",-71.75641,-41.32802,"AR",382101775
"Liolaemus pictus",-73.80833,-42.44667,"CL",910574593
"Liolaemus pictus",-71.47594,-41.1663,"AR",382102041
"Liolaemus pictus",-71.5,-41.2,"AR",1051024353
"Liolaemus pictus",-71.47,-39.74,"AR",1051024362
"Liolaemus pictus",-71.41887,-39.56373,"AR",382102142
"Liolaemus pictus",-71.42,-39.69,"AR",1051024368
"Liolaemus pictus",-71.8244,-41.00708,"AR",382102098
"Liolaemus pictus",-71.4631,-39.74657,"AR",382102129
"Liolaemus pictus",-71.81,-41.01,"AR",1051024350
"Liolaemus pictus",-71.55109,-41.06346,"AR",382101155
"Liolaemus pictus",-71.49,-39.73,"AR",1051024370
"Liolaemus pictus",-71.88,-41.03,"AR",1051024352
"Liolaemus pictus",-71.47433,-39.74128,"AR",382102127
"Liolaemus pictus",-71.82279,-41.02207,"AR",382102061
"Liolaemus pictus",-71.69407,-41.49299,"AR",382101174
"Liolaemus pictus",-71.35571,-39.61043,"AR",382101587
"Liolaemus pictus",-71.53,-41.01,"AR",1051024372
"Liolaemus pictus",-71.54401,-41.01347,"AR",382101163
"Liolaemus pictus",-71.65201,-41.13231,"AR",382101141
"Liolaemus pictus",-71.35,-39.36,"AR",1051024367
"Liolaemus pictus",-71.31058,-39.36526,"AR",382102164
"Liolaemus pictus",-71.31,-41.25,"AR",1051024382
"Liolaemus pictus",-71.53,-41.35,"AR",1051016361
"Liolaemus pictus",-71.56093,-41.19066,"AR",382101146
"Liolaemus pictus",-71.55206,-41.3589,"AR",382101846
"Liolaemus pictus",-71.74264,-42.74208,"AR",382101851
"Liolaemus pictus",-71.92139,-39.85083,"CL",910572413
"Liolaemus pictus",-73.70944,-40.57917,"CL",910575919
"Liolaemus pictus",-71.57,-41.48,"AR",1051014669
"Liolaemus pictus",-71.56169,-41.04334,"AR",382102078
"Liolaemus pictus",-71.38048,-41.14721,"AR",382102053
"Liolaemus pictus",-72.31,-41.25,"AR",1051014646
"Liolaemus pictus",-71.56,-41.05,"AR",1051014656
"Liolaemus pictus",-71.53859,-41.50712,"AR",382102094
"Liolaemus pictus",-71.37,-41.15,"AR",1051014664
"Liolaemus pictus",-71.53018,-41.05943,"AR",382102074
"Liolaemus pictus",-71.56,-41.04,"AR",1051014653
"Liolaemus pictus",-71.37109,-41.2285,"AR",382101134
"Liolaemus pictus",-71.55787,-41.10527,"AR",382101144
"Liolaemus pictus",-71.64453,-40.76369,"AR",382102111
"Liolaemus pictus",-71.66,-40.78,"AR",1051014589
"Liolaemus pictus",-73.15972,-38.01667,"CL",910575281
"Liolaemus pictus",-71.79582,-41.19788,"AR",382102286
"Liolaemus pictus",-71.79,-41.65,"AR",1050994654
"Liolaemus pictus",-71.28623,-41.25808,"AR",382102023
"Liolaemus pictus",-71.31,-41.24,"AR",1050997454
"Liolaemus pictus",-70.7838,-40.40108,"AR",382102447
"Liolaemus pictus",-71.54104,-40.87881,"AR",686867690
"Liolaemus pictus",-71.4667,-39.7667,"AR",686867687
"Liolaemus pictus",-71.5333,-41.35,"AR",686867702
"Liolaemus pictus",-71.53737,-40.90139,"AR",382102428
"Liolaemus pictus",-71.55538,-40.93073,"AR",382102432
"Liolaemus pictus",-71.53508,-40.94358,"AR",382102431
"Liolaemus pictus",-71.52432,-40.96934,"AR",382102430
"Liolaemus pictus",-71.54989,-40.88712,"AR",382102424
"Liolaemus pictus",-72.98333,-41.31667,"CL",1050956478
"Liolaemus pictus",-71.5,-41.4,"AR",476727608
"Liolaemus pictus",-71.66064,-40.78356,"AR",382102433
"Liolaemus pictus",-71.9,-39.92071,"CL",1051072127
"Liolaemus pictus",-71.3833,-41.15,"AR",476721572
"Liolaemus pictus",-73.01943,-37.73315,"CL",543675902
"Liolaemus pictus",-73.71528,-43.24333,"CL",910573804
"Liolaemus pictus",-72.61414,-38.74305,"CL",543675309
"Liolaemus pictus",-71.81333,-39.17694,"CL",910575249
"Liolaemus pictus",-73.8125,-41.86806,"CL",80028401
"Liolaemus pictus",-73.86528,-41.89,"CL",80028400
"Liolaemus pictus",-73.84667,-41.87833,"CL",80028403
"Liolaemus pictus",-72.91667,-41.45,"CL",80028390
"Liolaemus pictus",-72.38333,-41.11667,"CL",80028389
"Liolaemus pictus",-72.38333,-40.11667,"CL",80028388
"Liolaemus pictus",-71.4,-41.25,"AR",886787873
"Liolaemus pictus",-71.7998,-40.72313,"AR",231019599
"Liolaemus pictus",-67.88534,-43.99375,"AR",231019532
"Liolaemus pictus",-72.67325,-50.24354,"AR",223172854
"Liolaemus pictus",-73.24778,-39.8075,"CL",910573179
"Liolaemus pictus",-72.7108444441119,-39.9370237563291,"CL",1050956548
"Liolaemus pictus",-71.46974,-39.54311,"AR",231019574
"Liolaemus pictus",-71.7,-41.25035,"AR",231019600
"Liolaemus pictus",-70.11228,-31.99032,"AR",231019567
"Liolaemus pictus",-68.02034,-38.94871,"AR",231019523
"Liolaemus pictus",-71.80591,-42.69761,"AR",231019570
"Liolaemus pictus",-71.35075,-40.15582,"AR",231019572
"Liolaemus pictus",-71.84585,-42.85168,"AR",231019554
