"species","lon","lat","countryCode","gbifID"
"Liolaemus rothi",-71.31333,-37.47778,"CL",910575248
"Liolaemus rothi",-71.03436,-41.3256,"AR",382101996
"Liolaemus rothi",-71.27387,-41.03425,"AR",382100367
"Liolaemus rothi",-71.15264,-41.29138,"AR",382102005
"Liolaemus rothi",-70.97596,-38.88684,"AR",382102275
"Liolaemus rothi",-70.02093,-41.29138,"AR",382102260
"Liolaemus rothi",-71.06173,-41.23094,"AR",382102266
"Liolaemus rothi",-71.20553,-40.82387,"AR",382102116
"Liolaemus rothi",-71.03027,-41.24645,"AR",382102307
"Liolaemus rothi",-71.2318,-41.02377,"AR",382100713
"Liolaemus rothi",-70.69474,-41.48108,"AR",382102230
"Liolaemus rothi",-71.24314,-41.29436,"AR",382101837
"Liolaemus rothi",-71.27136,-41.29526,"AR",382101807
"Liolaemus rothi",-71.25618,-41.30146,"AR",382101813
"Liolaemus rothi",-71.31227,-40.83378,"AR",382101202
"Liolaemus rothi",-71.27202,-40.83542,"AR",382101206
"Liolaemus rothi",-71.22355,-40.58693,"AR",382101298
"Liolaemus rothi",-71.21271,-41.03829,"AR",382100784
"Liolaemus rothi",-71.17311,-40.82737,"AR",382101222
"Liolaemus rothi",-71.10887,-40.81215,"AR",382101233
"Liolaemus rothi",-70.8577,-41.15474,"AR",382101826
"Liolaemus rothi",-70.99545,-41.51272,"AR",382102265
"Liolaemus rothi",-71.19087,-40.77971,"AR",382101232
"Liolaemus rothi",-70.66,-41.58,"AR",1051024383
"Liolaemus rothi",-71.24779,-41.03617,"AR",382100076
"Liolaemus rothi",-71.21,-41.03,"AR",1051024386
"Liolaemus rothi",-71.08,-39.89,"AR",1051024378
"Liolaemus rothi",-71.13,-39.09,"AR",1051024390
"Liolaemus rothi",-71.13191,-39.21559,"AR",382102186
"Liolaemus rothi",-70.63,-39.53,"AR",1051024483
"Liolaemus rothi",-71.15365,-39.22423,"AR",382101725
"Liolaemus rothi",-71.22,-41.13,"AR",1051014654
"Liolaemus rothi",-70.43903,-41.03153,"AR",382100089
"Liolaemus rothi",-71.20519,-41.1307,"AR",382102049
"Liolaemus rothi",-71.27379,-41.26974,"AR",382101804
"Liolaemus rothi",-69.92,-41.18,"AR",1051014665
"Liolaemus rothi",-71.26,-41.01,"AR",1051014677
"Liolaemus rothi",-68.46477,-40.28272,"AR",382101405
"Liolaemus rothi",-70.2833,-41.66836,"AR",686894169
"Liolaemus rothi",-67.3167,-40.9833,"AR",686894168
"Liolaemus rothi",-71.31,-41.16,"AR",1051014621
"Liolaemus rothi",-71.25917,-41.16482,"AR",382102047
"Liolaemus rothi",-69.7833,-36.62297,"AR",686867704
"Liolaemus rothi",-70.67883,-41.54546,"AR",382102442
"Liolaemus rothi",-71.21921,-41.11067,"AR",382102051
"Liolaemus rothi",-71.21,-41.13,"AR",1051184662
"Liolaemus rothi",-69.56,-35.75,"AR",1050954312
"Liolaemus rothi",-69.22752,-41.8455,"AR",686888765
"Liolaemus rothi",-71.07354,-39.94722,"AR",345363580
"Liolaemus rothi",-66.98998,-41.3427,"AR",231019577
"Liolaemus rothi",-67.88534,-43.99375,"AR",231019524
"Liolaemus rothi",-66.96899,-41.91331,"AR",231019575
"Liolaemus rothi",-66.90794,-41.55553,"AR",231019590
